,ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,target
0,675,12,12,1,0,0,1,1,0,1,2,1,16.68,34,0,12.95,12.95,0
1,680,18,18,1,0,0,0,0,0,1,3,0,37.88,23,0,38.85,38.85,0
2,432,3,3,1,0,0,1,1,0,1,3,1,-9.08,19,2,38.85,38.85,0
3,119,23,23,0,0,1,0,0,0,3,0,0,-6.392,18,0,11.01,11.01,0
4,614,9,9,0,0,0,1,0,0,1,3,0,42.512,7,0,12.95,12.95,0
5,386,11,11,0,0,0,1,1,0,1,3,1,-10.096,27,0,49.95,49.95,0
6,127,20,20,0,0,1,0,0,0,2,3,1,15.656,9,9,12.95,12.95,0
7,649,12,12,0,0,1,1,1,0,1,2,0,-38.32,16,0,10.36,10.36,0
8,308,13,13,0,0,0,1,1,0,2,3,0,33.328,10,0,38.85,38.85,0
9,614,6,6,0,0,1,0,0,0,1,2,0,-43.496,8,0,10.36,10.36,0
10,664,9,9,0,0,1,0,0,0,1,2,1,24.248,7,0,38.85,38.85,0
11,122,3,3,0,0,1,0,0,0,1,3,0,45.112,8,0,38.85,38.85,0
12,128,10,10,0,0,1,0,0,1,1,3,1,9.728,8,2,10.36,10.36,0
13,356,11,11,0,0,0,1,1,0,2,3,1,-50.624,23,0,38.85,38.85,0
14,362,12,12,0,0,0,1,0,0,1,3,0,-46.184,20,3,12.95,12.95,0
15,120,11,11,0,0,1,1,0,0,1,3,1,24.712,20,0,11.01,11.01,0
16,430,12,11,0,0,1,0,0,0,1,0,0,42.408,7,4,12.95,12.95,0
17,428,10,10,0,0,1,0,0,0,1,2,0,45.968,9,0,12.95,12.95,0
18,107,17,17,0,0,1,1,1,0,1,2,0,50.352,10,3,10.36,10.36,0
19,123,11,11,0,0,1,1,0,0,1,3,1,-50.072,20,0,10.36,10.36,0
20,398,18,18,0,0,1,0,1,0,1,3,0,5.92,10,0,12.95,12.95,0
21,112,19,19,1,0,1,1,1,0,2,3,0,-32.576,9,0,38.85,38.85,0
22,117,17,17,0,0,1,1,0,0,1,3,0,20.264,7,0,12.95,12.95,0
23,428,14,14,1,0,0,0,0,0,1,3,1,53.768,22,0,38.85,38.85,0
24,685,2,2,0,0,1,1,1,0,1,2,0,23.904,23,0,12.95,12.95,0
25,685,22,22,0,0,1,0,0,0,1,1,0,8.784,35,0,10.36,10.36,0
26,614,7,7,0,0,0,1,1,0,1,3,1,20.16,22,0,38.85,38.85,0
27,108,16,16,0,0,0,1,1,0,1,3,1,-28.32,9,0,10.36,10.36,0
28,685,14,14,0,0,1,0,0,0,1,3,0,21.872,6,0,38.85,38.85,0
29,114,13,13,1,0,1,1,1,0,1,3,1,44.28,16,2,38.85,38.85,0
30,602,10,10,0,0,1,1,0,0,1,3,0,-5.352,12,0,10.36,10.36,0
31,122,16,16,0,0,0,1,1,0,1,4,1,26.416,12,0,12.95,12.95,0
32,120,14,14,0,0,0,1,1,0,1,2,1,-64.584,18,1,38.85,38.85,0
33,120,10,10,1,0,1,0,0,0,1,0,0,1.0,23,0,12.95,12.95,0
34,685,13,13,0,0,1,0,1,0,1,0,0,14.848,8,0,12.95,12.95,0
35,675,20,20,1,0,0,0,1,0,1,1,0,-19.424,23,0,38.85,38.85,0
36,166,17,17,0,0,0,0,0,0,1,2,1,-40.248,9,1,38.85,38.85,0
37,124,22,22,0,0,0,1,0,0,2,2,0,17.96,22,0,49.95,49.95,0
38,108,9,9,0,0,1,1,1,0,2,0,0,12.648,12,2,38.85,38.85,0
39,614,9,9,0,0,1,1,0,0,1,3,0,-38.96,7,0,12.95,12.95,0
40,362,16,16,0,0,1,1,0,0,1,2,0,5.232,7,0,38.85,38.85,0
41,655,19,19,0,0,1,1,0,0,1,0,0,-7.976,6,0,38.85,38.85,0
42,119,1,1,0,0,0,0,0,0,1,3,0,36.824,19,0,31.08,31.08,0
43,614,20,19,0,0,0,1,1,0,1,3,1,-49.872,15,1,12.95,12.95,0
44,614,15,15,0,0,0,0,0,0,2,4,0,30.896,6,0,34.95,34.95,0
45,655,20,20,0,0,1,1,1,0,1,3,0,16.32,9,9,38.85,38.85,0
