,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,target
0,0.478125,0.4125,0.434375,0.45625,0.45625,0.390625,0.390625,0.0,0.716666666666667,0.804166666666667,0.845833333333333,0.889583333333333,0.86875,0.78125,0.86875,0.0,0
1,0.478125,0.4125,0.434375,0.45625,0.45625,0.390625,0.390625,0.434375,0.716666666666667,0.804166666666667,0.845833333333333,0.889583333333333,0.86875,0.78125,0.86875,0.825,0
2,0.478125,0.4125,0.434375,0.45625,0.45625,0.390625,0.390625,0.434375,0.716666666666667,0.804166666666667,0.845833333333333,0.889583333333333,0.86875,0.78125,0.86875,0.825,0
3,0.478125,0.4125,0.390625,0.45625,0.45625,0.390625,0.390625,0.0,0.716666666666667,0.804166666666667,0.78125,0.889583333333333,0.86875,0.78125,0.86875,0.0,0
4,0.478125,0.4125,0.390625,0.45625,0.45625,0.390625,0.390625,0.0,0.7375,0.804166666666667,0.78125,0.889583333333333,0.86875,0.78125,0.86875,0.0,0
5,0.390625,0.390625,0.325,0.303125,0.303125,0.434375,0.4125,0.4125,0.672916666666667,0.78125,0.804166666666667,0.86875,0.95625,0.804166666666667,0.86875,0.9125,1
6,0.390625,0.36875,0.325,0.303125,0.303125,0.434375,0.4125,0.4125,0.69375,0.78125,0.804166666666667,0.86875,0.95625,0.804166666666667,0.889583333333333,0.933333333333333,1
7,0.390625,0.36875,0.325,0.303125,0.303125,0.434375,0.4125,0.4125,0.69375,0.78125,0.804166666666667,0.86875,0.95625,0.804166666666667,0.889583333333333,0.95625,1
8,0.4125,0.390625,0.346875,0.303125,0.346875,0.434375,0.45625,0.45625,0.672916666666667,0.78125,0.804166666666667,0.9125,0.95625,0.804166666666667,0.889583333333333,0.9125,0
9,0.4125,0.390625,0.346875,0.325,0.346875,0.434375,0.45625,0.45625,0.672916666666667,0.78125,0.804166666666667,0.9125,0.933333333333333,0.804166666666667,0.889583333333333,0.933333333333333,1
10,0.4125,0.390625,0.346875,0.325,0.346875,0.434375,0.45625,0.45625,0.672916666666667,0.78125,0.804166666666667,0.9125,0.933333333333333,0.804166666666667,0.889583333333333,0.95625,1
11,0.4125,0.390625,0.346875,0.325,0.346875,0.434375,0.45625,0.434375,0.672916666666667,0.78125,0.804166666666667,0.9125,0.933333333333333,0.804166666666667,0.889583333333333,0.95625,1
12,0.4125,0.390625,0.36875,0.390625,0.4125,0.4125,0.4125,0.4125,0.69375,0.78125,0.78125,0.845833333333333,0.78125,0.804166666666667,0.86875,0.78125,0
13,0.4125,0.390625,0.36875,0.390625,0.4125,0.4125,0.4125,0.4125,0.69375,0.78125,0.78125,0.845833333333333,0.78125,0.804166666666667,0.86875,0.78125,0
14,0.4125,0.390625,0.346875,0.390625,0.4125,0.434375,0.434375,0.45625,0.69375,0.78125,0.804166666666667,0.845833333333333,0.78125,0.804166666666667,0.889583333333333,0.845833333333333,0
15,0.4125,0.390625,0.346875,0.390625,0.4125,0.434375,0.434375,0.45625,0.69375,0.78125,0.804166666666667,0.845833333333333,0.78125,0.804166666666667,0.889583333333333,0.845833333333333,0
16,0.4125,0.390625,0.346875,0.390625,0.4125,0.434375,0.434375,0.434375,0.69375,0.78125,0.78125,0.825,0.78125,0.804166666666667,0.889583333333333,0.933333333333333,0
17,0.4125,0.390625,0.346875,0.390625,0.4125,0.434375,0.434375,0.434375,0.69375,0.78125,0.78125,0.825,0.78125,0.804166666666667,0.889583333333333,0.933333333333333,0
18,0.6734375,0.6953125,0.6515625,0.6296875,0.6296875,0.7390625,0.759375,0.0,0.69375,0.78125,0.804166666666667,0.86875,0.889583333333333,0.78125,0.825,0.0,0
19,0.6734375,0.6953125,0.6515625,0.6078125,0.6515625,0.7390625,0.759375,0.0,0.716666666666667,0.804166666666667,0.804166666666667,0.86875,0.889583333333333,0.804166666666667,0.804166666666667,0.0,1
20,0.6734375,0.6953125,0.6515625,0.6078125,0.6515625,0.7390625,0.759375,0.0,0.716666666666667,0.804166666666667,0.804166666666667,0.86875,0.889583333333333,0.78125,0.804166666666667,0.0,1
21,0.7171875,0.6953125,0.7390625,0.7390625,0.0,0.6515625,0.6515625,0.7171875,0.69375,0.78125,0.804166666666667,0.78125,0.0,0.804166666666667,0.889583333333333,0.760416666666667,0
22,0.7171875,0.6953125,0.7390625,0.7390625,0.0,0.6515625,0.6515625,0.7171875,0.69375,0.78125,0.804166666666667,0.78125,0.0,0.804166666666667,0.889583333333333,0.760416666666667,0
23,0.7171875,0.6953125,0.6515625,0.0,0.0,0.6515625,0.6515625,0.0,0.716666666666667,0.78125,0.78125,0.0,0.0,0.78125,0.889583333333333,0.0,1
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,0.6734375,0.7171875,0.6734375,0.6296875,0.6296875,0.7390625,0.759375,0.0,0.716666666666667,0.804166666666667,0.804166666666667,0.845833333333333,0.889583333333333,0.78125,0.78125,0.0,1
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27,0.6734375,0.7171875,0.6734375,0.6296875,0.6296875,0.7390625,0.759375,0.7171875,0.716666666666667,0.78125,0.804166666666667,0.845833333333333,0.889583333333333,0.78125,0.78125,0.7375,2
28,0.6734375,0.7171875,0.6734375,0.6296875,0.6296875,0.7390625,0.759375,0.7171875,0.716666666666667,0.78125,0.804166666666667,0.845833333333333,0.889583333333333,0.78125,0.78125,0.7375,2
29,0.434375,0.4125,0.346875,0.325,0.346875,0.434375,0.478125,0.478125,0.69375,0.78125,0.804166666666667,0.86875,0.933333333333333,0.825,0.86875,0.889583333333333,0
30,0.4125,0.390625,0.346875,0.325,0.0,0.4125,0.45625,0.478125,0.69375,0.78125,0.804166666666667,0.845833333333333,0.0,0.804166666666667,0.86875,0.889583333333333,1
31,0.4125,0.390625,0.346875,0.325,0.0,0.4125,0.45625,0.478125,0.69375,0.78125,0.804166666666667,0.86875,0.0,0.804166666666667,0.86875,0.889583333333333,1
32,0.4125,0.390625,0.346875,0.303125,0.0,0.4125,0.45625,0.478125,0.69375,0.78125,0.804166666666667,0.9125,0.0,0.804166666666667,0.86875,0.889583333333333,1
33,0.4125,0.390625,0.346875,0.325,0.0,0.4125,0.45625,0.478125,0.69375,0.78125,0.804166666666667,0.86875,0.0,0.804166666666667,0.86875,0.889583333333333,1
34,0.36875,0.36875,0.303125,0.303125,0.303125,0.4125,0.36875,0.36875,0.69375,0.78125,0.804166666666667,0.86875,0.825,0.78125,0.825,0.78125,0
35,0.36875,0.36875,0.303125,0.303125,0.303125,0.4125,0.36875,0.36875,0.69375,0.78125,0.804166666666667,0.86875,0.825,0.78125,0.825,0.78125,0
36,0.0,0.36875,0.0,0.0,0.0,0.4125,0.0,0.0,0.0,0.760416666666667,0.0,0.0,0.0,0.804166666666667,0.0,0.0,1
37,0.390625,0.390625,0.325,0.303125,0.325,0.434375,0.434375,0.45625,0.69375,0.78125,0.804166666666667,0.86875,0.933333333333333,0.804166666666667,0.889583333333333,0.9125,1
38,0.390625,0.36875,0.325,0.303125,0.325,0.434375,0.434375,0.45625,0.69375,0.78125,0.804166666666667,0.889583333333333,0.933333333333333,0.804166666666667,0.889583333333333,0.9125,1
39,0.390625,0.390625,0.325,0.303125,0.325,0.434375,0.434375,0.45625,0.69375,0.78125,0.804166666666667,0.86875,0.933333333333333,0.804166666666667,0.889583333333333,0.9125,1
40,0.390625,0.36875,0.325,0.303125,0.325,0.434375,0.434375,0.45625,0.69375,0.78125,0.804166666666667,0.86875,0.933333333333333,0.804166666666667,0.889583333333333,0.9125,1
41,0.390625,0.390625,0.325,0.325,0.325,0.434375,0.434375,0.45625,0.69375,0.78125,0.804166666666667,0.889583333333333,0.933333333333333,0.804166666666667,0.889583333333333,0.9125,1
42,0.478125,0.4125,0.36875,0.346875,0.346875,0.434375,0.434375,0.434375,0.7375,0.804166666666667,0.804166666666667,0.86875,0.933333333333333,0.825,0.86875,0.9125,1
43,0.4125,0.4125,0.346875,0.325,0.346875,0.45625,0.434375,0.434375,0.69375,0.78125,0.804166666666667,0.889583333333333,0.933333333333333,0.825,0.889583333333333,0.933333333333333,1
44,0.390625,0.390625,0.346875,0.325,0.28125,0.45625,0.45625,0.45625,0.69375,0.78125,0.804166666666667,0.845833333333333,0.804166666666667,0.804166666666667,0.86875,0.86875,2
45,0.390625,0.390625,0.346875,0.325,0.36875,0.45625,0.45625,0.434375,0.69375,0.78125,0.804166666666667,0.86875,0.889583333333333,0.804166666666667,0.86875,0.889583333333333,1
46,0.390625,0.390625,0.346875,0.325,0.390625,0.434375,0.434375,0.390625,0.69375,0.78125,0.804166666666667,0.845833333333333,0.760416666666667,0.804166666666667,0.845833333333333,0.78125,0
47,0.390625,0.390625,0.346875,0.325,0.390625,0.434375,0.434375,0.390625,0.69375,0.78125,0.804166666666667,0.845833333333333,0.760416666666667,0.804166666666667,0.845833333333333,0.78125,0
48,0.7171875,0.7390625,0.6953125,0.6734375,0.6953125,0.78125,0.803125,0.825,0.69375,0.78125,0.804166666666667,0.845833333333333,0.86875,0.78125,0.845833333333333,0.889583333333333,1
49,0.7171875,0.7390625,0.6953125,0.6734375,0.6953125,0.78125,0.803125,0.825,0.69375,0.78125,0.804166666666667,0.845833333333333,0.889583333333333,0.78125,0.845833333333333,0.86875,1
50,0.7171875,0.7390625,0.7171875,0.6734375,0.6953125,0.78125,0.803125,0.7171875,0.69375,0.78125,0.78125,0.845833333333333,0.86875,0.804166666666667,0.86875,0.889583333333333,1
51,0.7390625,0.7390625,0.7171875,0.6734375,0.6953125,0.78125,0.803125,0.7171875,0.69375,0.760416666666667,0.78125,0.845833333333333,0.86875,0.78125,0.845833333333333,0.889583333333333,1
52,0.7390625,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.7390625,0.7390625,0.69375,0.760416666666667,0.78125,0.78125,0.716666666666667,0.760416666666667,0.69375,0.716666666666667,0
53,0.759375,0.759375,0.7171875,0.0,0.0,0.759375,0.0,0.0,0.69375,0.78125,0.78125,0.0,0.0,0.78125,0.0,0.0,1
54,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.7390625,0.69375,0.78125,0.78125,0.825,0.804166666666667,0.78125,0.760416666666667,0.7375,0
55,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.7390625,0.69375,0.78125,0.78125,0.825,0.804166666666667,0.78125,0.760416666666667,0.7375,0
56,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.7390625,0.69375,0.78125,0.78125,0.845833333333333,0.804166666666667,0.78125,0.760416666666667,0.7375,0
57,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.7390625,0.69375,0.78125,0.78125,0.845833333333333,0.804166666666667,0.78125,0.760416666666667,0.7375,0
58,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.7390625,0.69375,0.78125,0.78125,0.825,0.804166666666667,0.78125,0.760416666666667,0.7375,0
59,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.759375,0.69375,0.78125,0.78125,0.804166666666667,0.804166666666667,0.78125,0.760416666666667,0.7375,0
60,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.759375,0.69375,0.78125,0.78125,0.804166666666667,0.804166666666667,0.78125,0.760416666666667,0.7375,0
61,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.0,0.0,0.69375,0.78125,0.78125,0.804166666666667,0.804166666666667,0.78125,0.0,0.0,1
62,0.759375,0.759375,0.7171875,0.7171875,0.7171875,0.78125,0.803125,0.7390625,0.69375,0.78125,0.78125,0.804166666666667,0.804166666666667,0.78125,0.760416666666667,0.7375,0
63,0.7171875,0.7390625,0.7171875,0.6734375,0.6734375,0.78125,0.803125,0.825,0.69375,0.78125,0.78125,0.845833333333333,0.889583333333333,0.78125,0.845833333333333,0.86875,1
64,0.7171875,0.7390625,0.7171875,0.6734375,0.6953125,0.78125,0.803125,0.825,0.69375,0.78125,0.78125,0.845833333333333,0.889583333333333,0.78125,0.845833333333333,0.86875,1
65,0.7171875,0.7390625,0.7171875,0.6734375,0.6953125,0.78125,0.803125,0.825,0.69375,0.78125,0.78125,0.845833333333333,0.889583333333333,0.78125,0.845833333333333,0.889583333333333,1
66,0.7171875,0.7390625,0.7171875,0.6734375,0.6953125,0.78125,0.803125,0.825,0.69375,0.78125,0.78125,0.845833333333333,0.889583333333333,0.78125,0.845833333333333,0.86875,1
67,0.7171875,0.7390625,0.7171875,0.6734375,0.6734375,0.78125,0.803125,0.825,0.69375,0.78125,0.78125,0.845833333333333,0.889583333333333,0.78125,0.845833333333333,0.86875,1
68,0.7390625,0.7390625,0.6953125,0.6734375,0.6953125,0.78125,0.759375,0.7390625,0.69375,0.760416666666667,0.78125,0.845833333333333,0.86875,0.78125,0.845833333333333,0.86875,1
