,target
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,1
241,0
242,1
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,1
312,0
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,0
326,0
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,0
342,0
343,1
344,1
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,0
399,1
