,ID,Age,Occupation,Gender,Same_ofiice_home_location,kids,RM_save_money,RM_quality_time,RM_better_sleep,calmer_stressed,RM_professional_growth,RM_lazy,RM_productive,digital_connect_sufficient,RM_better_work_life_balance,RM_improved_skillset,RM_job_opportunities,target
0,1,45,0,0,0,0,0,0,0,0,5,1,5,0,5,5,0,0
1,2,24,0,1,1,1,1,1,1,0,2,2,2,1,3,3,1,0
2,3,53,1,0,0,0,0,0,0,0,3,3,4,1,5,3,1,0
3,4,26,2,0,0,1,0,0,1,1,3,4,4,1,4,5,0,1
4,5,26,3,1,0,1,1,0,1,1,3,3,5,0,4,2,0,0
5,6,27,3,1,1,1,0,0,0,0,3,3,3,1,3,5,0,1
6,7,24,2,1,0,1,1,1,1,0,3,4,2,1,2,3,2,0
7,8,36,2,0,1,1,1,0,1,1,3,4,3,1,3,4,2,1
8,9,26,2,1,1,1,0,0,0,1,2,4,3,1,2,4,2,1
9,10,26,3,0,1,1,0,0,0,0,3,2,4,1,4,3,2,0
10,11,27,2,0,0,1,0,0,1,1,4,4,4,1,4,4,0,1
11,12,25,2,1,1,1,0,0,0,0,4,3,4,1,3,4,0,0
12,13,26,4,0,1,1,0,0,0,0,1,2,3,0,5,3,0,0
13,14,25,4,0,1,1,0,1,1,1,4,4,3,1,3,3,2,1
14,15,25,4,0,0,1,0,0,1,1,4,4,4,1,4,4,0,1
15,16,28,2,1,1,1,1,1,0,1,3,3,4,1,3,3,0,0
16,17,25,3,1,1,1,0,0,0,0,4,3,2,1,3,3,2,1
17,18,24,4,1,1,1,1,0,1,1,1,5,2,1,3,5,0,1
18,19,44,0,0,1,0,1,1,1,1,4,1,3,1,4,3,1,1
19,20,25,5,1,0,1,0,1,1,1,4,3,4,0,2,5,0,0
20,21,44,5,1,0,0,1,0,1,1,2,1,3,1,3,2,1,1
21,22,29,2,0,0,1,0,0,0,1,5,5,1,1,1,2,2,1
22,23,41,0,0,1,0,0,0,0,1,3,2,4,0,3,4,1,1
23,24,28,6,1,0,1,1,1,1,1,2,4,3,1,2,5,2,1
24,25,21,3,1,1,1,0,0,0,0,3,3,4,0,4,4,1,0
25,26,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
26,27,32,2,0,0,0,0,0,0,0,4,1,5,0,3,3,2,0
27,28,26,1,1,0,1,0,0,1,1,2,4,5,0,4,4,2,1
28,29,36,0,0,0,0,0,0,0,0,4,3,3,1,1,1,2,1
29,30,25,6,0,1,1,0,1,1,1,4,3,3,0,3,1,2,1
30,31,25,5,0,0,1,0,0,0,0,3,1,5,1,4,3,2,0
31,32,22,1,1,1,1,0,0,1,1,2,4,3,1,5,3,0,1
32,33,28,6,1,1,1,1,1,1,1,5,1,3,0,1,3,0,0
33,34,27,6,0,1,1,0,1,1,1,3,5,5,0,1,4,2,1
34,35,25,1,0,0,1,0,0,0,0,1,1,5,0,5,4,2,0
35,36,21,5,1,1,1,0,0,0,0,3,4,3,1,3,2,2,1
36,37,25,3,1,1,1,0,1,1,1,3,5,3,1,3,4,2,1
37,38,24,2,1,0,1,1,1,1,0,3,4,2,1,2,3,2,0
38,39,24,6,1,1,1,0,1,1,1,5,3,3,1,1,2,2,1
39,40,26,1,0,1,1,0,0,0,0,3,3,3,0,4,4,0,0
40,41,27,6,0,1,0,0,1,1,1,4,5,4,0,2,4,0,0
41,42,26,2,1,1,1,1,1,1,1,3,4,2,0,1,4,0,1
42,43,27,1,1,1,1,1,1,0,1,2,1,2,0,1,5,1,1
43,44,23,3,0,0,1,0,0,0,1,3,4,4,1,2,3,2,1
44,45,24,6,1,1,1,0,0,1,1,3,5,4,0,2,3,2,1
45,46,25,2,0,0,1,0,0,0,0,3,4,4,0,3,4,2,0
46,47,54,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
47,48,23,4,0,1,1,0,1,1,1,4,4,4,0,1,4,0,1
48,49,22,2,1,1,1,1,1,1,1,4,4,2,1,2,2,2,1
49,50,26,6,0,0,1,0,0,0,0,3,3,5,1,3,4,1,1
50,51,53,1,0,0,0,0,0,0,0,2,3,4,1,4,3,2,0
51,52,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
52,53,27,4,0,0,0,0,0,1,1,2,4,3,0,2,3,0,1
53,54,25,5,1,0,1,1,1,1,1,4,5,3,1,2,3,0,1
54,55,54,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
55,56,25,5,0,0,1,0,0,0,0,1,1,5,0,5,4,2,0
56,57,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
57,58,29,2,0,0,0,0,0,1,1,2,3,3,0,4,5,0,0
58,59,21,0,1,1,1,1,1,1,0,3,3,3,1,3,3,1,0
59,60,25,2,0,0,1,0,0,1,1,3,2,4,1,3,5,0,1
60,61,26,5,1,1,1,0,0,0,1,3,4,4,0,4,5,0,0
61,62,26,2,1,1,1,0,1,0,1,3,3,3,0,4,3,2,1
62,63,25,1,0,1,0,0,1,1,1,5,3,5,0,1,3,1,1
63,64,28,6,1,0,1,1,1,1,1,2,4,3,1,2,5,2,1
64,65,32,2,0,0,0,0,0,0,0,4,1,5,0,3,3,2,0
65,66,54,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
66,67,26,5,1,0,1,0,0,1,1,4,4,4,1,4,3,2,1
67,68,25,5,0,1,0,0,1,1,1,5,3,5,0,1,3,1,1
68,69,23,0,0,1,1,0,0,0,0,3,3,4,1,2,3,1,1
69,70,36,0,0,0,0,0,0,0,0,4,3,3,1,1,1,2,1
70,71,25,6,0,1,1,0,1,1,1,4,3,3,0,3,1,2,1
71,72,41,0,0,1,0,0,0,0,1,3,2,4,0,3,4,1,1
72,73,26,2,1,1,1,0,0,0,1,2,4,3,1,2,4,2,1
73,74,26,1,0,0,0,0,0,0,0,3,3,4,1,5,3,1,0
74,75,26,3,1,0,1,1,0,1,1,3,3,5,0,4,2,0,0
75,76,27,3,1,1,1,0,0,0,0,3,3,3,1,3,5,0,1
76,77,24,2,1,0,1,1,1,1,0,3,4,2,1,2,3,2,0
77,78,34,2,0,1,1,1,0,1,1,3,4,3,1,3,4,2,1
78,79,44,0,0,1,0,1,1,1,1,4,1,3,1,4,3,1,1
79,80,25,3,0,1,1,0,0,0,0,3,2,4,1,4,3,2,0
80,81,27,2,0,0,1,0,0,1,1,4,4,4,1,4,4,0,1
81,82,25,2,1,1,1,0,0,0,0,4,3,4,1,3,4,0,0
82,83,26,4,0,1,1,0,0,0,0,1,2,3,0,5,3,0,0
83,84,29,3,0,1,1,0,1,1,1,4,4,3,1,3,3,2,1
84,85,25,4,0,0,1,0,0,1,1,4,4,4,1,4,4,0,1
85,86,27,2,1,1,1,1,1,0,1,3,3,4,1,3,3,0,0
86,87,25,3,1,1,1,0,0,0,0,4,3,2,1,3,3,2,1
87,88,24,4,1,1,1,1,0,1,1,1,5,2,1,3,5,0,1
88,89,25,2,0,0,1,0,0,1,1,3,4,4,1,4,5,0,1
89,90,29,5,1,0,1,0,1,1,1,4,3,4,0,2,5,0,0
90,91,35,5,1,0,0,1,0,1,1,2,1,3,1,3,2,1,1
91,92,26,2,0,0,1,0,0,0,1,5,5,1,1,1,2,2,1
92,93,24,0,1,1,1,1,1,1,0,2,2,2,1,3,3,1,0
93,94,28,6,1,0,1,1,1,1,1,2,4,3,1,2,5,2,1
94,95,29,6,1,1,1,0,0,0,0,3,3,4,0,4,4,1,0
95,96,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
96,97,32,2,0,0,0,0,0,0,0,4,1,5,0,3,3,2,0
97,98,26,1,1,0,1,0,0,1,1,2,4,5,0,4,4,2,1
98,99,45,0,0,0,0,0,0,0,0,5,1,5,0,5,5,0,0
99,100,24,5,0,0,1,0,0,0,0,3,1,5,1,4,3,2,0
100,101,26,1,1,1,1,0,0,1,1,2,4,3,1,5,3,0,1
101,102,24,6,1,1,1,1,1,1,1,5,1,3,0,1,3,0,0
102,103,27,6,0,1,1,0,1,1,1,3,5,5,0,1,4,2,1
103,104,25,1,0,0,1,0,0,0,0,1,1,5,0,5,4,2,0
104,105,21,5,1,1,1,0,0,0,0,3,4,3,1,3,2,2,1
105,106,25,3,1,1,1,0,1,1,1,3,5,3,1,3,4,2,1
106,107,24,2,1,0,1,1,1,1,0,3,4,2,1,2,3,2,0
107,108,26,6,1,1,1,0,1,1,1,5,3,3,1,1,2,2,1
108,109,26,1,0,1,1,0,0,0,0,3,3,3,0,4,4,0,0
109,110,29,6,0,1,0,0,1,1,1,4,5,4,0,2,4,0,0
110,111,27,2,1,1,1,1,1,1,1,3,4,2,0,1,4,0,1
111,112,27,1,1,1,1,1,1,0,1,2,1,2,0,1,5,1,1
112,113,23,3,0,0,1,0,0,0,1,3,4,4,1,2,3,2,1
113,114,24,6,1,1,1,0,0,1,1,3,5,4,0,2,3,2,1
114,115,25,2,0,0,1,0,0,0,0,3,4,4,0,3,4,2,0
115,116,52,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
116,117,23,4,0,1,1,0,1,1,1,4,4,4,0,1,4,0,1
117,118,22,2,1,1,1,1,1,1,1,4,4,2,1,2,2,2,1
118,119,28,6,0,0,1,0,0,0,0,3,3,5,1,3,4,1,1
119,120,53,1,0,0,0,0,0,0,0,2,3,4,1,4,3,2,0
120,121,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
121,122,27,4,0,0,0,0,0,1,1,2,4,3,0,2,3,0,1
122,123,25,5,1,0,1,1,1,1,1,4,5,3,1,2,3,0,1
123,124,52,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
124,125,25,5,0,0,1,0,0,0,0,1,1,5,0,5,4,2,0
125,126,27,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
126,127,29,2,0,0,0,0,0,1,1,2,3,3,0,4,5,0,0
127,128,22,0,1,1,1,1,1,1,0,3,3,3,1,3,3,1,0
128,129,28,2,0,0,1,0,0,1,1,3,2,4,1,3,5,0,1
129,130,26,5,1,1,1,0,0,0,1,3,4,4,0,4,5,0,0
130,131,26,2,1,1,1,0,1,0,1,3,3,3,0,4,3,2,1
131,132,29,1,0,2,0,0,1,1,1,5,3,5,0,1,3,1,1
132,133,30,6,1,0,1,1,1,1,1,2,4,3,1,2,5,2,1
133,134,33,2,0,0,0,0,0,0,0,4,1,5,0,3,3,2,0
134,135,54,4,1,0,0,0,0,0,0,4,4,4,0,5,3,1,0
135,136,25,5,1,0,1,0,0,1,1,4,4,4,1,4,3,2,1
136,137,25,5,0,1,0,0,1,1,1,5,3,5,0,1,3,1,1
137,138,24,0,0,1,1,0,0,0,0,3,3,4,1,2,3,1,1
138,139,25,4,0,1,1,0,1,1,1,4,4,3,1,3,3,2,1
139,140,36,2,0,1,1,1,0,1,1,3,4,3,1,3,4,2,1
140,141,26,3,1,0,1,1,0,1,1,3,3,5,0,4,2,0,0
141,142,45,0,0,0,0,0,0,0,0,5,1,5,0,5,5,0,0
142,143,24,0,1,1,1,1,1,1,0,2,2,2,1,3,3,1,0
143,144,53,1,0,0,0,0,0,0,0,3,3,4,1,5,3,1,0
144,145,26,2,0,0,1,0,0,1,1,3,4,4,1,4,5,0,1
145,146,25,5,1,0,1,1,1,1,1,4,5,3,1,2,3,0,1
146,147,40,1,1,1,1,0,0,0,0,3,3,3,1,3,5,0,1
147,148,24,2,1,0,1,1,1,1,0,3,4,2,1,2,3,2,0
148,149,25,2,1,1,1,0,0,0,1,2,4,3,1,2,4,2,1
149,150,26,3,0,1,1,0,0,0,0,3,2,4,1,4,3,2,0
150,151,27,2,0,0,1,0,0,1,1,4,4,4,1,4,4,0,1
151,152,25,2,1,1,1,0,0,0,0,4,3,4,1,3,4,0,0
152,153,29,4,1,1,1,0,0,0,0,1,2,3,0,5,3,0,0
153,154,28,2,1,1,1,1,1,0,1,3,3,4,1,3,3,0,0
154,155,25,3,1,1,1,0,0,0,0,4,3,2,1,3,3,2,1
155,156,24,4,1,1,1,1,0,1,1,1,5,2,1,3,5,0,1
156,157,44,0,0,1,0,1,1,1,1,4,1,3,1,4,3,1,1
157,158,25,5,1,0,1,0,1,1,1,4,3,4,0,2,5,0,0
158,159,44,5,1,0,0,1,0,1,1,2,1,3,1,3,2,1,1
159,160,29,2,0,0,1,0,0,0,1,5,5,1,1,1,2,2,1
160,161,41,0,0,1,0,0,0,0,1,3,2,4,0,3,4,1,1
161,162,30,6,1,0,1,1,1,1,1,2,4,3,1,2,5,2,1
162,163,30,6,1,1,1,0,0,0,0,3,3,4,0,4,4,1,0
163,164,26,6,0,0,1,0,0,0,0,3,3,5,1,3,4,1,1
164,165,53,1,0,0,0,0,0,0,0,2,3,4,1,4,3,2,0
165,166,42,0,0,0,0,0,0,1,1,1,1,5,0,4,5,0,1
166,167,27,4,0,0,0,0,0,1,1,2,4,3,0,2,3,0,1
167,168,25,4,0,0,1,0,0,1,1,4,4,4,1,4,4,0,1
168,169,28,1,0,0,1,0,0,0,0,3,1,5,1,4,3,2,0
169,170,25,1,1,1,1,0,0,1,1,2,4,3,1,5,3,0,1
170,171,29,6,1,1,1,1,1,1,1,5,1,3,0,1,3,0,0
171,172,26,6,0,1,1,0,1,1,1,3,5,5,0,1,4,2,1
172,173,25,1,0,0,1,0,0,0,0,1,1,5,0,5,4,2,0
173,174,22,5,1,1,1,0,0,0,0,3,4,3,1,3,2,2,1
174,175,25,3,1,1,1,0,1,1,1,3,5,3,1,3,4,2,1
175,176,24,2,1,0,1,1,1,1,0,3,4,2,1,2,3,2,0
176,177,29,6,1,1,1,0,1,1,1,5,3,3,1,1,2,2,1
177,178,26,1,0,1,1,0,0,0,0,3,3,3,0,4,4,0,0
178,179,28,6,0,1,0,0,1,1,1,4,5,4,0,2,4,0,0
179,180,28,2,1,1,1,1,1,1,1,3,4,2,0,1,4,0,1
180,181,27,1,1,1,1,1,1,0,1,2,1,2,0,1,5,1,1
