,Unnamed: 0,Gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,target
0,0,0,0,13,0,0,460,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18.0,0
1,1,0,1,25,1,1,235,3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6.0,0
2,2,1,0,26,1,1,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0,1
3,3,1,0,25,1,1,562,2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9.0,0
4,4,0,0,61,1,1,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0.0,1
5,5,1,0,26,0,2,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0.0,0
6,6,0,0,47,0,2,1276,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23.0,0
7,7,1,0,52,1,1,2035,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0.0,1
8,8,1,0,41,1,1,853,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0.0,0
9,9,0,1,20,1,2,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0.0,0
10,10,1,1,24,1,2,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,0
11,11,1,0,12,0,0,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0.0,0
12,12,0,0,53,1,2,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8.0,0
13,13,0,0,33,0,2,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0.0,1
14,14,1,0,26,0,2,453,3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35.0,0
15,15,0,1,13,1,2,486,2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0.0,0
16,16,1,0,26,1,1,2123,3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51.0,1
17,17,0,0,41,1,1,2075,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10.0,1
18,18,1,0,45,1,1,2486,4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5.0,1
19,19,0,0,38,0,2,460,2,3,3,2,5,3,5,5,1,2,4,3,2,5,17,18.0,0
20,20,0,0,9,1,2,1174,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4.0,0
21,21,1,0,17,0,2,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0.0,0
22,22,1,0,43,0,2,752,3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29.0,0
23,23,1,0,58,0,2,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0.0,0
24,24,1,1,23,1,2,452,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44.0,1
25,25,0,0,57,0,2,719,4,4,4,1,5,4,5,5,3,2,4,4,5,5,27,28.0,0
26,26,1,0,33,1,1,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0.0,1
27,27,1,0,49,1,0,315,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8.0,1
28,28,1,0,36,1,1,3347,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12.0,0
29,29,0,0,22,0,2,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0.0,0
30,30,1,0,31,1,1,819,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0.0,1
31,31,1,1,15,1,2,1043,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0.0,0
32,32,1,0,35,1,1,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120.0,1
33,33,1,0,67,0,2,1192,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24.0,0
34,34,0,1,37,1,1,1182,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0.0,0
35,35,1,0,40,1,2,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1.0,0
36,36,1,1,34,1,1,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0.0,0
37,37,0,0,40,0,0,550,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20.0,0
38,38,1,0,47,0,2,302,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31.0,1
39,39,0,1,41,1,1,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0.0,0
40,40,0,0,39,1,1,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0.0,1
41,41,1,1,25,1,1,1452,3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23.0,0
42,42,0,0,41,1,1,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0.0,1
43,43,1,0,38,1,1,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,1
44,44,1,0,50,1,1,460,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15.0,1
45,45,0,0,29,1,1,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0.0,1
46,46,1,0,22,0,1,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0.0,0
47,47,1,0,13,1,1,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0.0,0
48,48,0,0,54,1,1,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0.0,1
49,49,0,0,21,0,2,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0.0,0
50,50,0,0,28,1,2,731,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8.0,0
51,51,0,0,27,1,1,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1.0,1
52,52,1,0,69,1,2,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0,1
53,53,0,0,35,0,2,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0.0,0
54,54,1,0,60,0,2,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10.0,0
55,55,1,0,45,1,1,3334,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48.0,1
56,56,1,0,57,1,1,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5.0,1
57,57,0,0,40,1,1,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0.0,1
58,58,1,1,38,1,1,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26.0,0
59,59,0,1,23,1,2,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0.0,0
60,60,0,1,39,1,1,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0.0,0
61,61,1,0,52,1,1,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,1
62,62,0,1,25,1,2,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1.0,0
63,63,1,0,48,1,1,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0.0,1
64,64,1,0,59,1,1,2227,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15.0,1
65,65,0,0,25,1,1,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0.0,1
66,66,0,0,38,0,2,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0.0,0
67,67,0,0,46,1,1,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0.0,1
68,68,0,0,50,1,2,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12.0,0
69,69,1,0,38,1,0,157,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0.0,1
70,70,1,0,53,1,1,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0.0,1
71,71,0,0,30,1,0,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49.0,0
72,72,0,1,39,1,1,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2.0,0
73,73,0,0,66,0,0,516,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37.0,0
74,74,0,0,45,0,2,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0.0,0
75,75,1,1,25,1,1,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1.0,1
76,76,0,0,52,1,1,1190,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6.0,0
77,77,0,0,64,0,2,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5.0,1
78,78,1,1,50,1,2,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0.0,0
79,79,1,1,41,1,1,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0.0,0
80,80,0,0,26,1,1,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48.0,1
81,81,1,1,25,1,2,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0.0,0
82,82,1,1,44,1,1,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8.0,0
83,83,1,1,21,1,1,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0.0,1
84,84,0,0,47,1,1,406,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50.0,1
85,85,0,0,31,1,0,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3.0,1
86,86,1,0,57,0,0,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0.0,0
87,87,0,0,44,0,2,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0.0,0
88,88,0,0,45,1,1,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0.0,1
89,89,0,1,13,1,2,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0.0,0
90,90,0,0,60,0,2,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0.0,1
91,91,1,1,41,1,1,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19.0,1
92,92,0,0,30,1,1,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72.0,0
93,93,1,0,51,1,0,261,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0.0,1
94,94,1,0,61,1,2,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11.0,1
95,95,1,0,32,1,2,1042,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34.0,1
96,96,1,0,39,0,2,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18.0,0
97,97,0,0,19,0,1,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0.0,0
98,98,1,0,15,0,0,297,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62.0,0
99,99,1,1,42,1,1,883,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27.0,1
100,100,1,0,16,0,2,332,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52.0,0
101,101,0,0,19,1,1,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0,1
102,102,1,0,29,0,2,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0.0,0
