,chromogram_3_3,chromogram_3_4,chromogram_3_5,chromogram_3_6,chromogram_3_7,chromogram_3_8,chromogram_3_9,chromogram_4_0,chromogram_4_1,chromogram_4_10,chromogram_4_11,chromogram_4_12,chromogram_4_2,chromogram_4_3,chromogram_4_4,chromogram_4_5,chromogram_4_6,chromogram_4_7,chromogram_4_8,chromogram_4_9,chromogram_5_0,chromogram_5_1,chromogram_5_10,chromogram_5_11,chromogram_5_12,chromogram_5_2,chromogram_5_3,chromogram_5_4,chromogram_5_5,chromogram_5_6,chromogram_5_7,chromogram_5_8,chromogram_5_9,chromogram_6_0,chromogram_6_1,chromogram_6_10,chromogram_6_11,chromogram_6_12,chromogram_6_2,chromogram_6_3,chromogram_6_4,chromogram_6_5,chromogram_6_6,chromogram_6_7,chromogram_6_8,chromogram_6_9,chromogram_7_0,chromogram_7_1,chromogram_7_10,chromogram_7_11,chromogram_7_12,chromogram_7_2,chromogram_7_3,chromogram_7_4,chromogram_7_5,chromogram_7_6,chromogram_7_7,chromogram_7_8,chromogram_7_9,chromogram_8_0,chromogram_8_1,chromogram_8_10,chromogram_8_11,chromogram_8_12,chromogram_8_2,chromogram_8_3,chromogram_8_4,chromogram_8_5,chromogram_8_6,chromogram_8_7,chromogram_8_8,chromogram_8_9,chromogram_9_0,chromogram_9_1,chromogram_9_10,chromogram_9_11,chromogram_9_12,chromogram_9_2,chromogram_9_3,chromogram_9_4,chromogram_9_5,chromogram_9_6,chromogram_9_7,chromogram_9_8,chromogram_9_9,spec_centr_0,spec_centr_1,spec_centr_10,spec_centr_11,spec_centr_12,spec_centr_2,spec_centr_3,spec_centr_4,spec_centr_5,spec_centr_6,spec_centr_7,spec_centr_8,spec_centr_9,target
0,0.505794973,0.07008352907,0.4618741433,0.5964468377,0.7067726784,0.3513867194,0.7389932802,0.09475031695,0.3464476805,0.6484255851,0.5109147295,0.2059021855,0.5792297071,0.3512075317,0.04167300543,0.8048709045,0.9540113268,0.8857393148,0.3521004041,0.4931173326,0.09750803138,0.5882904465,0.4082263487,0.2731424721,0.09046319511,0.8987244996,0.4709208035,0.1480258189,0.8154599843,1.0,0.9374666508,0.461728942,0.3974521846,0.0671618538,0.504282503,0.2223970954,0.1530171645,0.03725747107,1.0,0.7150266228,0.8476261542,0.7592053964,0.8709969207,1.0,0.4781778005,0.3250544851,0.0305702853,0.2423676261,0.2025613142,0.178668967,0.02778793522,0.6542688047,0.673527822,1.0,0.5744700211,0.509623462,0.5778359869,0.8344102069,0.7496277721,0.02566307339,0.09788148646,0.3995114777,0.4341862417,0.07151526836,0.2249058838,0.2108573877,0.2114349957,0.2506974134,0.4246069015,0.2591470329,1.0,1.0,0.06688741717,0.1477487066,0.2625669807,0.3097030989,0.1587321301,0.1180336176,0.07500451666,0.05069532066,0.4554648239,0.6009627761,0.254862925,0.2350057174,0.2356393,2439.940409,2618.082983,2585.327414,2624.325873,2507.041444,2730.515996,2609.940118,2703.391485,2676.400501,2818.37597,2706.119792,2740.820762,2684.624946,0
1,0.5098329426,0.06984399769,0.4526680353,0.5863714326,0.6977796441,0.3458429803,0.7392329619,0.09553938686,0.3462554562,0.6534851261,0.5178022245,0.2092050551,0.5739897465,0.3486622579,0.04114022107,0.7969520995,0.9474219728,0.880366403,0.3445087091,0.4946546542,0.09861006342,0.5924332848,0.4099501158,0.2760662324,0.09177851972,0.8916369757,0.4650992111,0.1405238908,0.8154521906,1.0,0.9314753298,0.4514681227,0.3956420219,0.06918413402,0.5162254254,0.2243460886,0.1540426679,0.0386179063,1.0,0.7082422169,0.817289548,0.7475228765,0.8758185608,1.0,0.4697483168,0.3216818729,0.03096623651,0.2509138863,0.1997479472,0.1758845561,0.02728781005,0.6641684354,0.6833144509,1.0,0.5755092887,0.5184681029,0.5867596458,0.8101767234,0.7264005466,0.02506487344,0.1001366389,0.396697132,0.4296113744,0.06998723006,0.2298554164,0.2175176943,0.2171881503,0.2482682751,0.4170231787,0.2592237262,1.0,1.0,0.06377708456,0.145189313,0.2659099141,0.3149901003,0.1584171105,0.1175713314,0.07472027235,0.050129239,0.4500143956,0.6043980176,0.2550505873,0.2406049416,0.2421425506,2447.41988,2622.258158,2585.928421,2620.109842,2490.339399,2730.212864,2609.668564,2703.721292,2676.695013,2818.554958,2705.497472,2741.509333,2683.727859,0
2,0.5001321326,0.06891926746,0.4695953277,0.5977034833,0.7087747729,0.3464977002,0.7557884234,0.09450112278,0.3546499066,0.6485484838,0.5062635103,0.1980577171,0.5797114576,0.344965755,0.04212646255,0.819279153,0.9527614676,0.8859957201,0.3448473748,0.5028321864,0.09865084658,0.6020868616,0.4077947491,0.2714711722,0.09082756873,0.8975762245,0.4621900534,0.1493513009,0.8263372469,1.0,0.937833017,0.4524361153,0.4023381208,0.06848841349,0.5192493241,0.2224189187,0.151359478,0.03654823261,1.0,0.7137578866,0.8498870117,0.7488762614,0.8770422047,1.0,0.4686537891,0.3265235556,0.03132985612,0.2517282622,0.2029191968,0.1773843598,0.02815185714,0.6554042589,0.6797436685,1.0,0.5597291833,0.5135439987,0.5787390487,0.8303274993,0.7493196368,0.02454570694,0.1007611791,0.4035660554,0.4302353708,0.06976236782,0.2252078204,0.2117042017,0.2107563879,0.2542076405,0.4237041565,0.2592989101,1.0,1.0,0.06667489855,0.1496456898,0.2650105333,0.3084191483,0.158669898,0.117275496,0.07474415519,0.05132109095,0.4657298367,0.5968138127,0.2519174849,0.2334729268,0.2374920583,2437.991801,2620.895333,2587.440124,2619.813363,2497.486714,2729.438087,2609.010529,2704.515718,2677.465965,2818.971388,2703.952638,2743.21396,2681.482884,0
3,0.50597817,0.068579894,0.4556078733,0.5828185611,0.6953745398,0.3387131129,0.7565210029,0.09784311519,0.3593328083,0.6562308506,0.5167322251,0.2011841307,0.5720835311,0.3411716129,0.04136446892,0.8072366988,0.9431588864,0.8779039229,0.3341199546,0.50561377,0.09972776968,0.6150653123,0.4104021068,0.2770906004,0.09539224065,0.8871200485,0.4533795759,0.1382778341,0.8268112168,1.0,0.9288260795,0.4376808228,0.3998659578,0.07086460157,0.5433896563,0.2253554992,0.1520898647,0.03587801431,1.0,0.7030349298,0.804720112,0.7328104742,0.8843486145,1.0,0.4565687102,0.3217790087,0.03223793369,0.2682259145,0.1988168127,0.1735332159,0.0276718955,0.67033749,0.6943637383,1.0,0.5614003325,0.5270927062,0.5921182078,0.7943751323,0.7149369128,0.02479114861,0.1060043875,0.3991992559,0.4232319491,0.06684928127,0.232763525,0.2218592526,0.2194516079,0.2502516516,0.4126489187,0.2597770994,1.0,1.0,0.06155900433,0.1472954072,0.2703469016,0.3158713147,0.1557737099,0.1166621592,0.07434144776,0.05047185411,0.4578085101,0.6020079182,0.2521389227,0.2421906136,0.2473534908,2444.16302,2621.855123,2588.352879,2622.729606,2503.217602,2728.961249,2608.631818,2704.971676,2677.953716,2819.200288,2703.033515,2744.224849,2680.13357,0
4,0.5208733198,0.06898440786,0.4246045465,0.5532484603,0.6685288028,0.3279543569,0.7489773401,0.0973102067,0.3545647663,0.6728750768,0.5410886216,0.2118487906,0.5583131053,0.33824895,0.03993915561,0.7747005948,0.9248697268,0.8615540353,0.3201648584,0.5078666891,0.1012592765,0.6205330901,0.4161416427,0.2883596968,0.1002823774,0.8680646994,0.4420350745,0.1185295456,0.8211433109,1.0,0.9108825062,0.4163664905,0.39282644,0.07483044416,0.5728821059,0.2318974232,0.155903539,0.03740708082,1.0,0.6807574982,0.7207254521,0.7106532533,0.8949133836,1.0,0.4423205525,0.3141800527,0.03397295188,0.2916121861,0.19147047,0.1678059065,0.02729286743,0.6998746153,0.7159406877,1.0,0.5745384224,0.5525268487,0.6189753784,0.7320046519,0.652912778,0.0254762352,0.1134099125,0.3865634835,0.4106008577,0.06301341391,0.2490423586,0.2423552478,0.2392603141,0.2421733004,0.3931186871,0.2618446419,1.0,1.0,0.05463867975,0.1407377806,0.2808541106,0.329773564,0.1421050491,0.1165596447,0.07430989406,0.04906248839,0.4362383238,0.6133835117,0.2542811352,0.2636679383,0.2694009202,2443.143484,2623.670294,2588.658007,2627.490345,2523.364512,2728.800252,2608.508516,2705.120155,2678.118949,2819.273155,2702.728487,2744.559785,2679.68339,0
5,0.4961114187,0.0681648416,0.4752206103,0.5986293359,0.7101937989,0.3433247631,0.768157857,0.09510725707,0.3620732085,0.64861656,0.5062294768,0.1976934939,0.580068018,0.3405416189,0.04252499434,0.8297557688,0.9518955386,0.8861790107,0.3400131217,0.510009468,0.1005492535,0.6150274295,0.4074695119,0.2710880002,0.09149877948,0.8967757217,0.4560475468,0.1503642267,0.8343731912,1.0,0.9381247725,0.4461392312,0.4059832331,0.07006585625,0.5324916288,0.2224381151,0.1500014352,0.03433397927,1.0,0.7131714271,0.8515223169,0.7420791706,0.8813106166,1.0,0.462187109,0.327646449,0.03184608293,0.2597130776,0.2032561679,0.1767123329,0.02809558344,0.6562121276,0.6845322431,1.0,0.5497599707,0.5163028466,0.5794731816,0.8275562201,0.7491016907,0.02546374835,0.1039475719,0.4065631024,0.4280715294,0.06828916311,0.2254250442,0.2123892735,0.2102802641,0.2569399557,0.4230142517,0.259570671,1.0,1.0,0.06588066632,0.1510167041,0.2667580652,0.3081080373,0.157450114,0.1167485592,0.07457711634,0.05180430923,0.4732719281,0.5938136425,0.2498748918,0.2324173826,0.2388733428,2436.973749,2624.006236,2588.963534,2621.023266,2501.054727,2728.638207,2608.386759,2705.266886,2678.285429,2819.344329,2702.424128,2744.893685,2679.232991,0
6,0.4929095905,0.06760745807,0.4797894208,0.5993869212,0.7113213847,0.3409710636,0.7782840953,0.0968121898,0.3696208561,0.6486589835,0.5063184245,0.2002111285,0.5803604798,0.3370230967,0.04288954876,0.8382525375,0.9512191157,0.8863246831,0.3363453045,0.5158987044,0.1036384396,0.6283131594,0.407198897,0.2691044214,0.08850371807,0.8961466702,0.4511904967,0.1512149477,0.840966161,1.0,0.9383758671,0.4412979123,0.4089951612,0.07162699237,0.545221993,0.2224549256,0.150297692,0.03718077404,1.0,0.7128981796,0.8528428445,0.7369895951,0.8846948852,1.0,0.457206716,0.3285900507,0.03243582941,0.2672372891,0.20357136,0.1769069309,0.03056192261,0.6568570995,0.6885767482,1.0,0.5421169243,0.5184845046,0.580116815,0.8254223283,0.7489282264,0.02487504565,0.1063855295,0.4090157267,0.4264909948,0.069186048,0.2255999217,0.212986311,0.2099044759,0.2592612188,0.4224358492,0.2598905909,1.0,1.0,0.06642045608,0.1530022225,0.2681561196,0.3095642028,0.1631090998,0.1163356595,0.07445484161,0.05221298274,0.4794337294,0.591392572,0.2482784818,0.2315956549,0.2400143868,2449.135226,2623.489651,2590.189484,2616.923359,2490.433003,2727.979418,2607.915576,2705.835773,2678.963722,2819.611821,2701.213537,2746.21864,2677.429531,0
7,0.4921112011,0.06747451661,0.4809413394,0.5995786091,0.7116021442,0.3404077017,0.7808483193,0.09668428249,0.3701992319,0.6486678976,0.5065959359,0.2002915643,0.5804345531,0.3361463564,0.04298713046,0.8403930882,0.9510522363,0.8863608582,0.3354553564,0.5173918828,0.1028361633,0.6289658035,0.4071297796,0.2686655869,0.08746632739,0.8959908871,0.4499841688,0.151433305,0.8426375455,1.0,0.9384410463,0.4401140922,0.4097617144,0.07155118357,0.5464048309,0.2224592685,0.1502728375,0.03724832073,1.0,0.7128574233,0.8531747091,0.7357655346,0.885536611,1.0,0.455987656,0.3288323581,0.03245275505,0.268157372,0.2036562164,0.1763671138,0.02954246425,0.6570182043,0.6896179347,1.0,0.5402519733,0.5190263073,0.5802858174,0.8249000516,0.748884952,0.02521579228,0.1068834137,0.4096360386,0.4256769066,0.06775600921,0.2256438115,0.2131424434,0.2098112415,0.2598603824,0.4222875761,0.2599852133,1.0,1.0,0.06574917808,0.1528193646,0.2685055166,0.3089774953,0.1607926659,0.1162336264,0.07442584777,0.05231825489,0.4809921704,0.5907844104,0.2478846755,0.2313933061,0.2403047656,2445.83449,2625.489985,2590.496862,2620.19333,2508.467046,2727.812025,2607.801874,2705.97343,2679.136366,2819.674415,2700.912614,2746.547139,2676.978173,0
8,0.5199426024,0.06811335579,0.4214513616,0.5454492337,0.6621103382,0.3214215192,0.7640166056,0.09984095456,0.36196317,0.6790333034,0.5492737962,0.2180520322,0.5550438602,0.3315119471,0.04005915258,0.7774303027,0.9184913526,0.856466988,0.3108740549,0.5199643207,0.103451853,0.6362532244,0.4178417974,0.2882067285,0.09501701611,0.8612926642,0.429926824,0.114031627,0.8311773636,1.0,0.9053179925,0.4025470549,0.3961809676,0.0765793851,0.5979093336,0.2342158018,0.1569554083,0.04006178144,1.0,0.6706287572,0.6968161225,0.6982790714,0.9043872265,1.0,0.4304094576,0.314280821,0.03512147206,0.3102862178,0.1898738541,0.1647381703,0.02693671807,0.7110926142,0.7285899298,1.0,0.5654380201,0.5657654127,0.6289388916,0.7092565097,0.6339843427,0.02526758288,0.1199586433,0.3857190163,0.401781077,0.05920419297,0.2553539863,0.2507120796,0.2457219227,0.2422394432,0.3870273338,0.2640376984,1.0,1.0,0.0522294432,0.1406111811,0.2877960888,0.3337771682,0.1379759258,0.1161287899,0.0742226246,0.04927813044,0.4397491618,0.6130030987,0.2520399276,0.2707138532,0.2793653449,2433.358318,2624.625515,2590.804579,2617.812417,2493.217471,2727.643565,2607.689861,2706.109198,2679.310216,2819.73532,2700.612402,2746.874506,2676.526594,0
9,0.4873382075,0.06673064114,0.4879370587,0.6007483807,0.7132759591,0.3372328336,0.7965139135,0.09967763852,0.3794966835,0.6487071975,0.5011487264,0.1926765706,0.5808869986,0.3309103887,0.04362765994,0.8533779787,0.9500702235,0.8865746382,0.3303363345,0.5265301125,0.1064238615,0.6439183682,0.4067028073,0.2670478273,0.08971441323,0.8950689224,0.4428136751,0.1527918093,0.8528644364,1.0,0.9388518854,0.4332278034,0.4144772841,0.07282157807,0.5614208429,0.2224860392,0.1495408209,0.03942292963,1.0,0.7128473882,0.8551804129,0.7288275472,0.8905504878,1.0,0.4488854819,0.3303408637,0.03262122802,0.2771152534,0.2042138434,0.1743840652,0.02927844843,0.6579840196,0.6961209096,1.0,0.5294444292,0.5222469068,0.5813700666,0.821857606,0.7486256959,0.02535255843,0.1101896229,0.4134139491,0.4200070826,0.06454529151,0.2259086189,0.2141376117,0.2092577347,0.2636142847,0.4213678556,0.2606797427,1.0,1.0,0.06612566544,0.1551148205,0.2706002382,0.3083270197,0.1631020765,0.1156313518,0.07426513795,0.05297624471,0.4904957569,0.58711243,0.2455671767,0.2302044613,0.2420910854,2437.417028,2627.845891,2592.347856,2616.391547,2482.218441,2726.785296,2607.155718,2706.759693,2680.197583,2820.014575,2699.122099,2748.494132,2674.265882,0
