,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,target
0,24,2,3,3,1,1,2,3,0,0
1,45,1,3,10,1,1,3,4,0,0
2,43,2,3,7,1,1,3,4,0,0
3,42,3,2,9,1,1,3,3,0,0
4,36,3,3,8,1,1,3,2,0,0
5,19,4,4,0,1,1,3,3,0,0
6,38,2,3,6,1,1,3,2,0,0
7,21,3,3,1,1,0,3,2,0,0
8,27,2,3,3,1,1,3,4,0,0
9,45,1,1,8,1,1,2,2,1,0
10,38,1,3,2,1,0,3,3,1,0
11,42,1,4,4,1,1,1,3,0,0
12,44,4,4,1,1,0,1,4,0,0
13,42,2,4,1,1,0,3,3,0,0
14,38,3,4,2,1,1,2,3,0,0
15,26,2,4,0,1,1,4,1,0,0
16,48,1,1,7,1,1,2,4,0,0
17,39,2,2,6,1,1,2,4,0,0
18,37,2,2,8,1,1,2,3,0,0
19,39,2,1,5,1,1,2,1,1,0
20,26,3,4,1,1,0,4,1,0,0
21,24,3,4,0,1,0,3,1,0,0
22,46,4,4,1,0,1,1,4,0,0
23,39,4,4,1,1,1,1,4,0,0
24,48,4,4,5,1,1,1,4,0,0
25,40,2,4,8,1,1,3,3,0,0
26,38,4,4,1,1,0,1,4,0,0
27,29,4,4,0,1,0,1,4,0,0
28,24,4,4,0,1,0,2,2,0,0
29,43,1,2,8,1,1,2,4,0,0
30,31,3,4,2,1,1,1,4,0,0
31,31,4,4,2,1,1,3,2,0,0
32,26,2,4,0,1,0,1,2,0,0
33,33,2,2,2,1,1,3,1,0,0
34,24,2,3,1,1,1,3,3,0,0
35,42,1,3,9,1,1,3,2,1,0
36,43,1,2,8,1,0,3,1,0,0
37,25,3,3,4,1,1,3,2,0,0
38,42,2,2,3,1,1,3,4,0,0
39,28,2,2,1,1,1,2,4,0,0
40,28,1,1,3,1,1,3,1,0,0
41,47,2,3,0,1,0,1,3,0,0
42,48,2,4,2,1,1,1,3,0,0
43,40,4,4,2,0,1,1,4,0,0
44,28,2,2,1,1,1,3,2,0,0
45,25,1,4,1,1,1,2,1,0,0
46,32,4,4,2,1,1,2,3,0,0
47,45,4,4,0,1,1,2,4,0,0
48,26,4,4,1,1,1,1,4,0,0
49,26,4,4,0,1,0,1,4,0,0
50,31,4,4,0,1,0,1,4,0,0
51,49,4,4,7,0,1,2,4,0,0
52,40,3,4,8,1,1,3,3,0,0
53,34,4,4,1,0,0,2,3,0,0
54,36,2,4,5,1,1,2,3,0,0
55,20,2,2,2,1,1,2,2,1,0
56,43,4,4,5,1,0,1,4,0,0
57,37,3,4,7,1,1,2,1,0,0
58,21,2,3,0,1,1,3,4,0,0
59,49,4,4,6,1,1,1,2,0,0
60,42,3,3,10,1,1,3,3,0,0
61,20,2,3,1,1,1,2,3,0,0
62,47,1,2,2,1,0,1,3,0,0
63,22,2,3,1,1,1,2,1,0,0
64,27,2,4,1,1,0,1,3,0,0
