,surgery,Age,Hospital_Number,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,rectal_examination_-_feces,abdomen,abdominocentesis_appearance,outcome,site_of_lesion,type_of_lesion,subtype_of_lesion,pathology_cp_data,target
0,0,1,530101,0,0,0,0,0,0,0,0,0,0,0,0,0,11300,0,0,2,0
1,1,1,534817,1,1,1,1,1,0,1,0,0,1,1,1,1,2208,0,0,2,0
2,0,1,530334,2,2,2,1,1,1,2,0,0,2,2,0,2,0,0,0,1,0
3,1,9,5290410,3,2,3,0,2,0,0,1,1,0,3,2,0,2208,0,0,1,1
4,0,1,530255,1,1,3,0,3,2,3,0,0,3,3,0,0,4300,0,0,2,0
5,0,1,528355,4,2,2,1,2,1,1,2,2,0,4,0,2,0,0,0,2,0
6,1,1,526802,2,2,4,1,1,1,4,1,2,0,0,0,2,3124,0,0,2,1
7,1,1,529607,0,1,0,1,3,0,1,2,2,0,5,0,0,2208,0,0,2,1
8,0,1,530051,0,3,2,1,4,0,0,2,2,0,0,0,1,3205,0,0,2,1
9,0,9,5299630,2,1,4,1,0,1,2,2,2,0,3,3,2,0,0,0,1,0
10,1,1,528548,0,0,5,1,1,1,2,2,2,4,0,1,2,2124,0,0,1,1
11,0,1,527927,4,1,6,1,2,3,1,1,2,1,5,0,2,2111,0,0,2,1
12,1,1,528031,4,2,4,1,1,1,4,3,2,1,0,0,2,4124,0,0,2,0
13,0,9,5291330,2,2,6,1,5,1,1,3,0,2,2,3,0,0,0,0,1,0
14,1,1,534917,0,2,4,1,1,0,2,2,1,1,5,3,2,2112,0,0,2,1
15,1,1,530233,0,2,1,1,0,1,4,2,3,1,3,0,0,3207,0,0,2,1
16,1,9,5301220,0,0,1,0,4,0,4,3,0,1,0,2,0,1400,0,0,1,0
17,0,1,526639,1,1,0,2,3,2,3,0,0,3,3,0,2,0,0,0,2,0
18,1,1,5290480,2,2,6,1,2,1,2,1,2,4,0,3,2,4205,0,0,1,1
19,0,1,532110,3,0,3,2,3,1,4,0,0,3,3,0,2,0,0,0,2,0
20,1,1,530157,2,2,5,0,0,0,0,3,2,1,5,1,2,2111,0,0,2,1
21,0,1,529340,2,1,4,1,5,1,2,2,3,1,4,0,2,0,0,0,2,0
22,1,1,521681,4,2,1,2,2,1,2,0,0,2,3,0,2,3111,0,0,2,1
23,1,9,534998,1,0,0,1,2,0,3,0,0,3,3,0,2,3111,0,0,2,1
24,1,1,533692,0,0,2,1,3,0,4,3,1,3,3,0,2,3111,0,0,2,1
25,0,1,529518,1,1,0,1,3,2,3,0,0,3,3,0,2,0,0,0,2,0
26,1,1,530526,3,0,2,0,1,1,4,2,2,0,0,1,2,3111,0,0,1,1
27,1,1,528653,0,2,4,1,3,1,1,1,2,2,4,1,2,4122,0,0,1,0
28,1,1,5279440,1,1,0,2,3,2,3,0,0,3,3,0,0,4300,0,0,2,0
29,0,1,535415,4,2,4,1,5,3,2,1,2,3,3,0,2,0,0,0,2,0
30,0,1,529475,0,0,1,0,0,0,0,3,1,1,0,0,0,4205,0,0,2,1
31,0,1,530242,0,0,1,0,2,0,1,0,3,0,4,2,1,2207,0,0,1,1
32,1,1,529427,4,2,4,1,1,1,4,2,2,1,0,0,2,2209,0,0,2,1
33,1,1,529663,2,2,4,1,1,3,3,0,0,1,5,1,2,2208,0,0,1,1
34,1,1,529796,0,0,1,0,0,0,0,3,3,1,5,0,2,1124,0,0,2,1
35,0,1,528812,3,0,2,0,4,0,4,0,3,3,1,0,1,7111,0,0,2,1
36,0,1,529493,1,0,5,0,3,2,2,1,1,3,0,1,1,5205,0,0,1,0
37,1,1,533847,1,0,0,1,0,1,2,0,2,2,2,3,2,3111,0,0,2,1
38,0,1,528996,2,2,4,1,1,1,1,1,2,2,4,3,2,0,0,0,1,0
39,1,9,5277410,1,1,0,2,3,2,3,0,0,3,3,0,0,2113,0,0,2,1
40,1,1,529498,0,0,3,0,0,1,4,1,3,1,0,2,0,4205,0,0,2,1
41,0,9,5288250,1,1,0,2,3,2,3,0,0,3,3,0,2,9400,0,0,1,1
42,0,1,530301,0,2,2,1,1,1,2,1,2,4,1,0,2,3111,0,0,2,0
43,1,1,534069,0,3,1,1,4,0,0,1,2,3,0,1,1,3205,0,0,2,1
44,1,1,535407,0,0,1,0,4,0,3,2,2,3,0,2,1,3205,0,0,2,1
45,0,1,529827,3,0,1,0,0,0,0,1,2,1,0,2,0,3205,0,0,2,1
46,1,1,529888,0,1,1,0,0,0,0,2,1,1,0,0,2,2305,0,0,1,1
47,0,1,529821,2,2,4,1,5,3,2,1,2,2,3,0,2,0,0,0,2,0
48,1,1,528890,0,0,2,0,2,1,4,2,1,0,2,2,0,7111,0,0,2,1
49,0,1,529642,0,0,5,0,4,3,1,1,1,4,2,1,0,4300,0,0,1,0
50,0,1,529766,2,2,6,1,5,1,1,1,2,3,1,3,2,3111,0,0,1,0
51,1,1,527706,2,1,2,0,1,1,1,0,0,1,0,2,0,7209,0,0,1,1
52,0,1,529483,2,2,2,1,5,1,2,0,0,4,1,0,2,3111,0,0,2,0
53,0,1,530544,1,1,0,1,3,2,3,0,0,3,3,0,2,3111,0,0,1,0
54,0,1,529461,0,0,4,0,2,1,4,2,2,2,0,2,1,7400,0,0,1,1
55,1,9,5282840,0,1,5,1,1,1,0,3,0,1,3,1,0,7111,0,0,1,1
56,1,1,528872,1,1,0,2,3,2,3,0,0,3,3,0,2,3112,0,0,2,1
57,1,1,529640,4,1,6,1,0,1,4,2,1,3,3,0,0,3209,0,0,2,1
58,1,1,528298,3,0,2,2,0,0,4,2,0,1,5,2,0,3205,0,0,1,1
59,0,1,528904,0,0,2,0,0,0,0,1,1,1,0,0,0,4205,0,0,2,1
60,0,1,530438,2,2,2,1,2,3,3,1,2,1,0,0,2,2124,0,0,2,0
61,0,1,527957,4,4,4,1,5,4,1,2,2,2,2,0,2,0,0,0,2,0
62,1,1,528630,4,2,6,1,1,2,3,2,0,1,3,3,0,3205,0,0,1,1
63,0,1,534293,3,0,1,0,2,0,0,1,2,3,3,1,1,2209,1400,0,2,0
64,1,1,529667,0,2,1,0,1,1,1,1,1,1,0,2,2,2113,0,0,1,1
65,1,1,534885,0,2,2,1,1,1,1,1,2,0,5,1,2,2208,0,0,2,1
66,0,1,534784,2,2,5,0,1,1,2,1,3,0,5,3,2,2322,0,0,2,1
67,0,1,528931,2,2,4,1,5,1,2,2,2,0,1,3,2,3111,0,0,1,0
68,0,1,529777,2,1,2,1,3,2,3,2,3,3,3,0,2,2124,0,0,2,0
69,0,1,530276,2,2,4,1,5,1,3,1,2,0,1,1,2,3111,0,0,1,0
70,0,1,528214,0,1,0,1,1,2,4,2,1,1,5,0,1,2209,0,0,1,1
71,1,1,529424,2,2,4,1,5,4,2,2,0,2,2,1,2,0,0,0,1,0
72,1,1,5299250,1,1,0,2,3,2,3,0,0,3,3,0,0,2113,0,0,2,1
73,1,1,528469,2,2,5,1,4,1,2,2,3,2,3,1,0,2112,0,0,1,1
74,1,9,5292930,1,1,0,2,3,2,3,0,0,3,3,0,0,11124,0,0,2,1
