,A1,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A15,target
0,0,0.0,0,0,0,0,1.25,0,0,1.0,0,0,0.0,0
1,1,4.46,0,0,1,1,3.04,0,0,6.0,0,0,560.0,0
2,1,0.5,0,0,1,1,1.5,0,1,0.0,0,0,824.0,0
3,0,1.54,0,0,0,0,3.75,0,0,5.0,1,0,3.0,0
4,0,5.625,0,0,0,0,1.71,0,1,0.0,0,1,0.0,0
5,0,4.0,0,0,2,0,2.5,0,1,0.0,1,0,0.0,0
6,0,1.04,0,0,3,1,6.5,0,1,0.0,1,0,31285.0,0
7,1,11.585,0,0,4,0,0.04,0,1,0.0,0,0,1349.0,0
8,0,0.5,1,1,5,1,3.96,0,1,0.0,0,0,314.0,0
9,0,4.915,1,1,0,0,3.165,0,1,0.0,1,0,1442.0,0
10,0,0.83,0,0,6,1,2.165,1,1,0.0,1,0,0.0,0
11,0,1.835,0,0,6,1,4.335,0,1,0.0,0,0,200.0,0
12,1,6.0,0,0,5,0,1.0,0,1,0.0,1,0,0.0,0
13,0,6.04,0,0,5,0,0.04,1,1,0.0,0,0,2690.0,0
14,1,10.5,0,0,1,0,5.0,0,0,7.0,1,0,0.0,0
15,0,4.415,1,1,5,0,0.25,0,0,10.0,1,0,0.0,0
16,0,0.875,0,0,2,0,0.96,0,0,3.0,1,0,0.0,0
17,1,5.875,0,0,1,0,3.17,0,0,10.0,0,0,245.0,0
18,0,0.25,0,0,7,1,0.665,0,1,0.0,1,0,0.0,0
19,1,8.585,0,0,4,1,0.75,0,0,7.0,0,0,0.0,0
20,0,11.25,0,0,6,0,2.5,0,0,17.0,0,0,1208.0,0
21,0,1.0,0,0,6,0,0.835,0,1,0.0,0,1,0.0,0
22,1,8.0,0,0,6,0,7.875,0,0,6.0,1,0,1260.0,0
23,1,14.5,0,0,8,1,3.085,0,0,1.0,0,0,11.0,0
24,1,6.5,0,0,1,0,0.5,0,0,3.0,1,0,0.0,0
25,1,0.585,0,0,6,1,1.5,0,0,2.0,0,0,0.0,0
26,1,13.0,0,0,9,2,5.165,0,0,9.0,1,0,0.0,0
27,0,18.5,0,0,7,2,15.0,0,0,17.0,1,0,0.0,0
28,0,8.5,0,0,10,1,7.0,0,0,3.0,0,0,0.0,0
29,0,1.04,0,0,0,0,5.0,0,0,6.0,1,0,10000.0,0
30,0,14.79,0,0,11,0,5.04,0,0,5.0,1,0,0.0,0
31,0,9.79,0,0,8,1,7.96,0,0,8.0,0,0,0.0,0
32,0,7.585,0,0,9,2,7.585,0,0,15.0,1,0,5000.0,0
33,1,5.125,0,0,10,0,5.0,0,1,0.0,1,0,4000.0,0
34,1,10.75,0,0,1,0,0.415,0,0,5.0,1,0,560.0,0
35,0,1.5,0,0,0,0,2.0,0,0,11.0,1,0,35.0,0
36,0,1.585,0,0,4,1,1.835,0,0,12.0,1,0,713.0,0
37,1,11.75,0,0,8,1,0.5,0,0,2.0,1,0,551.0,0
38,0,0.585,1,1,4,0,0.25,0,0,2.0,0,0,500.0,0
39,0,9.415,0,0,12,3,14.415,0,0,11.0,1,0,300.0,0
40,0,9.17,0,0,6,0,4.5,0,0,12.0,1,0,221.0,0
41,0,15.0,0,0,6,1,5.335,0,0,11.0,0,0,2283.0,0
42,0,1.415,0,0,0,1,0.75,0,0,1.0,0,0,100.0,0
43,0,13.915,0,0,0,0,8.625,0,0,6.0,1,0,0.0,0
44,0,28.0,1,1,6,0,28.5,0,0,40.0,0,0,15.0,0
45,0,6.75,0,0,6,1,2.625,0,0,11.0,1,0,284.0,0
46,1,2.04,1,1,1,1,0.125,0,0,23.0,1,0,1236.0,0
47,0,4.46,0,0,4,1,6.04,0,0,3.0,0,0,300.0,0
48,0,1.54,0,0,9,2,3.5,1,1,0.0,0,0,0.0,0
49,0,0.665,0,0,6,0,0.165,1,1,0.0,0,0,0.0,0
50,1,0.5,0,0,6,1,0.875,0,1,0.0,1,0,0.0,0
51,0,1.0,0,0,1,0,1.75,0,1,0.0,1,0,0.0,0
52,0,2.04,0,0,0,0,0.04,0,1,0.0,1,0,5800.0,0
53,0,2.5,0,0,0,0,0.0,0,1,0.0,1,0,200.0,0
54,0,3.0,0,0,4,1,7.415,0,1,0.0,1,0,0.0,0
55,0,11.625,1,1,0,0,0.835,0,1,0.0,1,0,300.0,0
56,0,0.0,0,0,4,0,0.085,0,1,0.0,0,0,0.0,0
57,0,0.5,0,0,9,1,5.0,0,1,0.0,1,0,0.0,0
58,0,4.5,0,0,8,1,5.75,1,1,0.0,1,1,0.0,0
59,0,3.0,0,0,1,1,6.0,0,0,11.0,0,0,0.0,0
60,0,12.25,0,0,2,0,1.25,0,0,4.0,1,0,0.0,0
61,0,16.165,0,0,7,0,3.0,0,0,9.0,0,0,730.0,0
62,1,0.79,1,1,1,0,1.5,0,0,2.0,1,0,400.0,0
63,1,0.835,0,0,1,0,1.585,0,0,1.0,0,0,0.0,0
64,0,4.25,0,0,4,0,4.29,0,0,1.0,1,0,0.0,0
65,0,1.54,0,0,4,0,1.54,0,0,1.0,1,0,50000.0,0
66,1,1.0,0,0,6,0,2.0,0,0,11.0,0,0,456.0,0
67,0,0.375,0,0,2,0,0.25,0,0,3.0,0,0,15108.0,0
68,0,6.5,0,0,0,1,1.46,0,0,7.0,0,0,2954.0,0
69,0,25.125,0,0,8,1,1.625,0,0,1.0,1,0,500.0,0
70,0,7.5,0,0,10,2,1.585,0,1,0.0,1,1,0.0,1
71,0,4.0,0,0,7,2,12.5,0,1,0.0,1,0,0.0,1
72,1,5.0,0,0,4,0,13.5,0,1,0.0,1,0,0.0,1
73,0,0.5,0,0,2,0,10.75,0,1,0.0,0,1,0.0,1
74,0,7.0,1,1,6,0,1.625,1,1,0.0,0,0,2.0,1
75,0,5.29,0,0,1,0,0.375,0,0,1.0,0,0,0.0,1
76,0,6.5,0,0,11,0,0.125,0,1,0.0,1,0,0.0,1
77,1,0.585,1,1,11,0,0.585,0,1,0.0,1,0,0.0,1
78,0,1.165,1,1,5,0,2.5,0,0,1.0,0,0,20.0,1
79,0,9.75,0,0,6,0,0.25,0,1,0.0,0,0,0.0,1
80,0,19.0,0,0,12,3,0.0,0,0,1.0,0,0,0.0,1
81,1,1.5,0,0,2,0,2.0,0,1,0.0,0,1,0.0,1
82,0,0.5,0,0,2,0,0.25,0,1,0.0,0,1,0.0,1
83,1,3.5,0,0,7,0,3.0,0,1,0.0,1,0,0.0,1
84,0,0.625,0,0,11,0,0.455,0,1,0.0,1,0,0.0,1
85,0,4.0,0,0,6,2,5.0,0,1,0.0,1,1,0.0,1
86,0,0.375,0,0,7,0,0.875,0,1,0.0,1,1,0.0,1
87,0,2.21,1,1,11,0,4.0,0,1,0.0,0,0,0.0,1
88,0,4.5,0,0,11,0,1.0,0,1,0.0,1,0,0.0,1
89,1,1.5,0,0,13,4,0.0,0,1,0.0,1,0,27.0,1
90,0,12.75,1,1,6,1,5.0,0,1,0.0,0,0,0.0,1
91,0,15.5,0,0,6,0,0.5,0,1,0.0,0,0,0.0,1
92,0,5.0,1,1,11,0,8.5,0,1,0.0,0,0,0.0,1
93,0,1.375,1,1,6,1,9.46,0,1,0.0,1,0,100.0,1
94,0,1.5,1,1,6,0,1.5,0,1,0.0,1,0,225.0,1
95,1,3.54,0,0,9,2,0.5,0,1,0.0,1,0,0.0,1
96,0,0.625,1,1,11,0,0.125,0,1,0.0,0,0,1.0,1
97,0,0.5,0,0,6,2,0.835,0,1,0.0,1,1,0.0,1
98,1,11.0,1,1,1,0,3.0,0,1,0.0,1,0,0.0,1
99,1,1.0,0,0,1,0,1.0,0,0,2.0,1,0,500.0,1
100,0,1.75,1,1,6,2,0.25,0,1,0.0,1,0,400.0,1
101,0,16.5,1,1,6,0,4.0,0,1,0.0,0,0,0.0,1
102,0,5.0,0,0,1,0,0.375,0,0,2.0,0,0,38.0,1
103,0,12.0,0,0,5,0,2.25,0,0,2.0,1,0,5.0,1
104,0,4.0,1,1,9,1,5.75,0,0,2.0,1,0,0.0,1
105,0,15.5,0,0,10,5,0.0,0,0,20.0,0,0,130.0,1
106,0,1.165,0,0,5,0,0.5,0,1,0.0,0,1,0.0,1
107,1,11.0,1,1,11,0,4.5,0,1,0.0,0,0,0.0,1
108,0,2.25,1,1,8,1,10.0,0,1,0.0,1,0,0.0,1
109,1,0.75,0,0,6,0,0.795,0,0,5.0,1,0,5.0,1
110,0,3.5,0,0,0,0,3.5,0,0,3.0,1,0,0.0,1
111,1,1.04,1,1,12,3,0.5,0,0,3.0,0,0,147.0,1
112,0,12.5,0,0,0,0,0.875,0,1,0.0,1,0,0.0,1
113,1,0.75,0,0,5,2,1.0,0,0,3.0,1,0,0.0,1
114,0,1.25,1,1,6,1,1.375,0,0,3.0,1,0,210.0,1
115,1,1.125,0,0,1,0,1.29,0,0,2.0,0,0,0.0,1
116,0,7.0,0,0,1,1,11.5,0,0,7.0,1,0,5.0,1
117,0,6.5,0,0,5,0,6.29,0,0,15.0,0,0,11202.0,0
118,0,7.04,0,0,2,0,14.0,0,0,6.0,1,0,1332.0,0
119,1,10.335,0,0,4,1,0.335,0,0,1.0,1,0,50.0,0
120,0,6.21,0,0,1,0,0.04,0,0,1.0,0,0,300.0,0
121,0,12.5,0,0,4,0,1.21,0,0,67.0,1,0,258.0,0
122,1,12.5,0,0,11,0,1.5,0,0,12.0,1,0,567.0,0
123,1,6.665,0,0,1,0,7.375,0,0,3.0,1,0,0.0,0
124,1,9.0,0,0,1,0,8.5,0,0,5.0,1,0,0.0,0
125,0,5.0,0,0,8,1,7.5,0,0,6.0,1,0,1000.0,0
126,0,2.5,0,0,2,2,2.5,0,0,12.0,1,0,2510.0,0
127,0,11.0,0,0,1,0,2.5,0,0,7.0,1,0,809.0,0
128,0,4.25,0,0,9,2,3.25,0,0,2.0,0,0,610.0,0
129,1,3.5,0,0,0,0,0.835,0,1,0.0,0,1,0.0,0
130,0,5.5,0,0,10,5,13.0,0,0,1.0,1,0,0.0,0
131,0,1.835,0,0,6,0,2.25,0,0,1.0,0,0,150.0,0
132,1,8.0,0,0,10,2,6.5,0,0,6.0,0,0,51100.0,0
133,0,5.0,0,0,6,2,2.5,0,0,6.0,0,0,367.0,0
134,0,5.5,0,0,1,1,5.5,0,0,12.0,1,0,1000.0,0
135,0,6.5,0,0,1,1,6.0,0,1,0.0,1,0,0.0,0
136,0,0.54,1,1,11,0,0.5,0,0,3.0,0,0,1000.0,0
137,0,2.75,0,0,2,0,4.25,0,0,6.0,0,0,0.0,0
138,1,9.5,0,0,0,0,1.625,0,0,6.0,1,0,600.0,0
139,1,13.5,0,0,1,1,5.0,0,0,2.0,0,0,5000.0,0
140,1,3.75,0,0,4,1,0.625,0,0,9.0,1,0,0.0,0
141,1,16.0,0,0,13,3,0.0,0,0,15.0,0,0,247.0,0
142,0,0.29,1,1,4,1,1.75,0,0,8.0,0,0,375.0,0
143,0,11.0,0,0,0,0,2.0,0,0,1.0,0,0,278.0,0
144,0,1.665,0,0,4,1,5.085,0,0,9.0,0,0,827.0,0
145,0,2.5,0,0,4,1,2.75,0,0,6.0,0,0,2072.0,0
146,0,1.5,0,0,1,0,2.375,0,0,3.0,1,0,582.0,0
147,1,7.54,1,1,1,1,8.0,0,0,14.0,0,0,2300.0,0
148,1,6.5,0,0,6,2,4.0,0,0,7.0,1,0,3065.0,0
149,1,15.0,0,0,6,0,5.5,0,0,14.0,0,0,2200.0,0
150,1,0.46,0,0,4,1,0.415,0,0,11.0,1,0,6.0,0
151,1,10.0,0,0,1,0,4.0,0,0,14.0,0,0,1602.0,0
152,0,6.5,0,0,2,1,4.25,0,0,12.0,1,0,0.0,0
153,0,2.5,0,0,6,0,1.085,0,0,11.0,1,0,2184.0,0
154,0,1.5,0,0,4,1,5.5,0,0,3.0,1,0,0.0,0
155,1,11.5,1,1,13,4,0.0,0,0,11.0,1,0,0.0,0
156,1,3.04,1,1,8,1,2.54,0,0,1.0,0,0,0.0,0
157,1,15.0,0,0,10,5,0.0,0,0,14.0,0,0,3376.0,0
158,0,2.0,0,0,5,1,4.165,0,0,2.0,1,0,0.0,0
159,0,0.08,1,1,2,2,0.04,0,0,1.0,1,0,2000.0,0
160,0,2.0,0,0,8,1,1.0,0,0,4.0,0,0,7544.0,0
161,0,2.0,0,0,2,0,1.75,0,0,2.0,1,0,15.0,0
162,0,1.71,0,0,8,0,1.665,0,0,1.0,1,0,20.0,0
163,0,1.75,1,1,10,1,0.04,0,1,0.0,1,0,0.0,0
164,1,16.5,0,0,1,0,11.0,0,1,0.0,1,0,10561.0,0
165,1,10.0,0,0,1,1,1.75,0,1,0.0,0,0,837.0,0
166,0,9.5,0,0,1,0,1.0,0,1,0.0,1,0,400.0,0
167,1,0.54,0,0,4,0,0.04,0,1,0.0,0,0,11177.0,0
168,0,3.25,0,0,1,1,9.0,0,1,0.0,1,0,639.0,0
169,0,1.125,1,1,7,0,1.5,1,1,0.0,1,0,0.0,0
170,1,2.54,1,1,11,0,0.25,0,1,0.0,1,0,0.0,0
171,0,0.0,0,0,6,2,15.0,0,1,0.0,0,0,0.0,0
172,0,12.5,0,0,5,1,8.0,0,1,0.0,1,0,2028.0,0
173,1,13.585,0,0,5,1,8.5,0,1,0.0,1,0,0.0,0
174,0,10.5,0,0,1,1,1.335,0,1,0.0,0,0,0.0,0
175,0,1.5,1,1,0,0,0.375,0,1,0.0,1,0,1065.0,0
176,0,12.5,0,0,11,0,3.0,0,1,0.0,1,1,0.0,0
177,1,8.665,0,0,11,0,1.415,0,1,0.0,0,0,150.0,0
178,1,9.25,0,0,1,0,1.21,0,0,4.0,0,0,540.0,0
179,0,8.17,0,0,11,0,1.96,0,0,14.0,0,0,158.0,0
180,0,0.29,0,0,6,2,15.0,0,0,20.0,0,0,15000.0,0
181,1,2.335,0,0,9,2,0.5,0,0,4.0,0,1,0.0,0
182,1,3.0,0,0,1,0,0.165,0,0,3.0,0,0,6.0,0
183,1,19.5,0,0,6,0,5.5,0,0,7.0,0,0,3000.0,0
184,1,5.665,0,0,1,0,2.585,0,0,7.0,0,0,3257.0,0
185,0,8.5,0,0,6,1,12.5,0,0,9.0,0,0,1655.0,0
186,0,6.5,0,0,11,2,3.5,0,0,1.0,0,0,500.0,0
187,0,5.0,0,0,6,0,5.0,0,0,7.0,0,0,3065.0,0
188,1,1.04,0,0,6,0,2.5,0,0,5.0,1,0,1430.0,0
189,1,4.625,0,0,1,1,1.625,0,0,2.0,0,0,0.0,0
190,0,10.5,0,0,6,0,3.0,0,1,0.0,1,0,0.0,0
191,0,0.205,0,0,9,1,5.125,0,1,0.0,0,0,0.0,0
192,0,0.96,0,0,8,0,2.5,0,1,0.0,0,0,600.0,0
193,0,1.585,1,1,0,0,3.085,0,0,6.0,0,0,0.0,0
194,0,4.04,1,1,9,2,8.5,0,0,7.0,1,0,0.0,0
195,0,5.04,1,1,6,2,1.5,0,0,8.0,1,0,7.0,0
