,height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,target
0,5,7,35,1.4,0.4,0.657,2.33,14,23,6,0
1,6,7,42,1.167,0.429,0.881,3.6,18,37,5,0
2,6,18,108,3.0,0.287,0.741,4.43,31,80,7,0
3,5,7,35,1.4,0.371,0.743,4.33,13,26,3,0
4,6,3,18,0.5,0.5,0.944,2.25,9,17,4,0
5,5,8,40,1.6,0.55,1.0,2.44,22,40,9,0
6,6,4,24,0.667,0.417,0.708,2.5,10,17,4,0
7,5,6,30,1.2,0.333,0.333,10.0,10,10,1,0
8,5,5,25,1.0,0.4,0.52,10.0,10,13,1,0
9,5,7,35,1.4,0.486,0.914,8.5,17,32,2,0
10,5,2,10,0.4,0.8,1.0,8.0,8,10,1,0
11,5,3,15,0.6,0.533,0.733,8.0,8,11,1,0
12,5,6,30,1.2,0.433,0.733,13.0,13,22,1,0
13,5,7,35,1.4,0.429,0.857,5.0,15,30,3,0
14,6,7,42,1.167,0.405,0.881,4.25,17,37,4,0
15,5,8,40,1.6,0.375,0.475,15.0,15,19,1,0
16,6,7,42,1.167,0.405,0.952,4.25,17,40,4,0
17,5,19,95,3.8,0.232,0.4,5.5,22,38,4,0
18,5,5,25,1.0,0.4,0.56,5.0,10,14,2,0
19,4,6,24,1.5,0.417,0.5,10.0,10,12,1,0
20,4,6,24,1.5,0.458,0.792,5.5,11,19,2,0
21,4,18,72,4.5,0.25,0.528,2.57,18,38,7,0
22,6,7,42,1.167,0.357,0.548,7.5,15,23,2,0
23,5,7,35,1.4,0.429,0.886,2.5,15,31,6,0
24,5,4,20,0.8,0.5,0.8,10.0,10,16,1,0
25,13,25,325,1.923,0.234,0.286,10.86,76,93,7,0
26,13,25,325,1.923,0.351,0.68,6.0,114,221,19,0
27,7,16,112,2.286,0.321,0.643,2.57,36,72,14,0
28,7,103,721,14.714,0.295,0.691,1.76,213,498,121,0
29,11,9,99,0.818,0.343,0.626,3.4,34,62,10,0
30,11,8,88,0.727,0.58,1.0,5.1,51,88,10,0
31,11,8,88,0.727,0.409,0.477,36.0,36,42,1,0
32,11,8,88,0.727,0.602,1.0,5.89,53,88,9,0
33,11,35,385,3.182,0.382,0.657,6.13,147,253,24,0
34,3,113,339,37.667,0.41,0.472,13.9,139,160,10,1
35,3,59,177,19.667,0.475,0.475,84.0,84,84,1,1
36,2,20,40,10.0,0.675,0.675,27.0,27,27,1,1
37,2,101,202,50.5,0.54,0.743,10.9,109,150,10,1
38,10,38,380,3.8,0.426,0.947,3.12,162,360,52,0
39,9,21,189,2.333,0.429,0.772,3.0,81,146,27,0
40,9,37,333,4.111,0.532,0.913,3.22,177,304,55,0
41,10,98,980,9.8,0.379,0.835,2.22,371,818,167,0
42,9,50,450,5.556,0.496,0.958,2.69,223,431,83,0
43,4,194,776,48.5,0.263,0.273,34.0,204,212,6,1
44,2,18,36,9.0,0.667,0.694,24.0,24,25,1,1
45,2,22,44,11.0,0.75,0.75,33.0,33,33,1,1
46,2,18,36,9.0,0.806,0.833,29.0,29,30,1,1
47,2,22,44,11.0,0.705,0.864,15.5,31,38,2,1
48,10,66,660,6.6,0.273,0.661,1.94,180,436,93,0
49,9,90,810,10.0,0.26,0.786,2.18,211,637,97,0
50,9,22,198,2.444,0.288,0.818,2.48,57,162,23,0
51,9,92,828,10.222,0.286,0.885,1.93,237,733,123,0
52,9,12,108,1.333,0.444,0.981,1.71,48,106,28,0
53,9,51,459,5.667,0.296,0.786,2.34,136,361,58,0
54,9,34,306,3.778,0.32,0.886,1.56,98,271,63,0
55,9,80,720,8.889,0.333,0.878,2.02,240,632,119,0
56,8,95,760,11.875,0.303,0.937,1.77,230,712,130,0
57,11,99,1089,9.0,0.23,0.601,2.14,250,654,117,0
58,10,12,120,1.2,0.367,1.0,1.69,44,120,26,0
59,10,53,530,5.3,0.294,0.819,1.79,156,434,87,0
60,9,92,828,10.222,0.292,0.843,2.05,242,698,118,0
61,11,85,935,7.727,0.257,0.894,1.67,240,836,144,0
62,9,83,747,9.222,0.284,0.849,1.91,212,634,111,0
63,9,12,108,1.333,0.454,1.0,1.69,49,108,29,0
64,9,64,576,7.111,0.299,0.97,1.81,172,559,95,0
65,11,102,1122,9.273,0.223,0.768,1.53,250,862,163,0
66,12,12,144,1.0,0.306,0.979,1.69,44,141,26,0
67,12,56,672,4.667,0.256,0.827,2.02,172,556,85,0
68,9,84,756,9.333,0.222,0.937,1.81,168,708,93,0
69,9,54,486,6.0,0.292,0.957,1.48,142,465,96,0
70,9,41,369,4.556,0.298,0.775,1.9,110,286,58,0
71,10,83,830,8.3,0.266,0.827,2.1,221,686,105,0
72,10,4,40,0.4,0.375,0.4,15.0,15,16,1,0
73,12,11,132,0.917,0.371,1.0,1.63,49,132,30,0
74,12,44,528,3.667,0.261,0.767,2.38,138,405,58,0
75,10,34,340,3.4,0.297,0.885,1.71,101,301,59,0
76,9,76,684,8.444,0.307,0.882,1.84,210,603,114,0
77,12,14,168,1.167,0.357,0.958,2.31,60,161,26,0
78,12,7,84,0.583,0.214,0.583,3.6,18,49,5,0
79,12,44,528,3.667,0.294,0.742,2.31,155,392,67,0
80,10,63,630,6.3,0.233,0.705,1.69,147,444,87,0
81,9,32,288,3.556,0.271,0.594,2.23,78,171,35,0
82,3,116,348,38.667,0.385,0.494,33.5,134,172,4,1
