,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
0,0,6,0,0,1169,0,0,4,0,0,4,0,67,0,0,2,0,1,0,0,0
1,1,48,1,0,5951,1,1,2,1,0,2,0,22,0,0,1,0,1,1,0,1
2,2,12,0,1,2096,1,2,2,0,0,3,0,49,0,0,1,1,2,1,0,0
3,0,42,1,2,7882,1,2,2,0,1,4,1,45,0,1,1,0,2,1,0,0
4,0,24,2,3,4870,1,1,3,0,0,4,2,53,0,1,2,0,2,1,0,1
5,2,36,1,1,9055,0,1,2,0,0,4,2,35,0,1,1,1,2,0,0,0
6,2,24,1,2,2835,2,0,3,0,0,4,1,53,0,0,1,0,1,1,0,0
7,1,36,1,4,6948,1,1,2,0,0,2,3,35,0,2,1,2,1,0,0,0
8,2,12,1,0,3059,3,2,2,2,0,4,0,61,0,0,1,1,1,1,0,0
9,1,30,0,3,5234,1,3,4,3,0,2,3,28,0,0,2,2,1,1,0,1
10,1,12,1,3,1295,1,4,3,1,0,1,3,25,0,2,1,0,1,1,0,1
11,0,48,1,5,4308,1,4,3,1,0,4,1,24,0,2,1,0,1,1,0,1
12,1,12,1,0,1567,1,1,1,1,0,1,3,22,0,0,1,0,1,0,0,0
13,0,24,0,3,1199,1,0,4,0,0,4,3,60,0,0,2,1,1,1,0,1
14,0,15,1,3,1403,1,1,2,1,0,4,3,28,0,2,1,0,1,1,0,0
15,0,24,1,0,1282,4,1,4,1,0,2,3,32,0,0,1,1,1,1,0,1
16,2,24,0,0,2424,0,0,4,0,0,4,1,53,0,0,2,0,1,1,0,0
17,0,30,3,5,8072,0,4,2,0,0,3,3,25,1,0,3,0,1,1,0,0
18,1,24,1,4,12579,1,0,4,1,0,2,2,44,0,1,1,2,1,0,0,1
19,2,24,1,0,3430,2,0,3,0,0,2,3,31,0,0,1,0,2,0,0,0
20,2,9,0,3,2134,1,1,4,0,0,4,3,48,0,0,3,0,1,0,0,0
21,0,6,1,0,2647,2,1,2,0,0,3,0,44,0,2,1,0,2,1,0,0
22,0,10,0,3,2241,1,4,1,0,0,3,0,48,0,2,2,1,2,1,1,0
23,1,12,0,4,1804,4,4,3,0,0,4,1,44,0,0,1,0,1,1,0,0
24,2,10,0,2,2069,0,1,2,3,0,1,3,26,0,0,2,0,1,1,1,0
25,0,6,1,2,1374,1,1,1,0,0,2,0,36,1,0,1,1,1,0,0,0
26,2,6,3,0,426,1,0,4,3,0,4,3,39,0,0,1,1,1,1,0,0
27,3,12,4,0,409,3,1,3,1,0,3,0,42,0,2,2,0,1,1,0,0
28,1,7,1,0,2415,1,1,3,0,1,2,0,34,0,0,1,0,1,1,0,0
29,0,60,2,5,6836,1,0,3,0,0,4,2,63,0,0,2,0,1,0,0,1
30,1,18,1,5,1913,3,4,3,3,0,3,0,36,1,0,1,0,1,0,0,0
31,0,24,1,2,4020,1,1,2,0,0,2,3,27,2,0,1,0,1,1,0,0
32,1,18,1,3,5866,4,1,2,0,0,2,3,30,0,0,2,0,1,0,0,0
33,2,12,0,5,1264,0,0,4,0,0,4,2,57,0,2,1,1,1,1,0,0
34,3,12,1,2,1474,1,4,4,1,0,1,1,33,1,0,1,2,1,0,0,0
35,1,45,0,0,4746,1,4,4,0,0,2,1,25,0,0,2,1,1,1,0,1
36,2,48,0,1,6110,1,1,1,0,0,3,2,31,1,1,1,0,1,0,0,0
37,3,18,1,0,2100,1,1,4,0,2,2,0,37,2,0,1,0,1,1,0,1
38,3,10,1,6,1225,1,1,2,0,0,2,3,37,0,0,1,0,1,0,0,0
39,1,9,1,0,458,1,1,4,0,0,3,0,24,0,0,1,0,1,1,0,0
40,2,30,1,0,2333,2,0,4,0,0,2,3,30,1,0,1,2,1,1,0,0
41,1,12,1,0,1158,2,1,3,2,0,1,3,26,0,0,1,0,1,0,0,0
42,1,18,2,7,6204,1,1,2,0,0,4,0,44,0,0,1,1,2,0,0,0
43,0,30,0,4,6187,4,2,1,3,0,4,3,24,0,2,2,0,1,1,0,0
44,0,48,0,4,6143,1,0,4,1,0,4,2,58,2,1,2,1,1,1,0,1
45,2,11,0,3,1393,1,4,4,1,0,4,3,35,0,0,2,2,1,1,0,0
46,2,36,1,0,2299,2,0,4,0,0,4,3,39,0,0,1,0,1,1,0,0
47,0,6,1,4,1352,2,3,1,1,0,2,1,23,0,2,1,3,1,0,0,0
