,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2,1,0,1,1,0,0,0,0,0,1,2,1,0,0,0,2,1
3,0,0,1,2,1,0,0,0,0,1,2,1,0,1,0,0,1
4,2,0,1,2,0,0,0,0,0,1,2,2,0,0,1,0,1
5,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
6,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0
8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,2,0,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1
10,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0
11,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,1,0
12,0,0,1,2,2,1,1,1,1,1,1,1,0,1,2,1,1
13,2,0,1,2,2,0,1,1,2,0,2,2,2,1,1,1,1
14,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0
15,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
16,2,1,1,2,2,0,0,1,2,0,2,0,1,1,0,0,1
17,2,2,1,2,2,1,1,1,1,1,1,1,0,1,1,0,1
18,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0
19,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
20,2,0,1,2,2,2,1,1,0,1,2,1,2,1,1,0,1
21,2,0,1,2,2,1,1,1,1,1,1,1,1,2,1,0,1
22,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,0,1
23,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
24,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
25,2,1,1,2,2,1,1,1,1,0,1,1,2,1,1,0,1
26,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
27,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
28,2,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
29,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,0,1
30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
31,2,0,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1
32,2,0,1,2,2,1,1,1,1,0,1,1,0,1,1,0,1
33,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34,2,0,1,2,2,1,1,1,1,1,1,1,2,1,1,0,1
35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
36,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
