,EmpID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Zip,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,EmploymentStatus,Department,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences,target
0,10026,0,1,1,5,4,0,62506,0,19,1960,0,0,0,0,0,0,0,22.0,0,0,4.6,5,0,0,1,0
1,10084,1,1,5,3,3,0,104437,1,27,2148,0,1,0,0,0,1,1,4.0,1,1,4.96,3,6,0,17,1
2,10196,1,0,5,5,3,0,64955,1,20,1810,1,1,0,0,0,1,0,20.0,0,1,3.02,3,0,0,3,1
3,10088,1,0,1,5,3,0,64991,0,19,1886,1,1,0,0,0,0,0,16.0,1,1,4.84,5,0,0,15,1
4,10069,2,0,5,5,3,0,50825,1,19,2169,1,2,0,0,0,1,0,39.0,2,1,5.0,4,0,0,2,0
5,10002,0,0,1,5,4,0,57568,0,19,1844,1,0,0,0,0,0,0,11.0,0,0,5.0,5,0,0,15,0
6,10194,0,0,1,4,3,0,95660,0,24,2110,1,0,0,0,0,0,2,10.0,0,1,3.04,3,4,0,19,0
7,10062,4,1,1,5,3,0,59365,0,19,2199,0,3,0,0,0,0,0,19.0,3,1,5.0,4,0,0,19,0
8,10114,0,0,3,5,3,1,47837,0,19,1902,1,0,0,0,1,0,0,12.0,4,1,4.46,3,0,0,4,0
9,10250,2,1,1,3,3,0,50178,0,14,1886,0,2,0,0,0,0,1,7.0,1,1,5.0,5,6,0,16,0
10,10252,1,0,5,5,3,1,54670,1,19,1902,1,1,0,1,1,1,0,14.0,4,1,4.2,4,0,0,12,1
11,10242,1,1,5,5,3,1,47211,1,19,2062,0,1,0,1,1,1,0,20.0,4,1,4.2,3,0,0,15,1
12,10012,2,1,1,3,4,1,92328,0,9,78230,0,2,0,0,1,0,1,4.0,4,0,4.28,4,5,0,9,0
13,10265,0,1,1,5,3,0,58709,0,19,1810,0,0,0,0,2,0,0,18.0,2,1,4.6,4,0,0,7,0
14,10066,2,1,5,5,3,0,52505,1,19,2747,0,2,0,0,0,1,0,22.0,5,1,5.0,5,0,0,1,0
15,10061,0,1,4,5,3,0,57834,1,19,2050,0,0,0,0,0,2,0,18.0,2,1,5.0,4,0,0,20,0
16,10023,1,0,2,5,4,0,70131,0,20,2145,1,1,0,0,0,0,0,18.0,3,0,4.4,3,0,0,16,1
17,10055,0,0,1,5,3,0,59026,0,19,1915,1,0,1,0,0,0,0,16.0,2,1,5.0,5,0,0,12,0
18,10245,0,0,4,3,3,0,110000,1,8,2026,1,0,0,1,0,2,1,4.0,2,1,4.5,4,5,0,8,0
20,10046,0,1,1,5,3,0,51044,0,19,2072,0,0,0,1,0,0,0,11.0,2,1,5.0,3,0,0,13,0
21,10226,2,0,1,5,3,0,64919,0,19,2027,1,2,0,0,3,0,0,19.0,1,1,4.2,3,0,0,2,0
