,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,target
0,29577.734045,81902.916278,219402.627035,566730.501401,1377764.01731,3197755.226198,7029560.673817,14913765.647839,99.999712,0.0,0.0,1e-06,3e-06,3e-06,1.4e-05,2.6e-05,9e-06,4.1e-05,0.000191,2.4e-05,0.005506,0.010413,0.048112,0.046818,0.163887,0.280273,0.112783,0.25797,0.680496,-14450.746212,-4866.811478,-1952.2847,-778.302344,-342.079482,-204.368504,-124.872803,-128.140898,-97.108063,-57.607519,0.0,3e-06,8e-06,9.8e-05,0.000194,0.001499,0.005376,0.001307,0.012238,0.041324,0.0,3.8e-05,5.1e-05,0.000366,0.000468,0.002346,0.007406,0.00341,0.023366,0.096115,-233661.124486,-277726.266517,-327634.174384,-390417.424919,-481323.914068,-633245.644644,-901856.900985,-1433921.420237,-2528415.988301,-4819157.284301,4076.864063,2422.969509,1429.320757,851.74552,525.181116,345.610973,246.183529,195.776526,172.652511,164.557388,0.112549,0.443874,1.728619,6.539524,23.606344,79.049121,242.544298,661.679929,1618.318338,3643.234312,2.527583,7.088978,19.753255,54.335046,145.52863,375.097397,921.296579,2137.079844,4697.131077,9931.208257,0
1,56054.211281,154430.42304,416661.941761,1067028.678156,2621344.372743,6083057.075399,13368062.399875,28279582.730707,99.999933,0.0,0.0,0.0,1e-06,5e-06,1.9e-05,1.9e-05,1.9e-05,3e-06,2e-06,8.7e-05,0.00198,0.004844,0.027632,0.082338,0.307368,0.255645,0.138925,0.043208,0.027165,-12176.150021,-4642.221325,-1972.076351,-907.845897,-327.509409,-213.959589,-162.134207,-74.114967,-84.817324,-70.534798,0.0,0.0,4e-06,4.1e-05,0.000291,0.002187,0.003722,0.005189,0.00055,0.000434,0.0,5e-06,2.7e-05,0.000136,0.000611,0.003887,0.006533,0.00778,0.001353,0.001143,-266292.226205,-315357.347843,-371033.986194,-441256.809213,-543227.884772,-713976.62862,-1015829.548719,-1613895.821724,-2843879.522093,-5416842.350282,4182.699168,2476.69805,1456.995087,866.391724,533.314567,350.486711,249.368427,198.116666,174.570294,166.263182,0.126734,0.499301,1.941236,7.344723,26.518497,88.784513,272.216266,742.338941,1814.494579,4082.136146,2.841881,7.977363,22.203504,60.993338,163.560972,421.010306,1036.092589,2404.072562,5284.082128,11165.095662,1
2,9549.449015,21117.280659,54428.035638,145221.403374,272075.544491,604650.366121,1328657.148603,2827390.377735,99.986031,2.3e-05,3.8e-05,0.000143,0.000469,0.000676,0.000584,0.001815,0.001146,0.002647,0.006429,0.137059,0.19352,0.883241,2.569426,3.206664,2.873414,1.793245,0.790508,1.024422,-6.340857,-9136.569459,-3445.80605,-1303.624419,-426.394261,-225.389356,-163.916264,-51.054852,-57.582275,-21.266726,-9.262004,9.3e-05,0.000215,0.001694,0.009302,0.033453,0.03677,0.234189,0.246588,0.404365,0.455675,0.001096,0.00246,0.011585,0.026541,0.069569,0.084754,0.470337,0.466506,0.846558,2.335932,-146466.689774,-176648.533147,-210656.528593,-253144.285943,-314304.469647,-416010.050995,-595692.630628,-952031.227073,-1686351.172417,-3224775.436284,3699.830964,2231.698375,1330.932885,799.805232,496.476954,328.515054,235.080823,187.675057,166.054276,158.705559,0.080899,0.318113,1.228114,4.615947,16.650282,55.476114,169.270664,461.248613,1125.19432,2523.348299,1.806103,5.078616,14.135923,38.641654,103.466808,264.654626,649.65709,1507.384591,3315.804236,6974.600636,1
3,9079.05221,25018.662283,66942.747696,172616.817087,422183.284959,979765.935898,2153864.180249,4564012.247061,99.999911,0.0,0.0,0.0,1e-06,1e-06,4e-06,1.3e-05,1.1e-05,1.1e-05,4.9e-05,0.0004,0.00106,0.000994,0.010921,0.019288,0.063481,0.128733,0.13748,0.111243,0.297414,-14418.234779,-5403.753385,-2264.957935,-916.399785,-439.807813,-217.284463,-92.341084,-82.068133,-87.105299,-55.274909,0.0,1e-06,1e-06,1.6e-05,4.3e-05,0.000248,0.000664,0.002071,0.003365,0.007339,1e-06,5e-06,4e-06,4.6e-05,7.1e-05,0.000555,0.001308,0.003528,0.004188,0.029915,-172388.931187,-206828.816742,-245721.162531,-294456.681643,-364751.604656,-481920.570528,-688932.053349,-1099064.332482,-1943450.516817,-3712617.444545,3832.79354,2299.1619,1365.644026,818.133566,506.601362,334.546473,238.993561,190.524007,168.368589,160.75748,0.089111,0.35134,1.36647,5.169717,18.661738,62.476771,191.596864,522.592412,1277.683471,2875.45626,1.999637,5.610448,15.626164,42.943275,115.014975,296.320795,728.284936,1689.586636,3713.818933,7851.13936,0
4,25347.301289,70106.003992,186474.19263,480734.632049,1174022.732289,2721652.996604,5985848.008923,12666960.144852,99.999829,1.1e-05,1e-05,1.6e-05,1.6e-05,3e-06,3e-06,9e-06,1e-05,3.3e-05,6e-05,0.113532,0.119274,0.132455,0.181379,0.036178,0.03768,0.112895,0.111684,0.30141,0.325683,-16010.780503,-5676.671069,-2108.570846,-868.891129,-467.641649,-236.683013,-98.675396,-91.493534,-84.06138,-76.702366,3.1e-05,8.1e-05,0.000273,0.000593,0.000199,0.000292,0.000896,0.003081,0.010637,0.015887,0.000726,0.001191,0.002528,0.002892,0.000578,0.000609,0.002461,0.003388,0.014873,0.045558,-224995.534367,-267723.694134,-316096.215663,-376918.057512,-464937.372645,-611967.556296,-871942.169468,-1386881.789871,-2446265.304465,-4663582.704478,4046.37494,2407.501907,1421.362393,847.543024,522.856186,344.223883,245.281663,195.116931,172.114126,164.078843,0.109222,0.428836,1.677357,6.342683,22.890826,76.638963,235.098658,641.375281,1568.500485,3530.880186,2.453087,6.902199,19.117609,52.715873,141.113865,363.511021,893.246151,2071.625622,4554.204815,9623.566242,1
5,24313.197856,66500.746227,178256.547865,459573.853989,1125559.732272,2597475.359082,5709497.633779,12072388.230819,99.999466,0.0,0.0,3e-06,6e-06,3e-06,5e-06,1.9e-05,2.7e-05,0.000183,0.000289,0.00092,0.003041,0.051843,0.134224,0.039848,0.085406,0.205613,0.360219,0.916883,1.060067,-13137.781843,-4826.259807,-1611.490296,-789.658552,-394.246676,-235.357261,-111.506438,-100.856346,-57.128371,-29.076736,0.0,1e-06,1.5e-05,9.2e-05,0.000139,0.000431,0.002578,0.003323,0.027207,0.034399,5e-06,8e-06,3.1e-05,0.00027,0.000482,0.000766,0.004563,0.015653,0.073596,0.129413,-218515.244607,-260355.767159,-307855.742557,-367828.772039,-455062.108625,-601437.326032,-861564.959374,-1377800.874688,-2441018.402969,-4667479.379823,4022.784254,2395.72016,1415.486244,844.617213,521.406452,343.512228,244.955811,194.98246,172.075566,164.088166,0.107856,0.42571,1.656299,6.263452,22.610251,75.713338,232.26497,633.597357,1549.554939,3489.176809,2.419699,6.795204,18.941736,52.039946,139.465979,359.217612,882.761062,2044.991935,4496.777621,9504.445938,1
6,12369.403117,33612.315053,90308.492014,232377.202148,570081.271892,1324757.331944,2911810.394435,6141408.694779,99.999916,0.0,0.0,0.0,5e-06,2e-06,2e-06,1.2e-05,2.8e-05,1.5e-05,2.2e-05,6e-05,0.001308,0.001861,0.053905,0.032367,0.022955,0.145473,0.233765,0.135246,0.150344,-14751.235212,-5436.177641,-2283.483467,-825.818909,-441.00101,-181.623713,-129.042045,-80.664732,-68.136384,-58.676887,0.0,1e-06,1e-06,0.000127,7.9e-05,0.00014,0.001669,0.003557,0.002399,0.003859,0.0,9e-06,6e-06,0.000552,0.000282,0.00027,0.00192,0.011129,0.006845,0.008137,-187547.012813,-224374.721344,-265953.114168,-318025.609015,-393076.627167,-518047.755557,-738496.36031,-1174953.408603,-2073057.583337,-3953650.877299,3900.122835,2333.249346,1383.110272,827.289301,511.603252,337.471149,240.846034,191.841338,169.418788,161.673114,0.095105,0.374574,1.451377,5.497024,19.857279,66.472831,203.810977,555.932038,1359.163473,3058.306454,2.135337,5.987349,16.65658,45.664487,122.416506,315.209203,775.269129,1799.191348,3954.80686,8351.598804,0
7,14887.282882,41071.684499,117979.496068,327341.543256,776365.108557,2332809.880121,4435076.772048,11974644.548021,99.993143,0.0,0.0,0.0,5e-06,2e-06,4.5e-05,0.000417,0.000406,0.003993,0.001989,0.000188,0.007703,0.007114,0.074419,0.035339,0.46409,1.447765,1.465981,-28.924995,0.219889,-25434.013472,-9421.387459,-3901.20531,-1736.366603,-714.570384,-250.213998,-88.976534,-80.161387,-42.471365,-28.416674,0.0,2e-06,3e-06,7.2e-05,8.7e-05,0.003515,0.032054,0.064188,1.209972,0.491237,2e-06,3.2e-05,2.6e-05,0.000385,0.000234,0.011176,0.125064,0.146656,2.945012,0.826916,-401053.298375,-473075.30787,-550644.826117,-638759.712048,-753771.828436,-924754.368801,-1202796.84745,-1754089.202763,-2795291.524772,-5086192.833941,6957.00793,4105.862487,2392.871453,1391.269394,824.86162,510.119345,335.517585,248.143072,200.387209,184.069003,0.060652,0.240997,0.949676,3.685652,13.83411,49.317379,163.820639,480.799696,1290.96611,3017.592574,1.777408,4.997977,14.058076,38.996714,107.356655,285.229355,722.96285,1797.956272,4024.020067,8956.809979,1
8,20311.920261,55686.646256,149430.791604,386118.101858,930135.760869,2165251.620423,4776592.541989,10144185.487923,99.999428,0.0,1e-06,2e-06,6e-06,9e-06,1.6e-05,5.1e-05,4e-05,0.000114,0.000333,0.000349,0.018363,0.030639,0.10035,0.130398,0.178791,0.410257,0.319205,0.465539,0.444457,-12889.664435,-4857.00316,-1667.594437,-720.567704,-424.297016,-197.557179,-99.820408,-93.080382,-90.291714,-47.23228,0.0,1.4e-05,2.3e-05,0.000163,0.000443,0.001593,0.00445,0.006723,0.026764,0.061968,1e-06,0.000188,0.000216,0.000415,0.002223,0.005175,0.014116,0.020113,0.070862,0.242989,-213885.935414,-254887.014977,-301281.026059,-359568.251819,-443863.488561,-584615.29955,-833498.644881,-1326548.084798,-2341137.733881,-4465533.377521,4005.585402,2386.805409,1410.714435,841.917542,519.743507,342.368516,244.076213,194.237331,171.398074,163.446019,0.104475,0.412358,1.603512,6.068272,21.913921,73.400107,225.201049,614.556606,1503.364134,3385.13732,2.350607,6.585153,18.355605,50.417628,135.161654,348.306253,853.665328,1981.334589,4357.928487,9219.158652,1
9,31772.331161,87077.941046,233936.631168,603237.064576,1474219.0202,3415549.693855,7508943.152478,15901374.534049,99.999916,0.0,1e-06,0.0,1e-06,2e-06,2e-06,1.2e-05,1.2e-05,9e-06,4.4e-05,0.000816,0.011182,0.007234,0.018549,0.029654,0.044421,0.197846,0.124269,0.091152,0.310874,-13900.314095,-5412.824308,-2047.220354,-952.318767,-378.621516,-259.246443,-157.459417,-88.907891,-90.307988,-63.866716,0.0,9e-06,6e-06,3.1e-05,9e-05,0.000316,0.002241,0.000887,0.002254,0.009352,4e-06,0.000116,4.8e-05,0.000123,0.000336,0.000699,0.003827,0.00367,0.004953,0.034333,-236136.039624,-280595.265736,-330971.290616,-394382.643402,-486271.812729,-639921.339015,-911643.605493,-1449965.076893,-2557389.759198,-4875018.460445,4085.386078,2427.313221,1431.575152,852.954776,525.868849,346.0372,246.472438,195.996783,172.838387,164.725535,0.114103,0.450214,1.748298,6.618149,23.902545,80.034652,245.45574,669.55668,1637.180444,3684.791081,2.565053,7.190456,20.027376,54.98401,147.380361,379.623517,933.131317,2164.248742,4757.142198,10054.337528,0
