,attr196,attr197,attr198,attr199,attr200,attr201,attr202,attr203,attr204,attr205,attr206,attr207,attr208,attr209,attr210,attr211,attr212,attr213,attr214,attr215,attr216,attr217,attr218,attr219,attr220,attr221,attr222,attr223,attr224,attr225,attr226,attr227,attr228,attr229,attr230,attr231,attr232,attr233,attr234,attr235,attr236,attr237,attr238,attr239,attr240,attr241,attr242,attr243,attr244,attr245,attr246,attr247,attr248,attr249,attr250,attr251,attr252,attr253,attr254,attr255,attr256,attr257,attr258,attr259,attr260,attr261,attr262,attr263,attr264,attr265,attr266,attr267,attr268,attr269,attr270,attr271,attr272,attr273,attr274,attr275,attr276,attr277,attr278,attr279,attr280,attr281,attr282,attr283,attr284,attr285,attr286,attr287,attr288,attr289,attr290,attr291,attr292,attr293,attr294,target
0,0.00649,0.212997,0.236838,0.255211,0.264951,0.29548,0.34692,0.479871,0.126163,0.157363,0.194579,0.372685,0.529399,0.501197,0.495247,0.175233,0.206835,0.229838,0.364846,0.391528,0.380569,0.358092,0.178129,0.277878,0.307893,0.329844,0.438987,0.512927,0.569903,0.453827,0.499351,0.519089,0.537507,0.546453,0.597837,0.530216,0.331432,0.485518,0.603675,0.51409,0.600857,0.596149,0.583031,0.578883,0.460268,0.589159,0.562813,0.558273,0.58803,0.602612,0.001898,0.000611,0.001762,0.001927,0.040129,0.084242,0.15908,0.196353,0.190142,0.185948,0.41237,0.204738,0.083212,0.096029,0.02693,0.069331,0.136652,0.136285,0.127585,0.249868,0.545665,0.252143,0.261571,0.203095,0.172747,0.23903,0.309251,0.090241,0.048767,0.085062,0.072274,0.167601,0.094636,0.258751,0.092845,0.47715,0.224848,0.102568,0.329816,0.061538,0.049615,0.068962,0.653879,0.354982,0.124074,0.157332,0.247298,0.014025,0.029709,0
1,0.052414,0.3594,0.34909,0.340613,0.342615,0.33812,0.351561,0.330146,0.389045,0.381464,0.382504,0.434112,0.522656,0.549864,0.520889,0.437265,0.404511,0.515007,0.472178,0.526537,0.53016,0.517445,0.4098,0.520744,0.501689,0.507928,0.559458,0.573269,0.550244,0.49395,0.587281,0.592794,0.580828,0.536769,0.585659,0.634069,0.600465,0.629831,0.568729,0.657105,0.617228,0.642803,0.555567,0.526492,0.500693,0.594002,0.558564,0.617575,0.638408,0.656938,0.002222,0.003662,0.002397,0.013929,0.003873,0.050018,0.015733,0.004475,0.003633,0.016475,0.159426,0.13157,0.138887,0.170231,0.070917,0.088278,0.097577,0.167246,0.193839,0.283507,0.190554,0.072342,0.111906,0.175488,0.178064,0.24989,0.085085,0.073259,0.133331,0.090761,0.138334,0.102932,0.406639,0.126982,0.046562,0.354085,0.199359,0.157326,0.051859,0.114123,0.160008,0.414088,0.361843,0.303399,0.176387,0.251454,0.137833,0.082672,0.03632,1
2,0.018549,0.296934,0.263352,0.248837,0.24707,0.218901,0.215009,0.202037,0.345131,0.327988,0.291286,0.250794,0.217112,0.204274,0.210089,0.342984,0.338388,0.337974,0.341318,0.34323,0.344326,0.356358,0.480978,0.480028,0.476673,0.53981,0.607935,0.624508,0.605654,0.370314,0.38975,0.492452,0.721473,0.726449,0.6979,0.627013,0.551206,0.615651,0.664643,0.701467,0.700405,0.727154,0.698761,0.601505,0.628198,0.631497,0.627427,0.719784,0.726349,0.671654,0.041683,0.032027,0.016284,0.023922,0.03784,0.022118,0.020369,0.04351,0.013787,0.014701,0.013867,0.00913,0.010121,0.018168,0.064507,0.082237,0.060296,0.058945,0.052964,0.062245,0.075563,0.006149,0.004046,0.006033,0.181837,0.213608,0.122532,0.035184,0.025505,0.027821,0.353377,0.073733,0.048943,0.080248,0.074113,0.051372,0.024035,0.015971,0.028559,0.047596,0.038082,0.079977,0.004901,0.00346,0.006049,0.017166,0.051125,0.112506,0.083924,1
3,0.011834,0.436281,0.443416,0.44724,0.460637,0.463779,0.512614,0.526961,0.455907,0.45915,0.46558,0.470724,0.492508,0.683698,0.638922,0.496332,0.497886,0.491154,0.50728,0.655193,0.629741,0.556171,0.36214,0.366613,0.34531,0.549193,0.719147,0.682088,0.623692,0.343979,0.326624,0.357555,0.682434,0.685096,0.709317,0.693281,0.330571,0.397388,0.525374,0.676317,0.659219,0.641427,0.689379,0.488873,0.560029,0.606448,0.662518,0.718241,0.625089,0.610921,0.007494,0.01235,0.009885,0.004585,0.00252,0.08988,0.032423,0.005544,0.006821,0.008305,0.003958,0.030881,0.068354,0.085017,0.000906,0.000563,0.008393,0.093743,0.105665,0.060825,0.025972,0.045153,0.0399,0.03098,0.448542,0.024508,0.024751,0.045848,0.020989,0.015197,0.209978,0.138788,0.031173,0.032565,0.034237,0.018757,0.082271,0.201563,0.043669,0.027527,0.016922,0.024174,0.036799,0.007694,0.009735,0.019267,0.03129,0.04978,0.090959,1
4,0.030537,0.028538,0.016058,0.004115,0.0,0.0,0.0,0.0,0.090546,0.078379,0.059313,0.044865,0.044664,0.033168,0.020241,0.273081,0.273249,0.396448,0.182736,0.141181,0.125358,0.110149,0.598542,0.618592,0.559056,0.497048,0.458311,0.393485,0.330225,0.722032,0.642792,0.584955,0.604435,0.62349,0.581455,0.531412,0.643172,0.740361,0.770934,0.752382,0.683698,0.608886,0.565586,0.750022,0.753892,0.806584,0.736883,0.733875,0.83094,0.702474,0.007056,0.001369,0.001182,0.002744,0.003992,0.001849,0.001522,0.006113,0.010916,0.009433,0.00734,0.010177,0.013087,0.007811,0.381498,0.439771,0.595821,0.20769,0.028206,0.010644,0.010589,0.138157,0.094097,0.044848,0.036629,0.046537,0.090652,0.086531,0.293732,0.22177,0.094467,0.1435,0.186763,0.0746,0.043375,0.20857,0.188324,0.413413,0.387559,0.15873,0.023177,0.129994,0.167709,0.22658,0.218534,0.198151,0.238796,0.16427,0.18429,1
5,0.023731,0.368223,0.422828,0.460682,0.478294,0.478294,0.479659,0.478663,0.412015,0.482007,0.479491,0.478194,0.490908,0.531647,0.482387,0.348352,0.476058,0.436158,0.455415,0.522309,0.577272,0.486167,0.411433,0.540336,0.541756,0.541823,0.553487,0.550814,0.517479,0.589942,0.60571,0.577999,0.622428,0.618782,0.568896,0.448504,0.656927,0.596954,0.620762,0.640376,0.680354,0.599738,0.480587,0.639627,0.65261,0.653885,0.666969,0.680052,0.634427,0.380122,0.020624,0.006309,0.002318,0.000419,0.000267,0.000748,0.000117,0.013828,0.091772,0.00116,0.00029,0.010173,0.100336,0.000986,0.062493,0.200693,0.034588,0.010149,0.07807,0.197288,0.011099,0.262977,0.224116,0.187486,0.04742,0.103418,0.16682,0.076456,0.036478,0.034268,0.10169,0.069426,0.068961,0.120678,0.024654,0.055912,0.084101,0.111151,0.037579,0.071117,0.027187,0.086379,0.047366,0.048032,0.0346,0.039862,0.07501,0.071401,0.090164,1
6,0.011999,0.500391,0.497573,0.499016,0.478909,0.417427,0.345008,0.264895,0.492396,0.485787,0.487464,0.49357,0.477445,0.426049,0.369699,0.505368,0.496556,0.507459,0.488896,0.480386,0.444869,0.356817,0.572207,0.540347,0.540023,0.499128,0.438685,0.382436,0.279835,0.612017,0.625514,0.609456,0.535639,0.480721,0.440475,0.410293,0.609288,0.626353,0.647634,0.641517,0.604021,0.610619,0.585436,0.597547,0.621522,0.630412,0.642959,0.640443,0.625973,0.594058,0.000786,0.001071,0.002229,0.005844,0.015752,0.01723,0.022717,0.001458,0.001451,0.001723,0.001335,0.005198,0.009817,0.01195,0.001192,0.002015,0.002507,0.005374,0.028211,0.053681,0.147645,0.024184,0.016763,0.015247,0.023639,0.024712,0.028581,0.047452,0.003745,0.006708,0.024723,0.133785,0.068861,0.103651,0.078377,0.00873,0.00655,0.007641,0.031668,0.044859,0.044637,0.041734,0.007609,0.005356,0.006311,0.005127,0.007633,0.02978,0.038599,1
7,0.039694,0.356962,0.395576,0.414699,0.425982,0.434112,0.432535,0.431294,0.432076,0.439759,0.443438,0.449041,0.45187,0.451266,0.452932,0.529679,0.517177,0.47617,0.459329,0.463958,0.470288,0.466486,0.442174,0.461834,0.436628,0.404835,0.39788,0.425702,0.366814,0.515779,0.582081,0.546598,0.570138,0.471574,0.490528,0.481526,0.489645,0.531725,0.589104,0.538088,0.408168,0.542561,0.606638,0.558362,0.540481,0.51806,0.46114,0.506419,0.522846,0.582674,0.005994,0.004244,0.001506,0.001545,0.000192,0.000594,0.000864,0.018063,0.007166,0.001806,0.001447,0.001078,0.001175,0.000884,0.015975,0.010448,0.00892,0.001262,0.001443,0.001601,0.001704,0.093378,0.063598,0.09863,0.061283,0.063918,0.141886,0.039473,0.1479,0.053947,0.14701,0.056929,0.085846,0.126833,0.158958,0.197811,0.113462,0.026383,0.158985,0.120622,0.063702,0.009123,0.011507,0.011505,0.051774,0.107653,0.054291,0.083478,0.052316,0
8,0.000227,0.179952,0.177492,0.180936,0.177984,0.18306,0.178218,0.230173,0.191459,0.219728,0.551116,0.455459,0.472983,0.533514,0.581578,0.246422,0.636205,0.82593,0.790202,0.768876,0.647175,0.570921,0.601337,0.781703,0.7917,0.788234,0.786959,0.585301,0.611469,0.434201,0.618816,0.674573,0.670033,0.67455,0.664352,0.674875,0.43239,0.538122,0.592347,0.61677,0.707226,0.704006,0.682691,0.506027,0.55995,0.615372,0.685644,0.689155,0.682479,0.68457,0.00151,0.000881,0.001923,0.001147,0.001562,0.001361,0.390059,0.001275,0.199063,0.922513,0.95385,0.987303,0.961738,0.514054,0.018233,0.722206,0.023557,0.026709,0.026183,0.160402,0.258548,0.245131,0.036113,0.038227,0.021041,0.038742,0.148276,0.223048,0.068609,0.036865,0.004924,0.045627,0.030935,0.057696,0.01263,0.041477,0.025413,0.005034,0.036212,0.008382,0.002519,0.001543,0.01888,0.008899,0.015161,0.004409,0.001383,0.001531,0.001602,1
9,0.000301,0.003724,0.014638,0.019715,0.021303,0.026615,0.029377,0.028136,0.136384,0.263587,0.295044,0.318684,0.385422,0.43362,0.374642,0.437086,0.552603,0.579979,0.605072,0.631016,0.624005,0.637223,0.170446,0.319679,0.386127,0.418143,0.43466,0.475085,0.573895,0.1945,0.360239,0.416488,0.456253,0.446849,0.505558,0.586286,0.298857,0.494733,0.528773,0.535773,0.538905,0.610608,0.598956,0.47532,0.612979,0.620382,0.624497,0.61753,0.618581,0.599179,0.012438,0.011256,0.009365,0.009089,0.005784,0.007726,0.007761,0.056329,0.831258,1.0,1.0,1.0,1.0,0.993722,0.372429,0.402235,0.312756,0.241315,0.126664,0.030122,0.05837,0.019035,0.076218,0.004935,0.010232,0.032971,0.056322,0.002302,0.069133,0.035857,0.007344,0.004167,0.003001,0.071594,0.001458,0.092649,0.038155,0.017026,0.02046,0.029595,0.015294,0.002416,0.082573,0.014646,0.007865,0.00796,0.007409,0.002724,0.002013,1
