,Estimated_Insects_Count,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Kharif,Rabi,Alluvial,Black-Cotton,Insecticides,Bactericides,Herbicides,Summer,Monsoon,Winter,target
0,188,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1,209,0,0,0,1,0,1,0,1,0,0,0,1,0,1
2,257,0,0,0,1,0,1,0,1,0,0,0,1,0,1
3,257,0,0,0,1,0,0,1,1,0,0,0,1,0,1
4,342,0,0,0,1,0,1,0,1,0,0,0,1,0,1
5,448,0,0,0,0,1,0,1,1,0,0,0,1,0,1
6,448,0,0,0,0,1,0,1,1,0,0,0,1,0,1
7,577,0,0,0,1,0,1,0,1,0,0,1,0,0,2
8,731,0,0,0,0,1,1,0,1,0,0,0,1,0,0
9,1132,0,0,0,1,0,1,0,1,0,0,1,0,0,2
10,1212,0,0,0,1,0,1,0,1,0,0,0,0,1,0
11,1575,0,0,0,0,1,1,0,1,0,0,1,0,0,1
12,1575,0,0,0,0,1,0,1,1,0,0,0,1,0,1
13,1575,0,0,0,1,0,0,1,1,0,0,0,1,0,1
14,1575,0,0,0,1,0,0,1,1,0,0,0,1,0,2
15,1785,0,0,0,1,0,0,1,1,0,0,0,1,0,1
16,2138,0,0,0,0,1,0,1,1,0,0,1,0,0,1
17,2401,0,0,0,0,1,0,1,1,0,0,1,0,0,1
18,2401,0,0,0,1,0,0,1,1,0,0,0,1,0,1
19,2401,0,0,0,1,0,0,1,1,0,0,0,1,0,1
20,2999,0,0,0,0,1,0,1,1,0,0,0,0,1,1
21,3516,0,0,0,1,0,1,0,1,0,0,0,1,0,0
22,3895,0,0,0,1,0,0,1,1,0,0,1,0,0,1
23,4096,0,0,0,1,0,0,1,1,0,0,0,1,0,1
24,150,30,26,0,0,1,1,0,0,1,0,0,1,0,0
25,151,40,20,0,0,1,1,0,0,1,0,1,0,0,0
26,150,60,15,0,0,1,1,0,0,1,0,0,1,0,0
27,168,20,14,0,0,1,0,1,0,1,0,0,1,0,0
28,168,20,15,0,0,1,0,1,0,1,0,0,1,0,1
29,188,25,19,0,0,1,1,0,0,1,0,1,0,0,0
30,188,40,24,0,0,1,0,1,0,1,0,0,0,1,0
31,209,20,8,0,0,1,0,1,0,1,0,0,0,1,0
32,232,45,23,0,0,1,1,0,0,1,0,0,1,0,0
33,231,30,25,0,0,1,0,1,0,1,0,0,1,0,0
34,256,20,28,0,0,1,1,0,0,1,0,0,0,1,0
35,257,30,29,0,0,1,1,0,0,1,0,0,1,0,0
36,256,40,29,0,0,1,1,0,0,1,0,1,0,0,0
37,283,25,22,0,0,1,1,0,0,1,0,1,0,0,0
38,283,50,24,0,0,1,1,0,0,1,0,0,1,0,0
39,283,15,24,0,0,1,0,1,0,1,0,0,0,1,0
40,283,45,20,0,0,1,0,1,0,1,0,1,0,0,0
41,312,10,20,0,0,1,1,0,0,1,0,0,0,1,0
42,311,20,25,0,0,1,1,0,0,1,0,1,0,0,0
43,312,15,21,0,0,1,0,1,0,1,0,0,1,0,0
44,312,15,24,0,0,1,0,1,0,1,0,0,1,0,0
45,342,60,28,0,0,1,1,0,0,1,0,0,1,0,0
46,342,40,17,0,0,1,0,1,0,1,0,0,0,1,0
47,375,50,30,0,0,1,1,0,0,1,0,0,1,0,0
48,375,5,22,0,0,1,0,1,0,1,0,1,0,0,0
49,375,20,23,0,0,1,0,1,0,1,0,0,1,0,0
50,375,10,25,0,0,1,0,1,0,1,0,0,0,1,1
51,411,30,35,0,0,1,1,0,0,1,0,0,1,0,0
52,410,50,35,0,0,1,1,0,0,1,0,0,1,0,0
53,410,20,32,0,0,1,1,0,0,1,0,0,0,1,1
54,410,5,24,0,0,1,0,1,0,1,0,0,0,1,0
55,448,5,27,0,0,1,1,0,0,1,0,1,0,0,0
56,448,20,16,0,0,1,1,0,0,1,0,0,0,1,0
57,448,30,24,0,0,1,1,0,0,1,0,0,1,0,0
58,448,35,28,0,0,1,1,0,0,1,0,1,0,0,0
59,448,10,32,0,0,1,1,0,0,1,0,0,1,0,1
60,448,30,32,0,0,1,1,0,0,1,0,0,0,1,1
61,448,20,32,0,0,1,0,1,0,1,0,0,1,0,0
62,448,25,16,0,0,1,0,1,0,1,0,1,0,0,0
63,448,25,21,0,0,1,0,1,0,1,0,0,1,0,0
64,448,40,25,0,0,1,0,1,0,1,0,1,0,0,0
65,448,45,31,0,0,1,0,1,0,1,0,0,1,0,0
66,448,60,31,0,0,1,0,1,0,1,0,1,0,0,0
67,448,70,28,0,0,1,0,1,0,1,0,0,0,1,0
68,488,15,32,0,0,1,1,0,0,1,0,0,0,1,0
69,488,25,27,0,0,1,1,0,0,1,0,0,0,1,0
70,488,30,26,0,0,1,1,0,0,1,0,0,1,0,0
71,488,35,30,0,0,1,1,0,0,1,0,0,0,1,0
72,488,60,33,0,0,1,1,0,0,1,0,1,0,0,0
73,488,10,17,0,0,1,1,0,0,1,0,1,0,0,1
74,488,20,33,0,0,1,1,0,0,1,0,1,0,0,1
75,488,10,33,0,0,1,0,1,0,1,0,0,1,0,0
76,488,20,32,0,0,1,0,1,0,1,0,0,1,0,0
77,489,25,24,0,0,1,0,1,0,1,0,1,0,0,0
78,488,60,32,0,0,1,0,1,0,1,0,1,0,0,1
79,531,5,27,0,0,1,1,0,0,1,0,1,0,0,0
80,531,20,30,0,0,1,1,0,0,1,0,1,0,0,0
81,531,50,30,0,0,1,1,0,0,1,0,0,1,0,0
82,531,20,34,0,0,1,1,0,0,1,0,1,0,0,1
83,531,5,17,0,0,1,0,1,0,1,0,1,0,0,0
84,531,20,33,0,0,1,0,1,0,1,0,1,0,0,0
85,531,60,19,0,0,1,0,1,0,1,0,0,1,0,0
86,577,20,33,0,0,1,1,0,0,1,0,0,1,0,0
87,577,50,33,0,0,1,1,0,0,1,0,0,0,1,0
88,577,30,29,0,0,1,0,1,0,1,0,0,1,0,0
89,577,30,39,0,0,1,0,1,0,1,0,1,0,0,0
90,577,55,33,0,0,1,0,1,0,1,0,1,0,0,0
91,577,60,29,0,0,1,0,1,0,1,0,1,0,0,0
92,577,15,34,0,0,1,0,1,0,1,0,0,1,0,1
93,626,20,38,0,0,1,1,0,0,1,0,0,1,0,0
94,625,30,42,0,0,1,1,0,0,1,0,0,0,1,0
95,625,40,15,0,0,1,1,0,0,1,0,1,0,0,0
96,625,50,40,0,0,1,1,0,0,1,0,0,1,0,0
97,626,5,32,0,0,1,0,1,0,1,0,1,0,0,0
98,625,20,23,0,0,1,0,1,0,1,0,0,0,1,0
99,625,25,32,0,0,1,0,1,0,1,0,0,0,1,0
100,626,80,32,0,0,1,0,1,0,1,0,0,1,0,0
101,626,20,31,0,0,1,0,1,0,1,0,0,1,0,1
102,625,10,33,0,0,1,0,1,0,1,0,0,1,0,1
103,625,30,29,0,0,1,0,1,0,1,0,1,0,0,2
104,677,15,41,0,0,1,1,0,0,1,0,0,0,1,0
105,677,20,41,0,0,1,1,0,0,1,0,0,1,0,0
106,677,50,35,0,0,1,1,0,0,1,0,0,1,0,1
107,677,35,25,0,0,1,0,1,0,1,0,0,1,0,0
108,677,40,31,0,0,1,0,1,0,1,0,0,1,0,0
109,677,50,38,0,0,1,0,1,0,1,0,0,1,0,0
110,732,20,36,0,0,1,1,0,0,1,0,0,1,0,1
111,732,40,31,0,0,1,1,0,0,1,0,0,1,0,1
112,732,50,30,0,0,1,1,0,0,1,0,0,1,0,2
113,731,10,16,0,0,1,0,1,0,1,0,0,0,1,0
114,731,10,34,0,0,1,0,1,0,1,0,1,0,0,0
115,731,60,40,0,0,1,0,1,0,1,0,0,1,0,0
116,732,30,36,0,0,1,0,1,0,1,0,0,0,1,1
117,789,40,44,0,0,1,1,0,0,1,0,0,0,1,0
118,789,50,30,0,0,1,1,0,0,1,0,0,1,0,0
119,790,60,40,0,0,1,1,0,0,1,0,0,1,0,0
120,789,25,34,0,0,1,1,0,0,1,0,1,0,0,1
121,790,20,33,0,0,1,1,0,0,1,0,0,1,0,1
122,789,60,40,0,0,1,1,0,0,1,0,1,0,0,1
123,789,25,27,0,0,1,0,1,0,1,0,0,1,0,0
124,790,40,28,0,0,1,0,1,0,1,0,1,0,0,0
125,789,30,30,0,0,1,0,1,0,1,0,1,0,0,1
126,789,20,32,0,0,1,0,1,0,1,0,0,1,0,1
127,851,20,32,0,0,1,1,0,0,1,0,0,0,1,0
128,851,20,34,0,0,1,1,0,0,1,0,0,0,1,0
129,851,25,42,0,0,1,1,0,0,1,0,0,1,0,0
130,851,60,42,0,0,1,1,0,0,1,0,1,0,0,1
131,851,15,27,0,0,1,0,1,0,1,0,0,0,1,0
132,851,20,21,0,0,1,0,1,0,1,0,1,0,0,0
133,851,20,31,0,0,1,0,1,0,1,0,0,1,0,0
134,851,30,36,0,0,1,0,1,0,1,0,1,0,0,0
135,850,50,36,0,0,1,0,1,0,1,0,0,1,0,0
136,851,55,36,0,0,1,0,1,0,1,0,0,1,0,0
137,851,30,35,0,0,1,0,1,0,1,0,0,1,0,1
138,851,20,34,0,0,1,0,1,0,1,0,1,0,0,1
139,915,50,41,0,0,1,1,0,0,1,0,0,0,1,0
140,915,40,37,0,0,1,1,0,0,1,0,0,0,1,1
141,915,20,37,0,0,1,1,0,0,1,0,1,0,0,1
142,916,20,25,0,0,1,0,1,0,1,0,1,0,0,0
143,915,30,29,0,0,1,0,1,0,1,0,0,0,1,0
144,915,40,34,0,0,1,0,1,0,1,0,1,0,0,0
145,915,40,41,0,0,1,0,1,0,1,0,0,1,0,0
146,915,60,46,0,0,1,0,1,0,1,0,0,1,0,0
147,984,25,30,0,0,1,1,0,0,1,0,0,1,0,0
148,984,25,44,0,0,1,1,0,0,1,0,0,1,0,1
149,984,40,38,0,0,1,1,0,0,1,0,0,1,0,2
150,984,20,28,0,0,1,0,1,0,1,0,0,1,0,0
151,984,25,35,0,0,1,0,1,0,1,0,0,1,0,0
152,984,30,24,0,0,1,0,1,0,1,0,1,0,0,0
153,1056,20,27,0,0,1,1,0,0,1,0,0,0,1,0
154,1056,40,41,0,0,1,1,0,0,1,0,1,0,0,1
155,1056,40,29,0,0,1,1,0,0,1,0,0,1,0,1
156,1056,10,29,0,0,1,0,1,0,1,0,0,1,0,0
157,1056,25,45,0,0,1,0,1,0,1,0,0,1,0,0
158,1056,30,46,0,0,1,0,1,0,1,0,0,1,0,0
159,1056,35,30,0,0,1,0,1,0,1,0,0,1,0,0
160,1056,50,45,0,0,1,0,1,0,1,0,0,1,0,0
161,1056,60,45,0,0,1,0,1,0,1,0,1,0,0,0
162,1056,15,35,0,0,1,0,1,0,1,0,0,1,0,1
163,1056,50,47,0,0,1,0,1,0,1,0,0,1,0,1
164,1056,30,47,0,0,1,0,1,0,1,0,0,0,1,1
165,1056,10,42,0,0,1,0,1,0,1,0,0,0,1,2
166,1056,20,40,0,0,1,0,1,0,1,0,0,0,1,2
167,1056,30,27,0,0,1,0,1,0,1,0,0,1,0,2
168,1132,5,41,0,0,1,1,0,0,1,0,0,1,0,0
169,1132,5,44,0,0,1,1,0,0,1,0,0,1,0,0
170,1132,10,44,0,0,1,1,0,0,1,0,0,1,0,0
171,1132,20,28,0,0,1,1,0,0,1,0,0,1,0,0
172,1132,25,39,0,0,1,1,0,0,1,0,0,1,0,0
173,1132,30,25,0,0,1,1,0,0,1,0,0,1,0,0
174,1132,30,44,0,0,1,1,0,0,1,0,0,0,1,0
175,1132,50,37,0,0,1,1,0,0,1,0,0,1,0,0
176,1132,40,38,0,0,1,1,0,0,1,0,0,1,0,1
177,1132,40,36,0,0,1,1,0,0,1,0,0,0,1,1
178,1132,20,46,0,0,1,1,0,0,1,0,1,0,0,1
179,1132,40,45,0,0,1,1,0,0,1,0,1,0,0,2
180,1132,5,30,0,0,1,0,1,0,1,0,1,0,0,0
181,1132,20,17,0,0,1,0,1,0,1,0,1,0,0,0
182,1132,20,37,0,0,1,0,1,0,1,0,0,0,1,0
183,1132,25,29,0,0,1,0,1,0,1,0,0,0,1,0
184,1132,30,33,0,0,1,0,1,0,1,0,0,1,0,0
185,1132,80,38,0,0,1,0,1,0,1,0,0,1,0,0
186,1132,30,43,0,0,1,0,1,0,1,0,0,1,0,2
187,1212,5,42,0,0,1,1,0,0,1,0,0,1,0,0
188,1212,20,50,0,0,1,1,0,0,1,0,0,1,0,0
189,1212,35,39,0,0,1,1,0,0,1,0,1,0,0,0
190,1212,10,10,0,0,1,1,0,0,1,0,1,0,0,1
191,1212,20,45,0,0,1,1,0,0,1,0,0,0,1,1
192,1212,40,19,0,0,1,1,0,0,1,0,1,0,0,1
193,1212,40,46,0,0,1,1,0,0,1,0,0,0,1,1
194,1212,40,46,0,0,1,1,0,0,1,0,0,1,0,1
195,1212,40,45,0,0,1,1,0,0,1,0,0,0,1,1
196,1212,50,43,0,0,1,1,0,0,1,0,0,1,0,1
197,1212,20,42,0,0,1,1,0,0,1,0,0,0,1,2
198,1212,5,37,0,0,1,0,1,0,1,0,0,1,0,0
199,1212,20,24,0,0,1,0,1,0,1,0,0,1,0,0
200,1212,30,36,0,0,1,0,1,0,1,0,0,0,1,0
201,1212,45,39,0,0,1,0,1,0,1,0,0,1,0,0
202,1212,50,44,0,0,1,0,1,0,1,0,0,1,0,0
203,1212,50,47,0,0,1,0,1,0,1,0,1,0,0,0
204,1212,15,44,0,0,1,0,1,0,1,0,0,1,0,1
205,1212,20,44,0,0,1,0,1,0,1,0,1,0,0,1
206,1212,20,44,0,0,1,0,1,0,1,0,0,1,0,1
207,1212,30,44,0,0,1,0,1,0,1,0,0,1,0,2
208,1296,20,43,0,0,1,1,0,0,1,0,0,1,0,0
209,1297,45,43,0,0,1,1,0,0,1,0,0,1,0,0
210,1296,5,42,0,0,1,1,0,0,1,0,0,1,0,1
211,1296,10,42,0,0,1,1,0,0,1,0,0,1,0,1
212,1297,20,42,0,0,1,1,0,0,1,0,0,1,0,1
213,1296,25,32,0,0,1,1,0,0,1,0,0,1,0,1
214,1296,35,39,0,0,1,0,1,0,1,0,0,0,1,0
215,1296,40,41,0,0,1,0,1,0,1,0,0,1,0,0
216,1296,10,41,0,0,1,0,1,0,1,0,0,1,0,1
217,1385,15,31,0,0,1,1,0,0,1,0,0,1,0,0
218,1385,25,30,0,0,1,1,0,0,1,0,0,1,0,0
219,1385,25,46,0,0,1,1,0,0,1,0,0,0,1,0
220,1385,30,43,0,0,1,1,0,0,1,0,1,0,0,0
221,1385,40,30,0,0,1,1,0,0,1,0,0,1,0,0
222,1385,10,45,0,0,1,1,0,0,1,0,0,1,0,2
223,1385,40,45,0,0,1,1,0,0,1,0,0,0,1,2
224,1385,5,42,0,0,1,0,1,0,1,0,0,0,1,0
225,1385,10,30,0,0,1,0,1,0,1,0,0,1,0,0
226,1385,10,40,0,0,1,0,1,0,1,0,0,1,0,0
227,1385,25,32,0,0,1,0,1,0,1,0,0,1,0,0
