,Unnamed: 0,Age,AnnualIncome,FamilyMembers,ChronicDiseases,Government Sector,Private Sector/Self Employed,Yes,No,target
0,0,31,400000,6,1,1,0,0,1,0
1,1,31,1250000,7,0,0,1,0,1,0
2,2,34,500000,4,1,0,1,0,1,1
3,3,28,700000,3,1,0,1,0,1,0
4,4,28,700000,8,1,0,1,0,1,0
5,5,25,1150000,4,0,0,1,0,1,0
6,6,31,1300000,4,0,1,0,0,1,0
7,7,31,1350000,3,0,0,1,1,0,1
8,8,28,1450000,6,1,0,1,1,0,1
9,9,33,800000,3,0,1,0,0,1,0
10,10,31,400000,9,1,1,0,0,1,0
11,11,26,1400000,5,0,0,1,1,0,1
12,12,32,850000,6,0,1,0,0,1,1
13,13,31,1500000,6,0,1,0,1,0,1
14,14,31,400000,3,0,1,0,0,1,0
15,15,34,700000,7,0,0,1,0,1,0
16,16,28,1150000,4,1,0,1,0,1,0
17,17,28,800000,7,0,0,1,0,1,1
18,18,29,1050000,5,1,0,1,0,1,1
19,19,34,1500000,2,0,0,1,1,0,1
20,20,28,1150000,6,0,0,1,0,1,0
21,21,29,350000,3,0,0,1,0,1,1
22,22,31,1100000,4,0,0,1,0,1,0
23,23,28,600000,9,0,1,0,0,1,1
24,24,31,1500000,7,0,1,0,1,0,0
25,25,35,800000,4,0,0,1,1,0,0
26,26,34,1300000,6,0,0,1,0,1,1
27,27,28,1250000,2,0,0,1,0,1,0
28,28,26,600000,4,0,0,1,0,1,0
29,29,31,900000,3,0,0,1,0,1,0
30,30,30,550000,6,0,0,1,1,0,0
31,31,31,300000,4,0,1,0,0,1,0
32,32,25,750000,4,0,1,0,0,1,1
33,33,32,850000,3,0,1,0,0,1,0
34,34,28,800000,9,0,0,1,0,1,1
35,35,33,1400000,4,0,0,1,1,0,0
36,36,31,300000,9,1,1,0,0,1,0
37,37,34,700000,4,0,0,1,0,1,0
38,38,34,1100000,2,0,1,0,0,1,0
39,39,33,1500000,5,1,0,1,1,0,1
40,40,25,1400000,3,1,0,1,1,0,1
41,41,33,550000,5,0,0,1,0,1,0
42,42,26,1500000,2,1,0,1,1,0,1
43,43,28,1200000,4,0,0,1,0,1,1
44,44,25,1400000,7,0,0,1,1,0,1
45,45,34,1400000,5,1,0,1,1,0,1
46,46,25,1400000,4,0,0,1,1,0,1
47,47,35,1100000,5,0,1,0,0,1,0
48,48,28,600000,3,0,0,1,0,1,0
49,49,31,1350000,3,0,0,1,1,0,1
50,50,31,1250000,3,1,0,1,0,1,0
51,51,29,1050000,3,0,0,1,0,1,0
52,52,31,1250000,4,0,0,1,1,0,0
53,53,28,300000,2,0,1,0,0,1,0
54,54,29,1200000,7,0,0,1,0,1,0
55,55,26,750000,5,0,0,1,0,1,0
56,56,28,550000,3,0,0,1,0,1,1
57,57,34,1000000,6,0,0,1,0,1,1
58,58,33,1400000,6,0,0,1,1,0,1
59,59,33,1400000,9,0,0,1,1,0,1
60,60,31,1250000,4,0,0,1,1,0,0
61,61,32,800000,3,0,1,0,0,1,1
62,62,28,800000,4,0,0,1,0,1,0
63,63,27,500000,2,0,1,0,0,1,0
64,64,30,1450000,9,0,0,1,1,0,1
65,65,26,600000,5,1,0,1,0,1,0
66,66,30,800000,6,0,0,1,0,1,0
67,67,34,1500000,3,0,0,1,1,0,1
68,68,29,350000,4,0,0,1,0,1,0
69,69,31,300000,4,0,1,0,0,1,0
70,70,34,1300000,4,0,1,0,0,1,0
71,71,28,750000,6,0,0,1,0,1,0
72,72,28,800000,6,1,0,1,0,1,0
73,73,28,750000,7,0,0,1,0,1,0
74,74,28,700000,4,1,0,1,0,1,0
75,75,34,1300000,5,0,0,1,0,1,0
76,76,29,1200000,3,0,0,1,0,1,1
77,77,31,400000,4,0,1,0,0,1,0
78,78,31,1300000,3,0,1,0,1,0,1
79,79,31,400000,5,1,1,0,0,1,0
80,80,26,1300000,4,1,0,1,0,1,0
81,81,25,1150000,8,0,0,1,0,1,0
82,82,28,1250000,4,1,0,1,0,1,0
83,83,34,950000,4,0,0,1,0,1,1
84,84,32,350000,6,1,1,0,0,1,0
85,85,25,1700000,4,0,0,1,0,1,1
86,86,32,900000,4,0,1,0,0,1,0
87,87,28,300000,6,0,1,0,0,1,0
88,88,34,1050000,5,1,0,1,0,1,0
89,89,28,300000,8,0,1,0,0,1,0
90,90,27,1050000,3,0,1,0,0,1,0
