,ID,Age,RM_professional_growth,RM_lazy,RM_productive,RM_better_work_life_balance,RM_improved_skillset,Tutor,HR,Engineer,Recruiter,Business,Marketing ,Manager,Female,Male,Yes,No,yes,CALMER,STRESSED,Not sure,target
0,1,45,5,1,5,5,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,2,24,2,2,2,3,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2,3,53,3,3,4,5,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
3,4,26,3,4,4,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
4,5,26,3,3,5,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
5,6,27,3,3,3,3,5,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
6,7,24,3,4,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
7,8,36,3,4,3,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
8,9,26,2,4,3,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
9,10,26,3,2,4,4,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
10,11,27,4,4,4,4,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
11,12,25,4,3,4,3,4,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
12,13,26,1,2,3,5,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
13,14,25,4,4,3,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
14,15,25,4,4,4,4,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
15,16,28,3,3,4,3,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
16,17,25,4,3,2,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
17,18,24,1,5,2,3,5,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
18,19,44,4,1,3,4,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
19,20,25,4,3,4,2,5,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
20,21,44,2,1,3,3,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
21,22,29,5,5,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
22,23,41,3,2,4,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
23,24,28,2,4,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
24,25,21,3,3,4,4,4,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
25,26,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
26,27,32,4,1,5,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
27,28,26,2,4,5,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
28,29,36,4,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
29,30,25,4,3,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
30,31,25,3,1,5,4,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
31,32,22,2,4,3,5,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
32,33,28,5,1,3,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
33,34,27,3,5,5,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
34,35,25,1,1,5,5,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
35,36,21,3,4,3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
36,37,25,3,5,3,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
37,38,24,3,4,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
38,39,24,5,3,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
39,40,26,3,3,3,4,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
40,41,27,4,5,4,2,4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
41,42,26,3,4,2,1,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
42,43,27,2,1,2,1,5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
43,44,23,3,4,4,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
44,45,24,3,5,4,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
45,46,25,3,4,4,3,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
46,47,54,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
47,48,23,4,4,4,1,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
48,49,22,4,4,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
49,50,26,3,3,5,3,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
50,51,53,2,3,4,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
51,52,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
52,53,27,2,4,3,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
53,54,25,4,5,3,2,3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
54,55,54,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
55,56,25,1,1,5,5,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
56,57,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
57,58,29,2,3,3,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
58,59,21,3,3,3,3,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
59,60,25,3,2,4,3,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
60,61,26,3,4,4,4,5,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
61,62,26,3,3,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
62,63,25,5,3,5,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
63,64,28,2,4,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
64,65,32,4,1,5,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
65,66,54,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
66,67,26,4,4,4,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
67,68,25,5,3,5,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
68,69,23,3,3,4,2,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
69,70,36,4,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
70,71,25,4,3,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
71,72,41,3,2,4,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
72,73,26,2,4,3,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
73,74,26,3,3,4,5,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
74,75,26,3,3,5,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
75,76,27,3,3,3,3,5,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
76,77,24,3,4,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
77,78,34,3,4,3,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
78,79,44,4,1,3,4,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
79,80,25,3,2,4,4,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
80,81,27,4,4,4,4,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
81,82,25,4,3,4,3,4,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
82,83,26,1,2,3,5,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
83,84,29,4,4,3,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
84,85,25,4,4,4,4,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
85,86,27,3,3,4,3,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
86,87,25,4,3,2,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
87,88,24,1,5,2,3,5,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
88,89,25,3,4,4,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
89,90,29,4,3,4,2,5,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
90,91,35,2,1,3,3,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
91,92,26,5,5,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
92,93,24,2,2,2,3,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
93,94,28,2,4,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
94,95,29,3,3,4,4,4,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
95,96,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
96,97,32,4,1,5,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
97,98,26,2,4,5,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
98,99,45,5,1,5,5,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
99,100,24,3,1,5,4,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
100,101,26,2,4,3,5,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
101,102,24,5,1,3,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
102,103,27,3,5,5,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
103,104,25,1,1,5,5,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
104,105,21,3,4,3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
105,106,25,3,5,3,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
106,107,24,3,4,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
107,108,26,5,3,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
108,109,26,3,3,3,4,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
109,110,29,4,5,4,2,4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
110,111,27,3,4,2,1,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
111,112,27,2,1,2,1,5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
112,113,23,3,4,4,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
113,114,24,3,5,4,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
114,115,25,3,4,4,3,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
115,116,52,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
116,117,23,4,4,4,1,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
117,118,22,4,4,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
118,119,28,3,3,5,3,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1
119,120,53,2,3,4,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
120,121,42,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
121,122,27,2,4,3,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
122,123,25,4,5,3,2,3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
123,124,52,4,4,4,5,3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
124,125,25,1,1,5,5,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
125,126,27,1,1,5,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
126,127,29,2,3,3,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
127,128,22,3,3,3,3,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
128,129,28,3,2,4,3,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
129,130,26,3,4,4,4,5,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
130,131,26,3,3,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
131,132,29,5,3,5,1,3,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
132,133,30,2,4,3,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
133,134,33,4,1,5,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
