,Price,Rank,Combination,Dry,Normal,Oily,Moisturizer,Cleanser,Treatment,Face Mask,Eye cream,Sun protect,target
0,175,4.1,1,1,1,1,1,0,0,0,0,0,0
1,179,4.1,1,1,1,1,1,0,0,0,0,0,0
2,68,4.4,1,1,1,1,1,0,0,0,0,0,1
3,175,3.8,1,1,1,1,1,0,0,0,0,0,0
4,38,4.1,1,1,1,1,1,0,0,0,0,0,0
5,68,4.2,1,0,1,1,1,0,0,0,0,0,0
6,60,4.2,1,1,1,1,1,0,0,0,0,0,1
7,72,4.4,1,1,1,1,1,0,0,0,0,0,1
8,29,4.4,1,1,1,1,1,0,0,0,0,0,0
9,325,5.0,0,0,0,0,1,0,0,0,0,0,1
10,45,4.3,0,0,0,0,1,0,0,0,0,0,1
11,47,4.4,1,1,1,1,1,0,0,0,0,0,0
12,38,4.5,1,0,1,1,1,0,0,0,0,0,1
13,105,4.1,1,1,1,1,1,0,0,0,0,0,0
14,58,4.6,1,1,1,1,1,0,0,0,0,0,0
15,90,4.4,1,1,1,1,1,0,0,0,0,0,1
16,30,4.6,1,1,1,1,1,0,0,0,0,0,0
17,39,4.4,1,1,1,1,1,0,0,0,0,0,0
18,40,4.4,0,0,0,0,1,0,0,0,0,0,1
19,230,4.3,0,1,1,0,1,0,0,0,0,0,0
20,85,4.1,1,1,1,1,1,0,0,0,0,0,0
21,30,3.9,0,0,0,0,1,0,0,0,0,0,1
22,78,4.6,0,0,0,0,1,0,0,0,0,0,1
23,92,4.1,1,1,1,0,1,0,0,0,0,0,1
24,38,4.6,0,1,1,0,1,0,0,0,0,0,1
25,100,4.4,0,0,0,0,1,0,0,0,0,0,1
26,40,4.5,1,1,1,1,1,0,0,0,0,0,1
27,34,4.4,1,1,1,1,1,0,0,0,0,0,0
28,28,3.9,1,1,0,0,1,0,0,0,0,0,1
29,240,4.1,1,1,1,1,1,0,0,0,0,0,0
30,68,4.4,0,0,0,0,1,0,0,0,0,0,1
31,48,4.5,1,1,1,1,1,0,0,0,0,0,0
32,38,4.2,1,1,1,1,1,0,0,0,0,0,0
33,48,4.5,0,1,0,1,1,0,0,0,0,0,0
34,38,3.9,1,1,1,1,1,0,0,0,0,0,1
35,54,3.9,0,0,0,0,1,0,0,0,0,0,1
36,25,4.4,1,1,1,1,1,0,0,0,0,0,0
37,35,4.4,0,1,1,0,1,0,0,0,0,0,0
38,99,4.1,1,1,1,1,1,0,0,0,0,0,0
39,39,4.2,0,0,0,0,1,0,0,0,0,0,1
40,48,4.0,1,1,1,0,1,0,0,0,0,0,0
41,63,4.4,0,1,1,0,1,0,0,0,0,0,1
42,28,4.5,1,0,0,1,1,0,0,0,0,0,1
43,55,4.3,1,1,1,1,1,0,0,0,0,0,1
44,80,4.2,1,1,1,1,1,0,0,0,0,0,0
45,45,4.1,1,1,1,1,1,0,0,0,0,0,0
46,48,4.6,1,1,1,1,1,0,0,0,0,0,0
47,32,3.7,0,0,0,0,1,0,0,0,0,0,1
48,65,4.2,1,1,1,0,1,0,0,0,0,0,0
49,18,4.3,1,0,1,1,1,0,0,0,0,0,0
50,10,4.5,1,1,1,1,1,0,0,0,0,0,0
51,58,4.8,1,1,1,1,1,0,0,0,0,0,0
52,245,4.2,1,1,1,1,1,0,0,0,0,0,0
53,72,4.4,1,1,1,1,1,0,0,0,0,0,0
54,37,4.3,1,1,1,1,1,0,0,0,0,0,1
55,57,4.5,0,0,0,0,1,0,0,0,0,0,1
56,29,4.4,1,1,1,1,1,0,0,0,0,0,0
57,100,4.4,0,0,0,0,1,0,0,0,0,0,1
58,30,4.6,1,1,1,1,1,0,0,0,0,0,0
59,120,4.3,1,1,1,0,1,0,0,0,0,0,0
60,44,4.6,1,1,1,1,1,0,0,0,0,0,0
61,60,4.0,1,1,1,1,1,0,0,0,0,0,0
62,60,4.5,1,0,1,1,1,0,0,0,0,0,1
63,52,4.2,1,1,1,1,1,0,0,0,0,0,0
64,39,4.2,1,1,1,1,1,0,0,0,0,0,0
65,72,4.4,1,0,1,1,1,0,0,0,0,0,1
66,44,4.1,1,1,1,1,1,0,0,0,0,0,0
67,42,4.0,0,0,0,0,1,0,0,0,0,0,1
68,65,4.1,1,1,1,1,1,0,0,0,0,0,0
69,54,4.0,0,0,0,0,1,0,0,0,0,0,1
70,38,3.9,1,1,1,1,1,0,0,0,0,0,0
71,110,4.5,1,1,1,0,1,0,0,0,0,0,0
72,49,4.0,1,1,1,1,1,0,0,0,0,0,1
73,82,4.4,0,0,0,0,1,0,0,0,0,0,1
74,48,4.6,1,1,1,0,1,0,0,0,0,0,0
75,72,4.4,0,1,1,0,1,0,0,0,0,0,0
76,52,4.4,0,0,0,0,1,0,0,0,0,0,1
77,38,4.3,1,1,1,1,1,0,0,0,0,0,0
78,195,4.4,1,1,1,1,1,0,0,0,0,0,0
79,59,4.3,1,1,1,1,1,0,0,0,0,0,1
80,45,4.1,1,1,1,1,1,0,0,0,0,0,0
81,52,4.4,1,1,1,1,1,0,0,0,0,0,0
82,145,4.5,1,1,1,1,1,0,0,0,0,0,1
83,48,4.3,1,1,1,1,1,0,0,0,0,0,0
84,95,4.0,0,0,0,0,1,0,0,0,0,0,1
85,290,4.4,1,1,1,1,1,0,0,0,0,0,0
86,28,4.2,1,1,1,1,1,0,0,0,0,0,0
87,68,3.8,1,1,1,1,1,0,0,0,0,0,0
88,60,4.3,0,1,1,0,1,0,0,0,0,0,1
89,40,4.1,0,0,0,0,1,0,0,0,0,0,1
90,45,4.3,0,0,1,1,1,0,0,0,0,0,1
91,36,4.3,0,0,0,0,1,0,0,0,0,0,1
92,39,4.4,1,1,0,0,1,0,0,0,0,0,1
93,32,3.9,1,1,1,1,1,0,0,0,0,0,0
94,36,4.7,1,1,1,1,1,0,0,0,0,0,0
95,28,4.5,0,0,0,0,1,0,0,0,0,0,1
96,39,4.1,1,0,1,1,1,0,0,0,0,0,0
97,190,0.0,0,0,0,0,1,0,0,0,0,0,1
98,175,3.3,1,1,1,1,1,0,0,0,0,0,0
99,39,4.1,1,1,1,1,1,0,0,0,0,0,0
100,135,3.8,1,1,1,1,1,0,0,0,0,0,0
101,122,4.3,1,1,1,1,1,0,0,0,0,0,0
102,112,4.3,1,1,1,1,1,0,0,0,0,0,0
103,35,3.6,0,0,0,0,1,0,0,0,0,0,1
104,48,4.3,1,1,1,1,1,0,0,0,0,0,0
105,28,4.0,1,0,1,1,1,0,0,0,0,0,0
106,40,4.1,1,1,1,1,1,0,0,0,0,0,0
107,40,4.4,0,1,0,0,1,0,0,0,0,0,0
108,45,4.6,0,0,0,0,1,0,0,0,0,0,1
109,48,4.3,1,1,1,1,1,0,0,0,0,0,0
110,35,4.5,0,1,1,1,1,0,0,0,0,0,1
111,88,4.5,0,1,0,0,1,0,0,0,0,0,0
112,48,4.3,1,1,1,1,1,0,0,0,0,0,0
113,34,4.7,1,1,1,1,1,0,0,0,0,0,0
114,29,3.5,0,0,0,0,1,0,0,0,0,0,1
115,48,4.2,1,0,1,1,1,0,0,0,0,0,0
116,229,0.0,0,0,0,0,1,0,0,0,0,0,1
117,85,4.2,1,1,1,1,1,0,0,0,0,0,0
118,84,4.3,0,0,0,0,1,0,0,0,0,0,1
119,58,4.7,1,1,1,0,1,0,0,0,0,0,0
120,127,4.3,0,0,0,0,1,0,0,0,0,0,1
121,45,4.3,0,1,1,0,1,0,0,0,0,0,1
122,60,4.3,0,0,0,0,1,0,0,0,0,0,1
123,30,4.2,0,0,0,0,1,0,0,0,0,0,1
124,32,4.2,0,0,0,0,1,0,0,0,0,0,1
125,47,4.7,1,1,1,1,1,0,0,0,0,0,0
126,47,3.9,1,0,1,1,1,0,0,0,0,0,1
127,42,4.3,1,0,1,1,1,0,0,0,0,0,0
128,48,4.4,1,1,1,1,1,0,0,0,0,0,0
129,44,4.8,0,0,0,0,1,0,0,0,0,0,1
130,58,4.7,1,1,1,0,1,0,0,0,0,0,1
131,44,4.8,1,1,1,0,1,0,0,0,0,0,0
132,75,4.4,0,0,0,0,1,0,0,0,0,0,1
133,38,4.5,1,1,1,1,1,0,0,0,0,0,0
134,39,4.4,1,1,1,1,1,0,0,0,0,0,0
135,32,4.1,1,1,1,1,1,0,0,0,0,0,0
136,38,4.3,1,1,1,1,1,0,0,0,0,0,0
137,82,4.6,1,1,1,1,1,0,0,0,0,0,0
138,65,4.0,0,0,0,0,1,0,0,0,0,0,1
139,95,4.4,1,1,1,1,1,0,0,0,0,0,0
140,29,4.2,1,1,1,1,1,0,0,0,0,0,0
141,52,4.4,1,1,1,1,1,0,0,0,0,0,0
142,82,4.2,0,0,0,0,1,0,0,0,0,0,1
143,42,4.1,1,1,1,1,1,0,0,0,0,0,1
144,45,3.5,1,1,1,1,1,0,0,0,0,0,0
145,68,4.3,1,1,1,1,1,0,0,0,0,0,0
146,35,4.6,1,0,1,1,1,0,0,0,0,0,0
147,225,4.2,1,1,1,1,1,0,0,0,0,0,0
148,75,4.1,1,1,1,1,1,0,0,0,0,0,0
149,48,4.9,1,1,1,1,1,0,0,0,0,0,0
150,40,4.2,1,0,0,1,1,0,0,0,0,0,1
151,34,4.3,1,0,0,1,1,0,0,0,0,0,1
152,115,4.3,1,1,1,1,1,0,0,0,0,0,0
153,29,4.1,1,0,1,0,1,0,0,0,0,0,1
154,36,4.2,1,1,1,1,1,0,0,0,0,0,0
155,56,4.1,1,1,1,1,1,0,0,0,0,0,1
156,58,4.6,1,1,1,1,1,0,0,0,0,0,0
157,24,4.2,1,1,1,1,1,0,0,0,0,0,0
158,40,4.3,1,0,1,1,1,0,0,0,0,0,1
159,50,4.1,1,1,1,1,1,0,0,0,0,0,1
160,90,4.2,0,1,1,0,1,0,0,0,0,0,1
161,60,4.7,1,1,1,0,1,0,0,0,0,0,0
162,270,3.6,1,1,1,1,1,0,0,0,0,0,0
163,39,4.1,1,0,0,1,1,0,0,0,0,0,1
164,63,4.3,0,0,0,0,1,0,0,0,0,0,1
165,76,4.1,1,1,1,1,1,0,0,0,0,0,0
166,175,4.5,0,0,0,0,1,0,0,0,0,0,1
167,63,4.0,1,1,1,1,1,0,0,0,0,0,0
168,39,3.8,0,0,0,0,1,0,0,0,0,0,1
169,28,4.2,1,1,1,1,1,0,0,0,0,0,0
170,280,4.0,1,1,1,1,1,0,0,0,0,0,0
171,57,4.2,1,0,1,1,1,0,0,0,0,0,1
172,39,4.5,0,0,0,0,1,0,0,0,0,0,1
173,48,4.4,0,0,0,0,1,0,0,0,0,0,1
174,45,4.1,0,0,0,0,1,0,0,0,0,0,1
175,45,4.4,1,1,1,1,1,0,0,0,0,0,1
176,130,4.0,1,1,1,1,1,0,0,0,0,0,0
177,69,5.0,0,0,0,0,1,0,0,0,0,0,1
178,125,4.5,1,1,1,1,1,0,0,0,0,0,0
179,52,4.5,0,0,0,0,1,0,0,0,0,0,1
180,95,4.6,1,1,1,1,1,0,0,0,0,0,0
181,88,4.4,1,1,1,1,1,0,0,0,0,0,0
182,42,3.9,1,1,1,1,1,0,0,0,0,0,0
183,110,3.9,0,0,0,0,1,0,0,0,0,0,1
184,80,4.7,0,0,0,0,1,0,0,0,0,0,1
185,65,4.2,1,0,1,1,1,0,0,0,0,0,1
186,34,4.4,1,1,1,1,1,0,0,0,0,0,0
187,94,4.4,0,0,0,0,1,0,0,0,0,0,1
188,39,4.0,1,1,1,1,1,0,0,0,0,0,1
189,140,4.4,1,1,1,1,1,0,0,0,0,0,0
190,76,3.9,1,1,1,0,1,0,0,0,0,0,0
191,92,4.1,1,1,1,1,1,0,0,0,0,0,1
192,72,4.2,0,1,1,0,1,0,0,0,0,0,0
193,54,4.4,1,1,1,1,1,0,0,0,0,0,0
194,39,5.0,1,0,0,1,1,0,0,0,0,0,1
195,39,4.6,1,1,1,1,1,0,0,0,0,0,0
196,105,4.8,0,0,0,0,1,0,0,0,0,0,1
197,4,4.2,0,0,0,0,1,0,0,0,0,0,1
198,42,4.3,0,0,0,0,1,0,0,0,0,0,1
199,48,4.4,1,1,0,1,1,0,0,0,0,0,0
200,24,3.8,1,1,1,1,1,0,0,0,0,0,0
201,108,4.1,0,0,0,0,1,0,0,0,0,0,1
202,92,4.2,1,1,1,1,1,0,0,0,0,0,1
203,55,4.2,1,1,1,1,1,0,0,0,0,0,0
204,165,4.4,0,0,0,0,1,0,0,0,0,0,1
205,39,4.0,1,1,1,1,1,0,0,0,0,0,0
206,60,4.3,1,1,1,1,1,0,0,0,0,0,0
207,35,4.4,1,1,1,1,1,0,0,0,0,0,0
208,160,4.3,1,1,1,1,1,0,0,0,0,0,0
209,49,4.3,0,0,0,0,1,0,0,0,0,0,1
210,50,4.5,1,1,1,1,1,0,0,0,0,0,0
211,90,4.1,1,1,1,1,1,0,0,0,0,0,0
212,150,4.1,1,1,1,0,1,0,0,0,0,0,0
213,145,4.2,0,0,0,0,1,0,0,0,0,0,1
214,39,4.4,1,1,1,1,1,0,0,0,0,0,0
215,36,4.1,1,0,1,0,1,0,0,0,0,0,0
216,28,4.4,0,0,0,0,1,0,0,0,0,0,1
217,49,4.4,1,1,1,1,1,0,0,0,0,0,0
218,32,4.1,1,1,1,1,1,0,0,0,0,0,0
219,48,4.3,0,0,0,0,1,0,0,0,0,0,1
220,35,4.5,0,0,0,0,1,0,0,0,0,0,1
221,29,3.9,1,1,1,1,1,0,0,0,0,0,0
222,34,4.5,1,1,1,0,1,0,0,0,0,0,0
223,75,4.0,1,1,1,0,1,0,0,0,0,0,1
224,50,4.4,1,1,1,1,1,0,0,0,0,0,0
225,28,4.3,0,0,0,0,1,0,0,0,0,0,1
226,115,3.7,1,1,1,1,1,0,0,0,0,0,0
227,39,4.2,1,1,1,1,1,0,0,0,0,0,0
228,140,5.0,0,0,0,0,1,0,0,0,0,0,1
229,95,3.9,1,1,1,1,1,0,0,0,0,0,1
230,60,4.2,1,1,1,1,1,0,0,0,0,0,0
231,115,4.9,1,1,1,1,1,0,0,0,0,0,0
