,ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,D,F,A,B,C,Flight,Ship,Road,low,medium,high,M,target
0,1,4,2,177,3,44,1233,1,1,0,0,0,1,0,0,1,0,0,0,0
1,2,4,5,216,2,59,3088,0,0,0,0,0,1,0,0,1,0,0,1,0
2,3,2,2,183,4,48,3374,0,0,1,0,0,1,0,0,1,0,0,1,0
3,4,3,3,176,4,10,1177,0,0,0,1,0,1,0,0,0,1,0,1,0
4,5,2,2,184,3,46,2484,0,1,0,0,1,1,0,0,0,1,0,0,0
5,6,3,1,162,3,12,1417,0,1,0,0,0,1,0,0,0,1,0,0,0
6,7,3,4,250,3,3,2371,1,1,0,0,0,1,0,0,1,0,0,0,0
7,8,4,1,233,2,48,2804,0,1,0,0,0,1,0,0,1,0,0,0,0
8,9,3,4,150,3,11,1861,0,1,1,0,0,1,0,0,1,0,0,0,0
9,10,3,2,164,3,29,1187,0,1,0,1,0,1,0,0,0,1,0,0,0
10,11,3,4,189,2,12,2888,0,0,0,0,1,1,0,0,0,1,0,1,0
11,12,4,5,232,3,32,3253,0,1,0,0,0,1,0,0,0,1,0,0,0
12,13,3,5,198,3,1,3667,1,1,0,0,0,1,0,0,0,1,0,0,0
13,14,4,4,275,3,29,2602,0,0,0,0,0,1,0,0,0,0,1,1,0
14,15,4,3,152,3,43,1009,0,0,1,0,0,1,0,0,1,0,0,1,0
15,16,4,3,227,3,45,2707,0,1,0,1,0,1,0,0,1,0,0,0,0
16,17,3,4,143,2,6,1194,0,1,0,0,1,1,0,0,0,1,0,0,0
17,18,5,5,227,3,36,3952,0,0,0,0,0,0,1,0,0,1,0,1,0
18,19,5,5,239,3,18,2495,1,0,0,0,0,0,1,0,0,0,1,1,0
19,20,4,5,145,3,45,1059,0,0,0,0,0,0,1,0,0,1,0,1,0
20,21,3,3,161,2,38,1521,0,1,1,0,0,0,1,0,0,1,0,0,0
21,22,3,1,232,4,51,2899,0,1,0,1,0,0,1,0,0,1,0,0,0
22,23,2,5,156,2,2,1750,0,0,0,0,1,0,1,0,1,0,0,1,0
23,24,4,3,211,3,12,3922,0,0,0,0,0,0,1,0,0,0,1,1,0
24,25,4,5,251,2,28,3561,1,1,0,0,0,0,1,0,0,1,0,0,0
25,26,3,1,225,4,29,3496,0,0,0,0,0,0,1,0,1,0,0,1,0
26,27,4,1,172,3,24,1066,0,1,1,0,0,0,1,0,0,0,1,0,0
27,28,5,1,162,3,31,1435,0,0,0,1,0,0,1,0,0,1,0,1,0
28,29,2,3,234,4,44,3134,0,0,0,0,1,0,1,0,1,0,0,1,0
29,30,5,4,183,2,36,3819,0,1,0,0,0,0,1,0,1,0,0,0,0
30,31,3,4,266,2,38,2741,1,1,0,0,0,0,1,0,0,1,0,0,0
31,32,5,3,257,2,61,3341,0,1,0,0,0,0,1,0,1,0,0,0,0
32,33,3,1,223,3,22,3795,0,1,1,0,0,0,1,0,1,0,0,0,0
33,34,4,2,234,3,4,3261,0,0,0,1,0,0,1,0,0,1,0,1,0
34,35,4,2,227,4,22,2460,0,1,0,0,1,0,1,0,0,1,0,0,0
35,36,5,4,149,3,44,1811,0,1,0,0,0,0,1,0,0,1,0,0,0
36,37,3,5,137,4,62,1477,1,1,0,0,0,0,1,0,0,0,1,0,0
37,38,2,4,181,6,16,3605,0,1,0,0,0,0,1,0,0,1,0,0,0
38,39,5,1,215,4,56,3905,0,1,1,0,0,0,1,0,1,0,0,0,0
39,40,4,2,269,5,45,2383,0,1,0,1,0,0,1,0,1,0,0,0,0
40,41,5,1,227,2,15,3798,0,0,0,0,1,0,1,0,1,0,0,1,0
41,42,5,5,139,4,61,1265,0,0,0,0,0,0,1,0,0,1,0,1,0
42,43,3,5,137,2,38,1647,1,0,0,0,0,0,1,0,0,1,0,1,0
43,44,3,1,174,2,44,1556,0,0,0,0,0,0,1,0,1,0,0,1,0
44,45,3,1,151,2,29,1328,0,0,1,0,0,0,1,0,1,0,0,1,0
45,46,5,1,210,3,9,2944,0,1,0,1,0,0,1,0,1,0,0,0,0
46,47,3,4,169,4,32,1245,0,1,0,0,1,0,1,0,0,1,0,0,0
47,48,5,1,160,2,32,1576,0,0,0,0,0,0,1,0,1,0,0,1,0
48,49,5,4,190,2,9,3753,1,0,0,0,0,0,1,0,0,1,0,1,0
49,50,5,3,216,3,40,2146,0,1,0,0,0,0,1,0,1,0,0,0,0
50,51,4,1,183,3,37,2042,0,0,1,0,0,0,1,0,1,0,0,1,0
51,52,4,4,141,3,22,1735,0,0,0,1,0,0,1,0,1,0,0,1,0
52,53,4,3,165,3,44,1320,0,1,0,0,1,0,1,0,1,0,0,0,0
53,54,2,1,170,3,41,1128,0,0,0,0,0,0,1,0,1,0,0,1,0
54,55,4,3,203,3,12,3539,1,0,0,0,0,0,1,0,0,0,1,1,0
55,56,2,5,246,5,46,2437,0,0,0,0,0,0,1,0,1,0,0,1,0
56,57,3,3,238,3,61,3096,0,1,1,0,0,0,1,0,1,0,0,0,0
57,58,3,3,193,3,29,3453,0,1,0,1,0,0,1,0,0,1,0,0,0
58,59,5,5,141,3,41,1367,0,0,0,0,1,0,1,0,0,0,1,1,0
59,60,4,1,150,3,17,1923,0,1,0,0,0,0,1,0,0,0,1,0,0
60,61,3,1,221,3,64,2794,1,1,0,0,0,0,1,0,1,0,0,0,0
61,62,3,3,179,3,52,1158,0,0,0,0,0,0,1,0,0,1,0,1,0
62,63,5,1,105,6,62,1292,0,0,1,0,0,0,1,0,0,1,0,1,0
63,64,3,1,177,3,61,1880,0,0,0,1,0,0,1,0,0,1,0,1,0
64,65,4,5,261,2,49,3045,0,0,0,0,1,0,1,0,0,0,1,1,0
65,66,3,2,202,3,49,2881,0,0,0,0,0,0,1,0,1,0,0,1,0
66,67,3,2,109,3,15,1710,1,1,0,0,0,0,1,0,0,1,0,0,0
67,68,3,3,158,3,6,1878,0,1,0,0,0,0,1,0,1,0,0,0,0
68,69,4,2,231,4,6,2512,0,1,1,0,0,0,1,0,0,1,0,0,0
69,70,3,5,206,3,39,2929,0,0,0,1,0,0,1,0,0,1,0,1,0
70,71,5,1,187,4,14,3849,0,0,0,0,1,0,1,0,0,0,1,1,0
71,72,5,5,230,2,2,2229,0,1,0,0,0,0,1,0,1,0,0,0,0
72,73,5,5,232,3,33,2998,1,1,0,0,0,0,1,0,0,1,0,0,0
73,74,4,5,215,3,21,3984,0,1,0,0,0,0,1,0,0,1,0,0,0
74,75,6,1,238,6,13,2442,0,1,1,0,0,0,1,0,1,0,0,0,0
75,76,4,1,266,3,23,3775,0,1,0,1,0,0,1,0,1,0,0,0,0
76,77,2,3,158,2,36,1788,0,1,0,0,1,0,1,0,0,1,0,0,0
77,78,3,3,113,3,43,1518,0,1,0,0,0,0,1,0,1,0,0,0,0
78,79,3,4,223,3,18,3959,1,0,0,0,0,0,1,0,1,0,0,1,0
79,80,3,5,257,2,56,3711,0,1,0,0,0,0,1,0,0,1,0,0,0
80,81,3,4,180,2,49,1942,0,1,1,0,0,0,1,0,0,1,0,0,0
81,82,2,5,132,3,18,1759,0,0,0,1,0,0,1,0,1,0,0,1,0
82,83,4,4,217,3,26,2875,0,1,0,0,1,0,1,0,0,0,1,0,0
83,84,5,5,162,3,31,1364,0,1,0,0,0,0,1,0,0,0,1,0,0
84,85,4,5,197,2,40,2710,1,1,0,0,0,0,1,0,0,1,0,0,0
85,86,3,4,197,3,13,2148,0,0,0,0,0,0,1,0,0,1,0,1,0
86,87,4,1,185,2,44,2910,0,0,1,0,0,0,1,0,1,0,0,1,0
87,88,6,2,278,3,3,2974,0,1,0,1,0,0,1,0,0,1,0,0,0
88,89,3,3,229,3,49,2339,0,0,0,0,1,0,1,0,1,0,0,1,0
89,90,4,1,186,4,57,3880,0,1,0,0,0,0,1,0,0,1,0,0,0
90,91,5,3,174,6,41,1085,1,1,0,0,0,0,1,0,0,0,1,0,0
91,92,5,5,286,3,18,3163,0,1,0,0,0,0,1,0,1,0,0,0,0
92,93,4,4,175,2,7,1188,0,1,1,0,0,0,1,0,0,1,0,0,0
93,94,3,3,219,3,17,3387,0,1,0,1,0,0,1,0,0,1,0,0,0
94,95,4,1,213,4,35,2343,0,1,0,0,1,0,1,0,0,0,1,0,0
95,96,2,3,235,3,57,2034,0,0,0,0,0,0,1,0,1,0,0,1,0
96,97,3,3,149,2,18,1225,1,0,0,0,0,0,1,0,0,1,0,1,0
97,98,4,1,271,2,8,2401,0,1,0,0,0,0,1,0,0,1,0,0,0
98,99,3,5,144,4,5,1104,0,0,1,0,0,0,1,0,0,1,0,1,0
99,100,4,2,145,2,21,1617,0,0,0,1,0,0,1,0,0,1,0,1,0
100,101,5,3,143,2,59,1837,0,0,0,0,1,0,1,0,0,1,0,1,0
101,102,5,5,227,4,53,2624,0,0,0,0,0,0,1,0,1,0,0,1,0
102,103,2,1,213,3,29,2732,1,0,0,0,0,0,1,0,1,0,0,1,0
103,104,5,1,144,4,37,1658,0,0,0,0,0,0,1,0,1,0,0,1,0
104,105,3,3,218,3,3,2255,0,0,1,0,0,0,1,0,1,0,0,1,0
105,106,4,2,144,3,59,1588,0,0,0,1,0,0,1,0,0,1,0,1,0
106,107,3,1,238,3,17,2624,0,0,0,0,1,0,1,0,1,0,0,1,0
107,108,4,5,216,3,26,2053,0,0,0,0,0,0,1,0,0,0,1,1,0
108,109,4,5,238,3,55,3257,1,1,0,0,0,0,1,0,0,0,1,0,0
109,110,4,1,141,3,47,1250,0,0,0,0,0,0,1,0,0,1,0,1,0
110,111,3,1,158,2,2,1284,0,0,1,0,0,0,0,1,1,0,0,1,0
111,112,4,2,239,3,65,3679,0,1,0,1,0,0,0,1,1,0,0,0,0
112,113,4,3,175,2,25,1816,0,0,0,0,1,0,0,1,1,0,0,1,0
113,114,3,2,263,3,41,2817,0,0,0,0,0,0,0,1,1,0,0,1,0
114,115,3,5,168,2,50,1616,1,0,0,0,0,0,0,1,0,0,1,1,0
115,116,3,4,176,3,36,1779,0,0,0,0,0,0,0,1,0,0,1,1,0
116,117,4,1,150,4,60,1024,0,0,1,0,0,0,0,1,0,0,1,1,0
117,118,4,3,265,2,31,2326,0,1,0,1,0,0,0,1,0,1,0,0,0
118,119,2,5,263,3,5,2947,0,1,0,0,1,0,0,1,1,0,0,0,0
119,120,5,1,145,3,20,1387,0,0,0,0,0,0,0,1,1,0,0,1,0
120,121,4,2,183,3,33,2741,1,1,0,0,0,0,0,1,1,0,0,0,0
121,122,3,3,205,3,19,2167,0,1,0,0,0,0,0,1,0,1,0,0,0
122,123,4,2,160,3,64,1714,0,0,1,0,0,0,0,1,1,0,0,1,0
123,124,3,3,252,2,48,2102,0,1,0,1,0,0,0,1,0,1,0,0,0
124,125,5,5,222,3,10,2280,0,0,0,0,1,0,0,1,1,0,0,1,0
125,126,3,3,203,2,25,3607,0,0,0,0,0,0,0,1,1,0,0,1,0
126,127,4,5,220,3,40,3516,1,0,0,0,0,0,0,1,0,1,0,1,0
127,128,3,3,147,4,60,1722,0,1,0,0,0,0,0,1,1,0,0,0,0
128,129,4,4,200,4,16,2060,0,0,1,0,0,0,0,1,0,1,0,1,0
129,130,4,5,224,4,21,2026,0,0,0,1,0,0,0,1,0,1,0,1,0
130,131,3,5,179,2,17,1364,0,1,0,0,1,0,0,1,1,0,0,0,0
131,132,3,4,144,3,50,1865,0,0,0,0,0,0,0,1,1,0,0,1,0
132,133,5,2,247,3,17,3889,1,0,0,0,0,1,0,0,1,0,0,1,0
133,134,5,4,280,6,51,3582,0,1,0,0,0,1,0,0,0,1,0,0,0
134,135,3,3,168,2,1,1829,0,1,1,0,0,1,0,0,0,1,0,0,0
135,136,3,5,157,3,4,1889,0,1,0,1,0,1,0,0,0,1,0,0,0
136,137,3,3,189,4,51,2208,0,1,0,0,1,1,0,0,0,1,0,0,0
137,138,3,5,162,2,7,1739,0,0,0,0,0,1,0,0,0,1,0,1,0
138,139,4,1,207,5,48,2399,1,0,0,0,0,1,0,0,1,0,0,1,0
139,140,5,1,237,2,10,3860,0,1,0,0,0,1,0,0,1,0,0,0,0
140,141,4,4,264,3,59,2020,0,0,1,0,0,1,0,0,0,0,1,1,0
141,142,5,4,149,3,51,1645,0,0,0,1,0,1,0,0,1,0,0,1,0
142,143,5,5,162,3,41,1462,0,0,0,0,1,1,0,0,1,0,0,1,0
143,144,2,1,205,4,63,2156,0,1,0,0,0,1,0,0,0,1,0,0,0
144,145,2,1,158,3,51,1540,1,1,0,0,0,1,0,0,0,1,0,0,0
145,146,2,2,248,2,46,3707,0,0,0,0,0,1,0,0,1,0,0,1,0
146,147,3,5,191,3,23,3750,0,0,1,0,0,1,0,0,1,0,0,1,0
147,148,4,3,146,4,24,1844,0,1,0,1,0,1,0,0,0,1,0,0,0
148,149,3,3,135,3,56,1490,0,0,0,0,1,1,0,0,1,0,0,1,0
149,150,5,1,149,3,40,1062,0,0,0,0,0,1,0,0,1,0,0,1,0
150,151,4,4,220,2,7,2551,1,1,0,0,0,1,0,0,0,1,0,0,0
151,152,5,3,98,5,44,1269,0,0,0,0,0,1,0,0,0,1,0,1,0
152,153,3,4,97,4,32,1238,0,0,1,0,0,1,0,0,1,0,0,1,0
153,154,3,3,183,2,53,3932,0,0,0,1,0,1,0,0,1,0,0,1,0
154,155,3,3,162,3,8,1869,0,1,0,0,1,0,1,0,0,1,0,0,0
155,156,5,1,114,4,47,1443,0,1,0,0,0,0,1,0,1,0,0,0,0
156,157,6,3,275,5,41,2491,1,0,0,0,0,0,1,0,1,0,0,1,0
157,158,3,2,203,2,39,3845,0,1,0,0,0,0,1,0,0,1,0,0,0
158,159,5,5,205,2,65,3671,0,0,1,0,0,0,1,0,0,0,1,1,0
159,160,3,3,149,3,63,1946,0,1,0,1,0,0,1,0,1,0,0,0,0
160,161,2,2,112,4,56,1138,0,0,0,0,1,0,1,0,0,1,0,1,0
161,162,3,1,207,3,56,3482,0,1,0,0,0,0,1,0,0,1,0,0,0
162,163,4,1,261,4,58,3427,1,1,0,0,0,0,1,0,1,0,0,0,0
163,164,5,2,274,3,6,3375,0,0,0,0,0,0,1,0,0,1,0,1,0
164,165,3,5,141,2,52,1692,0,0,1,0,0,0,1,0,1,0,0,1,0
165,166,3,3,166,4,17,1498,0,1,0,1,0,0,1,0,0,1,0,0,0
166,167,5,2,141,3,34,1020,0,1,0,0,1,0,1,0,0,0,1,0,0
167,168,4,5,152,3,43,1709,0,0,0,0,0,0,1,0,1,0,0,1,0
168,169,4,2,250,3,53,2478,1,1,0,0,0,0,1,0,1,0,0,0,0
169,170,4,3,161,3,28,1809,0,1,0,0,0,0,1,0,0,1,0,0,0
170,171,4,3,185,3,10,2263,0,1,1,0,0,0,1,0,0,1,0,0,0
171,172,4,4,176,4,52,1096,0,1,0,1,0,0,1,0,0,0,1,0,0
172,173,3,4,148,3,56,1550,0,0,0,0,1,0,1,0,1,0,0,1,0
173,174,3,2,270,3,63,2751,0,1,0,0,0,0,1,0,1,0,0,0,0
174,175,3,3,242,3,51,3935,1,1,0,0,0,0,1,0,1,0,0,0,0
175,176,4,4,150,2,3,1285,0,0,0,0,0,0,1,0,0,1,0,1,0
176,177,4,5,192,3,20,3872,0,0,1,0,0,0,1,0,0,0,1,1,0
177,178,4,5,116,3,54,1314,0,0,0,1,0,0,1,0,0,1,0,1,0
178,179,3,3,192,3,2,3995,0,1,0,0,1,0,1,0,0,1,0,0,0
179,180,5,5,255,4,3,3440,0,0,0,0,0,0,1,0,0,1,0,1,0
180,181,4,1,161,7,18,1294,1,1,0,0,0,0,1,0,0,1,0,0,0
181,182,4,5,157,3,20,1487,0,0,0,0,0,0,1,0,1,0,0,1,0
182,183,3,2,164,10,28,1940,0,1,1,0,0,0,1,0,0,0,1,0,0
183,184,3,5,162,7,16,1052,0,1,0,1,0,0,1,0,0,1,0,0,0
184,185,3,3,146,2,50,1486,0,0,0,0,1,0,1,0,1,0,0,1,0
185,186,3,2,209,3,54,3001,0,0,0,0,0,0,1,0,0,1,0,1,0
186,187,5,4,134,2,55,1386,1,1,0,0,0,0,1,0,0,1,0,0,0
187,188,2,1,222,2,5,3778,0,0,0,0,0,0,1,0,0,1,0,1,0
188,189,2,5,139,3,27,1233,0,1,1,0,0,0,1,0,1,0,0,0,0
189,190,2,4,134,3,42,1415,0,1,0,1,0,0,1,0,1,0,0,0,0
190,191,2,5,130,3,16,1092,0,0,0,0,1,0,1,0,1,0,0,1,0
191,192,2,5,133,3,62,1596,0,1,0,0,0,0,1,0,1,0,0,0,0
192,193,2,4,140,3,7,1411,1,1,0,0,0,0,1,0,1,0,0,0,0
193,194,2,2,158,3,28,1968,0,0,0,0,0,0,1,0,1,0,0,1,0
194,195,4,2,270,4,46,1736,0,1,1,0,0,0,1,0,1,0,0,0,0
195,196,2,5,140,3,30,1030,0,1,0,1,0,0,1,0,1,0,0,0,0
196,197,2,2,135,3,15,1339,0,0,0,0,1,0,1,0,1,0,0,1,0
197,198,2,3,136,3,19,1568,0,1,0,0,0,0,1,0,1,0,0,0,0
198,199,2,3,142,3,38,7640,1,1,0,0,0,0,1,0,0,1,0,0,0
199,200,2,2,154,3,38,7846,0,0,0,0,0,0,1,0,0,1,0,1,0
200,201,2,3,139,3,9,1471,0,0,1,0,0,0,1,0,1,0,0,1,0
201,202,2,3,160,3,43,1251,0,1,0,1,0,0,1,0,1,0,0,0,0
202,203,2,4,134,3,58,1067,0,0,0,0,1,0,1,0,1,0,0,1,0
203,204,5,3,161,5,48,1883,0,0,0,0,0,0,1,0,0,0,1,1,0
204,205,2,5,155,3,23,1602,1,0,0,0,0,0,1,0,1,0,0,1,0
205,206,2,3,145,3,24,7588,0,1,0,0,0,0,1,0,0,1,0,0,0
206,207,2,2,157,3,1,1477,0,0,1,0,0,0,1,0,1,0,0,1,0
207,208,2,2,160,3,48,1691,0,0,0,1,0,0,1,0,1,0,0,1,0
208,209,2,4,152,3,55,1498,0,0,0,0,1,0,1,0,1,0,0,1,0
209,210,2,5,148,3,11,1502,0,1,0,0,0,0,1,0,0,0,1,0,0
210,211,2,1,127,3,15,1522,1,1,0,0,0,0,1,0,1,0,0,0,0
211,212,2,5,154,3,21,1113,0,1,0,0,0,0,1,0,1,0,0,0,0
212,213,2,5,127,3,44,1341,0,0,1,0,0,0,1,0,1,0,0,1,0
213,214,2,5,160,3,31,7401,0,1,0,1,0,0,1,0,0,1,0,0,0
214,215,2,4,129,3,48,1219,0,1,0,0,1,0,1,0,1,0,0,0,0
215,216,2,5,158,3,40,1722,0,1,0,0,0,0,1,0,1,0,0,0,0
216,217,4,3,185,3,3,3131,1,0,0,0,0,0,1,0,0,1,0,1,0
217,218,4,4,176,4,63,1293,0,1,0,0,0,0,1,0,0,0,1,0,0
218,219,3,4,148,3,37,1523,0,0,1,0,0,0,1,0,1,0,0,1,0
219,220,3,5,270,3,60,3885,0,0,0,1,0,0,1,0,1,0,0,1,0
220,221,3,4,242,3,29,2381,0,0,0,0,1,0,1,0,1,0,0,1,0
221,222,4,3,150,2,31,1588,0,0,0,0,0,0,1,0,0,1,0,1,0
222,223,4,2,192,3,4,2061,1,0,0,0,0,0,1,0,0,0,1,1,0
223,224,4,5,116,3,9,1314,0,1,0,0,0,0,1,0,0,1,0,0,0
224,225,3,4,192,3,31,3331,0,1,1,0,0,0,1,0,0,1,0,0,0
225,226,5,4,255,4,38,2771,0,1,0,1,0,0,1,0,0,1,0,0,0
226,227,4,3,161,7,63,1496,0,0,0,0,1,0,1,0,0,1,0,1,0
227,228,4,2,157,3,48,1393,0,1,0,0,0,0,1,0,1,0,0,0,0
228,229,3,2,164,10,14,1375,1,0,0,0,0,0,1,0,0,0,1,1,0
229,230,3,3,162,7,42,1278,0,1,0,0,0,0,1,0,0,1,0,0,0
230,231,3,1,146,2,54,1528,0,1,1,0,0,0,1,0,1,0,0,0,0
231,232,3,4,209,3,60,2240,0,1,0,1,0,0,1,0,0,1,0,0,0
232,233,5,5,134,2,53,1088,0,0,0,0,1,0,1,0,0,1,0,1,0
233,234,2,1,222,2,58,3626,0,0,0,0,0,0,1,0,0,1,0,1,0
234,235,2,1,139,3,39,1582,1,1,0,0,0,0,1,0,1,0,0,0,0
235,236,2,2,134,3,38,1352,0,0,0,0,0,0,1,0,1,0,0,1,0
236,237,2,3,130,3,48,1801,0,1,1,0,0,0,1,0,1,0,0,0,0
237,238,2,2,133,3,5,1268,0,0,0,1,0,0,1,0,1,0,0,1,0
238,239,2,3,140,3,23,1372,0,1,0,0,1,0,1,0,1,0,0,0,0
239,240,2,3,158,3,10,1515,0,0,0,0,0,0,1,0,1,0,0,1,0
240,241,4,5,270,4,65,1818,1,0,0,0,0,0,1,0,1,0,0,1,0
241,242,2,4,140,3,33,1278,0,1,0,0,0,0,1,0,1,0,0,0,0
242,243,2,2,135,3,58,1734,0,0,1,0,0,0,1,0,1,0,0,1,0
243,244,2,4,136,3,43,1958,0,0,0,1,0,0,1,0,1,0,0,1,0
244,245,2,1,142,3,8,6064,0,1,0,0,1,0,1,0,0,1,0,0,0
245,246,2,4,154,3,48,7684,0,1,0,0,0,0,1,0,0,1,0,0,0
246,247,2,3,139,3,3,1788,1,1,0,0,0,0,1,0,1,0,0,0,0
247,248,2,4,160,3,50,1030,0,1,0,0,0,0,0,1,1,0,0,0,0
248,249,2,2,134,3,38,1530,0,1,1,0,0,0,0,1,1,0,0,0,0
249,250,5,5,161,5,54,1511,0,1,0,1,0,0,0,1,0,0,1,0,0
250,251,2,3,155,3,45,1639,0,1,0,0,1,0,0,1,1,0,0,0,0
251,252,2,2,145,3,5,6102,0,1,0,0,0,0,0,1,0,1,0,0,0
252,253,2,1,157,3,58,1930,1,0,0,0,0,0,0,1,1,0,0,1,0
253,254,2,5,160,3,19,1399,0,1,0,0,0,0,0,1,1,0,0,0,0
254,255,2,2,152,3,61,1800,0,1,1,0,0,0,0,1,1,0,0,0,0
255,256,2,2,148,3,35,1349,0,1,0,1,0,0,0,1,0,0,1,0,0
256,257,2,2,127,3,13,1128,0,0,0,0,1,0,0,1,1,0,0,1,0
257,258,2,2,129,3,22,6614,0,1,0,0,0,0,0,1,0,1,0,0,0
258,259,2,3,158,3,13,1245,1,1,0,0,0,0,0,1,1,0,0,0,0
259,260,2,4,147,3,5,1920,0,0,0,0,0,0,0,1,1,0,0,1,0
260,261,2,5,159,3,49,1621,0,1,1,0,0,0,0,1,1,0,0,0,0
261,262,2,3,151,3,23,1930,0,1,0,1,0,0,0,1,1,0,0,0,0
262,263,3,1,294,4,52,1089,0,1,0,0,1,0,0,1,1,0,0,0,0
263,264,3,2,226,2,45,1446,0,0,0,0,0,0,0,1,0,1,0,1,0
264,265,5,3,271,5,9,1813,1,0,0,0,0,0,0,1,0,0,1,1,0
265,266,7,2,203,5,61,1856,0,1,0,0,0,0,0,1,0,1,0,0,0
266,267,2,3,264,4,10,1648,0,1,1,0,0,0,0,1,1,0,0,0,0
267,268,4,1,258,3,36,2211,0,0,0,1,0,0,0,1,0,1,0,1,0
268,269,3,5,241,3,21,3078,0,1,0,0,1,0,0,1,1,0,0,0,0
269,270,4,5,208,3,23,2056,0,0,0,0,0,1,0,0,0,1,0,1,0
270,271,3,2,209,5,12,3054,1,1,0,0,0,1,0,0,0,1,0,0,0
271,272,5,1,182,2,23,2707,0,1,0,0,0,1,0,0,0,1,0,0,0
272,273,4,5,148,2,43,1087,0,1,1,0,0,1,0,0,0,1,0,0,0
273,274,2,3,183,2,52,3199,0,1,0,1,0,1,0,0,0,1,0,0,0
274,275,3,5,229,6,22,2717,0,0,0,0,1,1,0,0,0,1,0,1,0
275,276,5,5,115,5,26,1692,0,1,0,0,0,1,0,0,1,0,0,0,0
276,277,4,2,136,3,65,1962,1,1,0,0,0,1,0,0,1,0,0,0,0
277,278,4,4,212,3,21,3307,0,0,0,0,0,1,0,0,1,0,0,1,0
278,279,4,3,171,3,24,1304,0,1,1,0,0,1,0,0,1,0,0,0,0
279,280,3,1,151,2,60,1925,0,0,0,1,0,1,0,0,1,0,0,1,0
280,281,3,1,205,3,39,3062,0,0,0,0,1,1,0,0,0,1,0,1,0
281,282,5,4,147,3,23,1132,0,0,0,0,0,1,0,0,0,1,0,1,0
282,283,3,3,155,3,29,1712,1,1,0,0,0,1,0,0,1,0,0,0,0
283,284,5,4,165,3,20,1150,0,1,0,0,0,1,0,0,1,0,0,0,0
284,285,5,5,230,3,32,3249,0,1,1,0,0,1,0,0,1,0,0,0,0
285,286,2,4,181,4,13,2309,0,0,0,1,0,1,0,0,0,1,0,1,0
286,287,5,3,234,2,55,3308,0,1,0,0,1,1,0,0,1,0,0,0,0
287,288,4,4,149,3,34,1977,0,0,0,0,0,1,0,0,1,0,0,1,0
288,289,5,5,156,2,44,1561,1,0,0,0,0,1,0,0,1,0,0,1,0
289,290,4,2,172,3,59,1858,0,1,0,0,0,1,0,0,0,1,0,0,0
