,Unnamed: 0,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Male,Female,,No,Yes,0,1,2,3+,Graduate,Not Graduate,Urban,Rural,Semiurban,target
1,1,4583,1508.0,128.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
2,2,3000,0.0,66.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
3,3,2583,2358.0,120.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
4,4,6000,0.0,141.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
5,5,5417,4196.0,267.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
6,6,2333,1516.0,95.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
7,7,3036,2504.0,158.0,360.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
8,8,4006,1526.0,168.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
9,9,12841,10968.0,349.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
10,10,3200,700.0,70.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
11,11,2500,1840.0,109.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
12,12,3073,8106.0,200.0,360.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
13,13,1853,2840.0,114.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
14,14,1299,1086.0,17.0,120.0,1.0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
15,15,4950,0.0,125.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
17,17,3510,0.0,76.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1
18,18,4887,0.0,133.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
20,20,7660,0.0,104.0,360.0,0.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
21,21,5955,5625.0,315.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
22,22,2600,1911.0,116.0,360.0,0.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
23,23,3365,1917.0,112.0,360.0,0.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
25,25,9560,0.0,191.0,360.0,1.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
26,26,2799,2253.0,122.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
27,27,4226,1040.0,110.0,360.0,1.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
28,28,1442,0.0,35.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
29,29,3750,2083.0,120.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
31,31,3167,0.0,74.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
32,32,4692,0.0,106.0,360.0,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
33,33,3500,1667.0,114.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
34,34,12500,3000.0,320.0,360.0,1.0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1
37,37,3667,1459.0,144.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
38,38,4166,7210.0,184.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
39,39,3748,1668.0,110.0,360.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
40,40,3600,0.0,80.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
41,41,1800,1213.0,47.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
43,43,3941,2336.0,134.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
46,46,5649,0.0,44.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
47,47,5821,0.0,144.0,360.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
48,48,2645,3440.0,120.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1
49,49,4000,2275.0,144.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
50,50,1928,1644.0,100.0,360.0,1.0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
