,length_url,length_hostname,nb_dots,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,zero,0,1,one,One,Zero,target
0,46,20,3,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.1086956519999999,0.0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,2,3,2,12,12,5,5.0,7.5,3.75,0,0,0,0,0,0,143,0.93006993,0.06993007,0,1,0,0.0,0,0.0,0,1,73.91304348,0,100.0,0.0,0,0,0,77.77777778,0,0,0,1,0,627,6678,78526,0,0,5,0,0,0,1,0,0,0
1,128,120,10,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0546875,0.058333333,0,0,0,0,0,3,0,0,0,0,0,0,10,6,2,2,0,35,35,0,10.7,10.7,0.0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,300,65,0,0,1,0,1,1,0,0,0,0,0
2,52,25,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,1,0,5,5,3,3,3,17,17,9,7.4,10.0,5.666666667,0,0,0,0,0,0,3,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,119,1707,0,0,1,0,1,1,0,0,0,0,0
3,21,13,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0.230769231,0,0,0,0,0,2,0,1,0,0,0,0,2,3,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,0,0,404,0.962871287,0.037128713,0,0,0,0.133333333,0,0.0,0,0,100.0,0,92.30769231,7.692307692000001,0,0,0,82.53968254,0,0,0,1,0,130,1331,0,0,0,0,0,1,0,1,0,0,1
4,28,19,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,57,0.684210526,0.3157894739999999,0,3,0,0.0,0,0.0,0,1,55.55555556,0,50.0,50.0,0,0,0,81.08108108,0,0,0,0,0,164,1662,312044,0,0,4,1,1,0,0,0,0,1
5,128,50,4,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0.1171875,0.0,0,0,0,1,0,3,1,0,0,0,0,0,13,4,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,25,3993,5707171,0,1,0,0,0,1,1,0,0,0
6,50,15,2,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,3,3,3,9,7,9,5.333333333,5.0,5.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,705,7330,154708,0,0,4,1,1,0,0,0,0,0
7,51,14,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,1,0,6,2,3,7,3,7,7,7,5.333333333,7.0,5.0,3,0,0,1,0,0,4,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,100.0,0,0,0,1,1,0,-1,0,0,1,0,1,1,0,0,0,0,0
8,35,22,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,3,3,3,3,4,14,14,4,7.0,8.5,4.0,0,0,0,0,0,0,115,0.939130435,0.060869565,0,0,0,0.142857143,0,0.142857143,0,0,66.66666667,0,100.0,0.0,0,0,0,64.28571429,0,0,0,0,0,67,5046,379,0,0,5,0,1,0,1,0,0,1
9,22,15,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,8,8,0,5.5,5.5,0.0,0,0,0,0,0,0,99,0.363636364,0.636363636,0,2,0,0.46031746,0,0.174603175,0,1,0.0,0,0.0,100.0,0,0,0,6.451612902999999,0,0,0,1,0,148,3505,0,0,0,2,0,1,0,1,0,0,1
